         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -40          4         13          1      17.66       7.96      13.99       3.76      10.52       3.76       9.16       3.76       1.35       0.62       0.56      13.99       3.76
       -40          4         14          0      16.97       7.85      17.20       4.31      12.85       4.31      12.85       4.31       0.00       0.00       0.00      17.20       4.31
       -40          5          1          1      17.88       8.37       9.30       5.46       6.96       5.46       7.34       5.46       0.38       5.46       0.40       9.29       5.46
       -40          5          2          1      14.21       6.72      17.11       4.28      12.87       4.27       4.25       4.27       8.62       1.13       0.60      17.11       4.27
       -40          5          3          1      29.20      11.12      21.82       0.64      16.47       0.64      27.58       0.64      11.11       0.64       0.75      21.82       0.64
       -40          5          4          1      36.99      15.33      19.26       5.87      14.57       5.87      33.27       5.87      18.70       5.87       0.65      19.25       5.87
       -40          5          5          1      40.38       8.32      35.15       2.45      26.64       2.45      48.35       2.45      21.72       2.45       0.93      35.15       2.45
       -40          5          6          1      24.39       9.82      31.33       2.88      23.76       2.88      16.74       2.88       7.02       6.02       0.83      31.33       2.88
       -40          5          7          1      50.47       9.25      60.41       5.07      45.81       5.07      51.47       5.07       5.66       5.07       0.96      60.41       5.07
       -40          5          8          0      37.07       9.72      28.50       6.14      21.60       6.15      21.60       6.15       0.00       0.00       0.00      28.50       6.15
       -40          5          9          1      33.01      11.51      27.63       1.54      20.89       1.54      33.83       1.54      12.94       1.54       0.83      27.62       1.54
       -40          5         10          1      19.46       8.82      25.53       2.93      19.26       2.93      10.25       2.93       9.01       6.07       0.76      25.53       2.93
       -40          5         11          1      23.93       9.70       8.38       5.58       6.30       5.58      13.26       5.58       6.96       5.58       0.41       8.38       5.58
       -40          5         12          1      32.67      10.40      16.90       5.10      12.65       5.10      35.79       5.10      23.13       5.10       0.74      16.90       5.10
       -40          5         13          1      16.35       7.86      14.85       5.17      11.06       5.17       7.45       5.17       3.61       2.03       0.57      14.85       5.17
       -40          6          3          1      39.24      12.79      10.63       5.48       7.93       5.48      35.38       5.48      27.45       5.48       0.55      10.63       5.48
       -40          6          4          1      29.16      10.14      30.25       5.17      22.63       5.17      27.22       5.17       4.60       5.17       0.85      30.24       5.17
       -40          6          5          1      19.52       7.91       8.23       1.93       6.17       1.93       9.73       1.93       3.56       1.93       0.41       8.23       1.93
       -40          6          6          1      20.56       8.94      23.35       1.37      17.52       1.37      13.27       1.37       4.25       4.51       0.75      23.36       1.37
       -40          6          7          1      23.26       9.39      33.27       4.62      24.94       4.62      14.43       4.62      10.51       1.48       0.85      33.26       4.62
       -40          6          8          1      42.56      18.20      40.46       4.63      30.31       4.63      39.81       4.63       9.51       4.63       0.82      40.46       4.63
       -40          6          9          1      17.90       8.17       7.50       0.82       5.61       0.82       6.63       0.82       1.02       0.82       0.34       7.50       0.82
       -40          6         10          1      16.62       7.97      12.51       2.78       9.33       2.78       7.34       2.78       1.99       5.92       0.50      12.51       2.78
       -39          0          1          1       9.79       7.01       4.29       3.14       3.52       3.14       0.94       0.00       4.46       0.00       0.13       4.29       3.14
       -39          0          2          0      13.05       9.32      17.18       3.14      14.08       3.14      14.08       3.14       0.00       0.00       0.00      17.17       3.14
       -39          0          3          1      28.03      13.67       4.62       0.00       3.81       0.00      11.87       0.00       8.06       0.00       0.28       4.64       0.00
       -39          0          4          0      19.85      13.17      27.28       3.14      22.41       3.14      22.41       3.14       0.00       0.00       0.00      27.27       3.14
       -39          0          5          0      13.62       9.77       9.46       0.00       7.79       0.00       7.79       0.00       0.00       0.00       0.00       9.47       0.00
       -39          0          6          1      29.94      15.30       9.87       3.14       8.11       3.14      24.15       3.14      16.03       3.14       0.54       9.87       3.14
       -39          0          7          1      23.84      13.61      26.20       0.00      21.53       6.28      21.11       6.28       0.42       3.14       0.89      26.19       6.28
       -39          0          8          1      57.48      11.63      45.52       0.00      37.41       6.28      77.55       6.28      40.14       6.28       1.00      45.52       6.28
       -39          0          9          1      62.84      14.00      56.07       3.14      46.06       3.14      79.63       3.14      33.57       3.14       1.00      56.07       3.14
       -39          0         10          1      16.19      11.77      24.16       3.14      19.83       3.14       4.45       3.14      15.38       0.00       0.75      24.16       3.14
       -39          0         11          1      19.51      11.69      25.00       0.00      20.48       6.28      11.69       6.28       8.79       3.14       0.82      24.99       6.28
       -39          0         12          1      21.94      14.21       7.68       0.00       6.28       0.00       7.54       0.00       1.25       0.00       0.31       7.68       0.00
       -39          0         13          1      23.61      15.12      32.83       3.14      26.57       3.14      15.70       3.14      10.87       0.00       0.90      32.83       3.14
       -39          0         14          1      19.37      12.18       6.28       3.14       5.02       3.14       5.93       3.14       0.91       3.14       0.28       6.28       3.14
       -39          0         15          1      19.63      13.08      22.30       0.00      17.66       0.00      12.53       0.00       5.14       3.14       0.77      22.30       0.00
       -39          0         16          1      26.52      15.18      15.45       0.00      12.18       0.00      24.06       0.00      11.88       0.00       0.68      15.45       0.00
       -39          0         17          1      17.61      12.26      41.61       3.14      32.34       3.14       1.24       3.14      31.10       0.00       0.95      41.59       3.14
       -39          0         18          1      16.26      11.19       7.24       0.00       5.51       0.00       4.35       0.00       1.17       3.14       0.30       7.25       0.00
       -39          0         19          1      14.25      10.14      10.51       0.00       7.92       0.00       4.04       0.00       3.88       3.14       0.42      10.51       0.00
       -39          0         20          1      18.50      12.41      48.27       0.00      35.94       6.28       0.30       6.28      35.63       3.14       0.98      48.27       6.28
       -39          1          1          1      27.35       9.83      12.44       1.90      10.18       1.90      20.48       1.90      10.29       1.90       0.56      12.44       1.90
       -39          1          2          1      17.68       7.64      20.05       0.39      16.45       0.39       7.19       0.39       9.25       3.54       0.67      20.06       0.39
       -39          1          3          1      21.31       8.41      15.83       4.98      12.98       4.98      14.14       4.98       1.16       4.98       0.64      15.82       4.98
       -39          1          4          1      24.84       9.26      25.94       3.74      21.30       3.74      18.95       3.74       2.35       0.59       0.81      25.93       3.74
       -39          1          5          1      26.04       9.88      27.32       0.99      22.46       0.99      20.29       0.99       2.18       4.13       0.82      27.33       0.99
       -39          1          6          1      45.42      12.46      42.98       2.98      35.33       2.98      48.35       2.98      13.02       2.98       0.92      42.98       2.98
       -39          1          7          1      33.57      10.33      42.92       3.98      35.26       3.98      26.11       3.98       9.15       0.84       0.91      42.91       3.98
