         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -39          4         19          1      88.12      25.72      52.59       0.61      39.34       0.61      94.30       0.61      54.96       0.61       0.76      53.07       0.61
       -39          4         20          1      96.29      25.82     131.41       0.16      97.19       0.16      79.72       0.16      17.47       3.31       0.92     131.87       0.17
       -39          4         21          1      82.99      24.34     109.76       4.70      80.06       4.70      66.98       4.70      13.08       1.56       0.89     110.66       4.69
       -39          4         22          1      88.93      25.13     112.28       2.66      80.58       2.66      77.46       2.66       3.12       5.80       0.89     112.24       2.66
       -39          4         23          1      96.68      24.52     100.40       3.05      70.70       3.05      99.73       3.05      29.03       3.05       0.88      99.28       3.04
       -39          4         24          1      72.44      22.32      45.50       3.51      31.35       3.51      57.19       3.51      25.84       3.51       0.61      45.00       3.51
       -39          5          6          1      42.12      14.65      48.37       1.00      33.23       1.00       9.66       1.00      23.57       4.14       0.51      48.32       1.00
       -39          5          7          1     104.64      20.36      86.70       3.44      60.70       3.44     125.06       3.44      64.36       3.44       0.89      87.57       3.44
       -39          5          8          1      84.67      20.58      92.56       6.17      65.86       6.17      82.03       6.17      16.17       6.17       0.87      92.65       6.17
       -39          5          9          1     217.64      11.91     226.97       2.80     163.72       2.80     265.46       2.80     101.74       2.80       0.99     227.28       2.80
       -39          5         10          1     182.75      14.81     147.70       0.02     107.74       0.02     247.96       0.02     140.22       0.02       0.97     147.23       0.02
       -39          5         11          1      92.65      20.42      97.10       3.26      71.46       3.26      95.82       3.26      24.36       3.26       0.90      96.56       3.26
       -39          5         12          1      66.86      21.16      23.13       4.75      17.14       4.75      39.22       4.75      22.08       4.75       0.42      22.96       4.76
       -39          5         13          1      67.75      21.90      53.60       3.39      39.88       3.39      57.95       3.39      18.07       3.39       0.72      54.12       3.38
       -39          5         14          1      81.93      22.99      24.60       1.38      18.34       1.38      63.58       1.38      45.24       1.38       0.50      23.55       1.40
