         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -32          1          8          1      36.07      14.11      12.50       2.38       4.49       3.39       1.38       0.25       5.87       0.25       0.04       7.04       3.96
       -32          1          9          1      53.60      11.22      18.47       5.98       9.52       5.81       5.54       5.81       3.98       2.67       0.14      10.91       5.70
       -32          1         10          1     105.81       5.37      27.95       0.86      24.49       1.00     103.16       1.00      78.67       1.00       0.60      34.89       1.04
       -32          1         11          1     114.60       5.60      88.27       0.64      71.68       0.67     132.27       0.67      60.59       0.67       0.89      98.86       0.68
       -32          1         12          1      66.28       8.92      18.65       2.50      21.61       2.77      28.79       2.77       7.18       2.77       0.38      33.22       2.83
       -32          1         13          1      74.31       9.93      73.34       3.09      54.61       3.06      55.67       3.06       1.06       3.06       0.74      72.90       3.05
       -32          1         14          1      67.43      10.09      62.74       5.53      49.69       5.53      42.00       5.53       7.69       2.39       0.68      68.17       5.53
       -32          1         15          1      35.00      13.72      68.28       5.47      47.89       5.50      19.16       2.36      67.05       2.36       0.41      63.22       5.51
       -32          1         16          1      41.32      13.38      66.71       3.70      43.13       3.77       7.46       0.63      50.59       0.63       0.43      55.81       3.80
       -32          1         17          1      68.12       8.98      25.91       0.27      24.46       0.48      33.44       0.48       8.98       0.48       0.42      36.42       0.53
       -32          1         18          1      81.33       7.95      73.63       3.09      52.69       3.23      70.38       3.23      17.69       3.23       0.76      73.41       3.28
       -32          1         19          1      65.08       9.23      26.61       5.36      27.06       5.43      31.14       5.43       4.09       5.43       0.45      41.18       5.44
       -32          1         20          1      63.39       9.76      53.85       2.77      39.92       2.79      34.71       2.79       5.21       5.93       0.59      56.98       2.79
       -32          1         21          1      42.11      12.91      78.31       4.84      60.79       4.82      11.20       1.67      71.99       1.67       0.59      88.39       4.81
       -32          1         22          1      33.37      13.26      62.11       5.01      45.32       5.02      18.13       1.88      63.45       1.88       0.41      65.71       5.03
       -32          1         23          1     119.82       5.54     107.52       6.19      69.88       6.17     147.32       6.17      77.44       6.17       0.91     100.53       6.17
       -32          1         24          1      38.61      14.11      24.90       3.18      12.42       3.37       0.87       0.23      13.29       0.23       0.15      17.49       3.40
       -32          1         25          1      38.44      13.80      59.06       4.25      40.66       4.18       5.24       1.04      45.90       1.04       0.46      60.66       4.18
       -32          1         26          1      86.83       8.95      81.24       3.58      60.30       3.56      89.59       3.56      29.29       3.56       0.86      91.45       3.56
       -32          2          1          1      69.34       7.75      72.21       5.07      48.10       5.01      53.82       5.01       5.72       5.01       0.73      69.98       5.00
       -32          2          2          1      44.64      12.30      53.98       1.75      34.07       1.73       3.50       1.73      30.58       4.87       0.42      48.38       1.72
       -32          2          3          1      26.88      11.58      54.39       1.40      40.45       1.38      23.88       4.52      64.33       4.52       0.31      58.60       1.38
       -32          2          4          1      34.66      12.00      31.07       2.61      19.30       2.85       6.21       6.00      25.51       6.00       0.19      26.76       2.92
       -32          2          5          1      27.87      11.40      86.86       3.41      60.75       3.38      36.76       0.23      97.51       0.23       0.43      85.17       3.36
       -32          2          6          1      33.83      11.83      46.67       0.61      35.24       0.74      14.20       3.88      49.44       3.88       0.31      50.19       0.77
       -32          2          7          1      56.17      10.40      50.57       0.46      34.72       0.40      18.42       0.40      16.30       3.54       0.47      47.45       0.38
       -32          2          8          1      78.65       8.76      84.54       1.00      59.43       1.04      63.22       1.04       3.79       1.04       0.78      80.67       1.06
