         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -36          8         16          1      26.58       1.82      27.69       5.15      24.35       5.15      24.56       5.15       0.21       5.15       0.92      27.75       5.15
       -36          8         18          1       6.82       6.82      11.43       0.36      10.06       0.36       6.90       3.50      16.96       3.50       0.23      11.46       0.36
       -36          8         19          1      10.45       4.32      15.84       4.91      13.92       4.91       2.84       1.77      16.76       1.77       0.53      15.85       4.91
       -36          8         20          1      25.44       1.59      22.24       1.51      19.50       1.51      26.02       1.51       6.51       1.51       0.89      22.20       1.51
       -36          8         21          1      26.13       1.82      27.96       3.45      24.58       3.45      23.57       3.45       1.01       0.30       0.92      28.01       3.45
       -36          8         22          1      21.13       2.73      15.52       3.18      13.61       3.18      20.47       3.18       6.86       3.18       0.81      15.46       3.18
       -36          9         14          1      11.87       3.42      13.40       6.16      11.76       6.16       2.16       6.16       9.61       3.02       0.59      13.40       6.16
       -36          9         15          1      30.37       2.28      28.28       0.12      24.83       0.12      32.05       0.12       7.22       0.12       0.94      28.26       0.12
       -36          9         16          1       4.34       4.34       7.44       2.14       6.56       2.14       5.43       5.28      12.00       5.28       0.13       7.52       2.14
       -36          9         17          1      37.21       1.83      44.30       3.42      38.91       3.42      33.05       3.42       5.86       0.28       0.97      44.32       3.42
       -36          9         18          1       8.68       8.68      10.04       2.68       8.85       2.68       4.96       5.82      13.81       5.82       0.22      10.12       2.68
       -36          9         21          1      30.13       2.97      24.51       4.34      21.53       4.34      34.08       4.34      12.55       4.34       0.92      24.54       4.34
       -36          9         22          1      12.10       4.34      19.42       4.60      17.05       4.60       0.14       1.45      17.19       1.45       0.70      19.41       4.59
       -36          9         23          1       6.62       6.62      12.38       3.46      10.87       3.46       7.17       0.32      18.04       0.32       0.28      12.36       3.46
       -36          9         24          1      44.75       1.37      44.53       3.11      39.09       3.11      48.43       3.11       9.34       3.11       0.98      44.60       3.11
       -36         10         15          1       3.67       3.67      13.37       3.80      11.74       3.80      10.10       0.66      21.84       0.66       0.22      13.30       3.80
       -36         10         17          1      17.90       3.44      15.94       5.28      14.00       5.28      13.77       5.28       0.23       2.14       0.78      15.93       5.28
       -36         10         18          0      31.22       2.07      22.23       0.97      19.52       0.97      19.52       0.97       0.00       0.00       0.00      22.26       0.97
       -36         10         19          1      17.21       2.07      22.63       2.80      19.87       2.80       9.66       2.80      10.21       5.94       0.86      22.64       2.80
       -36         10         20          0      22.03       1.61      12.73       2.63      11.18       2.63      11.18       2.63       0.00       0.00       0.00      12.78       2.63
       -36         10         22          1      32.13       2.30      36.81       3.01      32.32       3.01      29.34       3.01       2.98       6.15       0.96      36.77       3.00
       -36         11         16          1      18.01       2.31      23.52       3.82      20.65       3.82      11.15       3.82       9.49       0.67       0.88      23.50       3.82
       -36         11         17          1      21.48       2.08      25.70       4.28      22.56       4.28      16.59       4.28       5.97       1.14       0.91      25.71       4.28
       -36         11         18          0      13.62       6.00      23.71       2.94      20.81       2.94      20.81       2.94       0.00       0.00       0.00      23.68       2.94
       -36         11         20          1      19.16       2.31      28.57       2.03      25.08       2.03       9.85       2.03      15.23       5.18       0.91      28.55       2.04
       -35          0          8          1      22.89       4.62      12.65       3.14      11.14       3.14      25.23       3.14      14.09       3.14       0.79      12.68       3.14
       -35          0         10          1      53.86       3.24      62.99       0.00      56.32       0.00      51.40       0.00       4.92       3.14       1.00      63.08       0.00
       -35          0         11          1      19.42       5.32       2.41       0.00       2.14       0.00       3.84       0.00       1.70       0.00       0.15       2.54       0.00
       -35          0         15          1      21.49       3.47      12.18       0.00      10.94       0.00      18.99       0.00       8.05       0.00       0.70      12.24       0.00
       -35          0         16          1      25.19       3.00      38.85       0.00      35.05       6.28      15.18       6.28      19.87       3.14       1.00      38.75       6.28
       -35          0         20          0      16.64       3.24       8.62       3.14       7.75       3.14       7.75       3.14       0.00       0.00       0.00       8.58       3.14
       -35          0         23          1      13.40       7.16       2.47       3.14       2.18       3.14       0.33       3.14       1.85       0.00       0.09       2.45       3.14
       -35          0         25          1      55.00       2.31      54.60       3.14      48.82       3.14      61.18       3.14      12.36       3.14       1.00      54.65       3.14
       -35          0         27          1      24.50       3.24      17.59       0.00      15.49       0.00      30.28       0.00      14.79       0.00       0.93      17.70       0.00
       -35          0         29          1      36.99       1.85      36.61       3.14      32.15       3.14      41.82       3.14       9.67       3.14       1.00      36.63       3.14
       -35          1          6          1      32.85       3.01      33.76       2.75      29.64       2.75      32.64       2.75       3.00       2.75       0.95      33.75       2.75
       -35          1          7          1      26.37       2.08      14.89       0.17      13.10       0.16      30.77       0.16      17.67       0.16       0.83      14.92       0.16
       -35          1          8          1      10.41       6.24      14.86       0.87      13.08       0.87       4.28       4.01      17.37       4.01       0.42      14.88       0.87
       -35          1          9          1      39.55       1.39      34.02       3.69      30.17       3.69      45.19       3.69      15.02       3.69       0.95      34.06       3.69
       -35          1         10          1      48.79       1.39      46.22       2.98      41.31       2.98      53.58       2.98      12.26       2.98       0.97      46.26       2.98
       -35          1         11          1      29.37       2.08      39.75       6.17      35.31       6.17      19.81       6.17      15.50       3.03       0.94      39.73       6.17
       -35          1         12          1      10.17       6.01      22.41       1.39      19.78       1.39       9.25       4.53      29.03       4.53       0.52      22.40       1.39
       -35          1         13          1       5.09       5.09       5.35       2.91       4.73       2.91       3.97       6.05       8.69       6.05       0.08       5.41       2.91
       -35          1         16          1       5.32       5.32      17.85       1.81      16.09       1.81      13.32       4.96      29.41       4.96       0.26      17.85       1.82
       -35          1         17          0       9.25       9.25       6.61       6.18       5.97       6.18       5.97       6.18       0.00       0.00       0.00       6.59       6.17
       -35          1         18          1       6.70       6.70       3.11       1.74       2.81       1.74       2.09       4.88       4.90       4.88       0.05       3.24       1.72
       -35          1         21          1      32.36       2.54      37.25       0.68      33.22       0.68      27.17       0.68       6.05       3.82       0.93      37.27       0.68
       -35          1         22          1       7.40       7.40       7.11       4.51       6.28       4.51       4.47       1.36      10.75       1.36       0.12       7.19       4.48
       -35          1         23          1      16.41       7.17      17.43       5.60      15.38       5.60       3.31       5.60      12.07       2.46       0.57      17.47       5.60
       -35          1         24          1      27.05       1.85      36.02       0.77      31.99       0.77      18.11       0.77      13.88       3.91       0.93      35.91       0.77
       -35          1         26          1      39.53       2.08      36.79       3.71      32.62       3.71      42.91       3.71      10.29       3.71       0.96      36.84       3.71
       -35          1         28          1      22.20       3.01      17.21       0.56      15.12       0.56      21.14       0.56       6.02       0.56       0.82      17.20       0.56
       -35          1         30          1       8.09       8.09       9.89       5.30       8.68       5.30       4.84       2.16      13.52       2.16       0.24       9.80       5.31
       -35          2          5          1      28.95       2.78      21.19       1.60      18.60       1.60      34.52       1.60      15.92       1.60       0.92      21.16       1.60
       -35          2          6          1       6.95       6.95       5.34       0.15       4.68       0.16       3.04       3.30       7.71       3.30       0.12       5.29       0.16
       -35          2         13          1      21.29       2.55      24.15       0.51      21.29       0.51      13.84       0.51       7.45       3.65       0.83      24.21       0.51
       -35          2         14          0      53.68       2.08      38.48       2.66      34.23       2.66      34.23       2.66       0.00       0.00       0.00      38.33       2.66
       -35          2         15          0      20.82       3.47      12.35       0.37      11.06       0.37      11.06       0.37       0.00       0.00       0.00      12.48       0.38
       -35          2         16          1      22.67       3.01      17.52       1.28      15.76       1.28      19.23       1.28       3.47       1.28       0.77      17.61       1.28
       -35          2         17          0      26.14       2.78      22.12       2.13      19.94       2.13      19.94       2.13       0.00       0.00       0.00      22.14       2.13
       -35          2         19          1      22.67       3.47      10.26       3.40       9.23       3.40      17.45       3.40       8.22       3.40       0.59      10.08       3.39
       -35          2         20          1      18.97       4.16       7.94       5.35       7.11       5.35       8.55       5.35       1.44       5.35       0.41       7.87       5.35
       -35          2         22          1      16.89       3.70      20.35       4.51      17.94       4.51       5.89       4.51      12.05       1.37       0.71      20.42       4.52
       -35          2         23          1      15.50       4.63      16.09       5.33      14.22       5.33       4.10       5.33      10.11       2.19       0.59      16.12       5.33
       -35          2         26          1      38.41       2.08      37.50       5.14      33.22       5.14      40.13       5.14       6.91       5.14       0.95      37.67       5.14
       -35          2         28          1      28.00       3.01      28.23       2.67      24.81       2.67      26.64       2.67       1.83       2.67       0.92      28.25       2.67
       -35          2         30          1      27.08       2.31      27.22       3.41      23.90       3.41      26.68       3.41       2.79       3.41       0.93      27.24       3.41
       -35          3          5          1      21.10       3.48      23.49       2.48      20.62       2.48      17.07       2.48       3.55       5.62       0.89      23.46       2.48
       -35          3          7          1      22.26       3.48      17.38       3.35      15.28       3.35      21.13       3.35       5.85       3.35       0.82      17.40       3.34
       -35          3         12          1      33.60       2.09      37.24       0.27      32.97       0.27      30.20       0.27       2.78       3.41       0.94      37.25       0.27
       -35          3         13          1      12.28       6.72      16.79       1.30      14.79       1.30       3.65       4.44      18.44       4.44       0.45      16.82       1.30
       -35          3         14          0      22.48       3.01       6.25       6.02       5.54       6.02       5.54       6.02       0.00       0.00       0.00       6.14       6.01
       -35          3         17          1       8.57       8.57       0.57       1.12       0.51       1.12       0.33       4.26       0.84       4.26       0.01       0.52       1.07
       -35          3         19          1      25.25       2.78      24.44       5.78      21.89       5.78      21.68       5.78       0.21       2.64       0.86      24.54       5.79
       -35          3         20          1      30.12       2.55      29.08       1.40      25.94       1.40      28.66       1.40       2.72       1.40       0.91      28.94       1.40
       -35          3         22          0      10.66       9.04      10.81       0.99       9.52       0.99       9.52       0.99       0.00       0.00       0.00      10.84       1.00
       -35          3         23          1      33.59       2.78      32.47       2.01      28.74       2.01      33.66       2.01       4.92       2.01       0.93      32.31       2.00
       -35          3         27          1      20.85       2.32       9.07       5.12       8.00       5.12      17.03       5.12       9.03       5.12       0.60       9.16       5.12
       -35          3         29          1       5.10       5.10       8.82       0.10       7.76       0.10       6.00       3.24      13.76       3.24       0.17       8.87       0.09
       -35          4         14          1      15.79       6.96      21.59       5.14      19.02       5.14       0.85       5.14      18.17       2.00       0.63      21.72       5.14
       -35          4         17          1      19.96       3.48      16.15       1.03      14.41       1.03      13.44       1.03       0.97       4.17       0.70      16.21       1.03
       -35          4         21          1      28.09       3.02      35.33       1.23      31.13       1.23      20.21       1.23      10.92       4.37       0.91      35.33       1.23
       -35          4         24          1      14.86       3.25       2.98       2.25       2.66       2.25       2.16       2.25       0.50       5.39       0.16       3.02       2.26
       -35          4         26          1      30.65       1.86      22.22       1.32      19.59       1.32      35.66       1.32      16.07       1.32       0.90      22.23       1.32
       -35          4         28          1      22.29       4.18       9.49       3.33       8.34       3.33      19.83       3.33      11.49       3.33       0.63       9.51       3.33
       -35          5          6          1      29.58       1.40      25.83       4.67      22.68       4.67      32.69       4.67      10.01       4.67       0.94      25.84       4.67
       -35          5         13          1      26.07       3.03      16.79       2.05      14.88       2.05      27.11       2.05      12.23       2.05       0.81      16.66       2.05
       -35          5         14          0       9.54       9.54      13.58       2.35      11.98       2.35      11.98       2.35       0.00       0.00       0.00      13.69       2.36
