      104m     137l     169l  1a28  1a2a    19hc  105m    153l    154l    157d     176l    180l     1a3a     1a01  1a02  1a0o  1a2a  1a2j    135l
73     1.0    58.36   265.73   1.0   1.0   50.84   0.0   45.17   18.39   18.64    87.38   64.81    91.90    80.57   1.0   1.0   1.0   1.0   28.34
74     1.0    49.36   300.10   1.0   1.0   40.44   1.0   35.79   84.32   13.14   138.72   28.95    91.12    58.12   1.0   1.0   1.0   1.0   32.97
75     1.0    63.52   216.84   1.0   1.0   58.97   1.0   64.50   13.47   12.40   169.12   22.23   104.70    78.49   1.0   1.0   1.0   1.0   23.64
76     1.0    70.65   197.92   1.0   1.0   71.94   1.0   40.10   43.68   12.81    42.35   37.04    42.24   172.74   0.0   1.0   1.0   1.0   31.64
77     1.0    71.72   237.36   1.0   1.0   58.48   0.0   34.99   88.70   20.81   151.89   29.49    60.70    51.21   0.0   1.0   1.0   0.0   28.54
78     1.0    64.56   210.43   1.0   1.0   99.14   1.0  110.23   51.25    5.74   149.71   34.46    29.60    57.13   1.0   1.0   1.0   1.0   26.08
79     0.0    68.72   545.64   0.0   1.0   70.96   0.0   59.06  107.59   24.63   130.50   35.54    11.47    55.08   1.0   1.0   1.0   1.0   26.80
80     1.0    78.71   260.95   1.0   1.0  103.47   1.0   97.46   40.82   22.99    78.65   57.74   114.68    54.40   1.0   1.0   1.0   1.0   26.19
81     1.0    11.11   254.86   1.0   1.0  132.42   0.0   30.15   34.86   24.95   112.42   65.22   173.59   129.26   1.0   1.0   1.0   1.0   28.74
82     1.0    59.66   151.28   1.0   1.0   27.00   1.0   40.25   51.55   23.70    88.62   21.35    64.82   190.12   1.0   1.0   1.0   1.0   25.36
83     1.0    56.68   311.33   1.0   1.0   22.22   0.0   36.41   33.04   21.89   103.51   32.10    70.86    33.69   1.0   1.0   1.0   1.0   24.80
84     1.0   157.83   201.83   1.0   1.0    7.23   1.0   32.98   80.41   29.14   121.35   31.03   108.00    79.40   1.0   0.0   1.0   1.0   28.23
85     0.0    78.93   370.40   1.0   0.0   47.17   1.0   49.41   59.33   35.33    93.52   38.34   110.26    44.39   1.0   1.0   0.0   1.0   28.71
86     1.0    82.05   191.97   1.0   1.0   71.65   1.0   98.62   63.00   19.96   126.51   44.02    43.78    54.86   1.0   1.0   1.0   1.0   26.28
87     1.0    75.67   337.34   1.0   1.0  122.53   1.0   88.63   73.54   47.58    47.19   50.93    54.20   101.12   0.0   1.0   1.0   1.0   23.82
88     1.0   153.60   413.00   1.0   1.0   77.35   1.0   68.23   17.68   18.08    53.90   33.37    58.95    90.02   1.0   1.0   1.0   0.0   28.37
89     0.0   158.82  1035.62   1.0   1.0   83.51   1.0   32.03   78.57   17.24    71.36   49.83   134.51    62.44   1.0   1.0   1.0   1.0   32.44
90     1.0    71.30   854.81   1.0   1.0   37.19   1.0   89.33  162.12   13.50   135.73   60.45    91.13   102.10   1.0   1.0   1.0   1.0   26.40
91     1.0    50.74   349.30   1.0   1.0   23.03   1.0   28.08   85.02   10.55    79.50    6.73    48.78    54.51   1.0   1.0   1.0   1.0   43.50
92     1.0    71.73   267.12   1.0   1.0  152.08   1.0   54.47   96.53   46.49    48.60   36.04    60.08    46.81   1.0   1.0   1.0   1.0   25.88
93     1.0    77.80   404.10   0.0   1.0  147.70   1.0   39.43   59.35   21.37    71.11   17.57   101.06    12.49   1.0   1.0   1.0   1.0   27.99
94     1.0    72.89   214.50   1.0   1.0  120.68   1.0   85.02   59.28   16.76    53.25   42.37    51.41    31.84   1.0   1.0   1.0   1.0   39.14
95     1.0    73.96   294.15   1.0   1.0  104.89   1.0   10.37   68.43   24.83    84.90   30.77    82.68    63.79   1.0   1.0   1.0   1.0   30.85
