         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l           FP        SIGFP        FCalc      PHICalc
       -26          1          9     268.14        27.17       123.31         1.86
       -26          1         10     247.28        32.29       172.12         0.41
       -26          1         11     298.05        26.77       274.47         2.17
       -26          1         12     303.50        27.56       307.75        -0.57
       -26          1         13     473.02        20.46       500.65        -0.89
       -26          1         14     355.99        23.60       350.67        -1.27
       -26          1         15     292.51        26.73       267.13         2.85
       -26          1         16     282.50        26.72       217.97        -3.14
       -26          1         17     352.56        23.16       381.08         1.65
       -26          2          1     298.52        25.11       284.79         0.92
       -26          2          2     356.91        22.77       378.15         1.75
       -26          2          8     292.25        30.33       297.84        -2.70
       -26          2          9     313.96        27.97       283.55         2.87
       -26          2         10     447.91        23.24       414.87         2.63
       -26          2         11     387.60        25.21       336.87         2.08
       -26          2         12     404.85        23.63       372.58         1.23
       -26          2         13     475.99        20.87       268.75        -0.73
       -26          2         14     253.83        31.48       229.57        -1.36
       -26          2         15     269.43        29.50       198.23         3.02
       -26          2         16     412.74        23.19       426.78         2.82
       -26          2         17     155.54        48.71       222.06        -2.40
       -26          2         18     201.33        38.07       142.69         2.06
       -26          3          1     233.58        30.23       211.67         0.48
       -26          3          2     200.40        34.58       291.95        -2.10
       -26          3          3     206.85        32.25       208.37        -0.96
       -26          3          7     259.30        39.01       217.26        -2.50
       -26          3          8     474.98        24.44       394.52         2.77
       -26          3          9     321.29        29.96       384.75        -1.63
       -26          3         10     227.08        37.85       354.03        -1.02
       -26          3         12     454.82        22.86       493.93        -3.06
       -26          3         13     488.17        21.67       328.68        -2.97
       -26          3         15     120.84        65.74       194.79        -2.97
       -26          3         16     370.56        25.18       317.46        -0.42
       -26          3         17     275.95        27.91       286.89         0.67
       -26          3         18     236.83        36.92       182.30        -0.21
       -26          3         19     182.45        44.73       234.54         1.05
       -26          4          1     320.68        13.75       166.72        -1.72
       -26          4          2     526.30        20.45       557.77        -0.43
       -26          4          3     498.38        20.47       414.88         0.53
       -26          4          4     312.39        23.64       318.68         0.85
       -26          4          7     559.00        22.09       402.54        -0.23
       -26          4          8     379.60        27.23       201.91         2.90
       -26          4          9     327.55        29.99       241.51         0.43
       -26          4         10     452.67        23.68       311.73         1.09
       -26          4         11      50.51       158.24       173.60        -0.33
       -26          4         12     275.39        33.54       252.52        -2.90
       -26          4         13     320.67        29.19       307.00        -2.66
       -26          4         14     336.30        28.39       222.55        -3.02
       -26          4         15     142.25        57.93       142.01        -0.76
       -26          4         16     173.27        49.22       167.91         1.86
       -26          4         17     141.66        57.84       246.11        -2.56
       -26          4         18     208.38        40.50       281.84         0.52
       -26          4         19     252.95        33.39       224.63         2.72
       -26          5          1     452.95        21.25       419.18        -0.25
       -26          5          2     533.32        20.09       380.76         1.63
       -26          5          3     561.35        18.13       483.68         1.64
       -26          5          4     467.45        20.12       563.93         2.19
       -26          5          6     293.01        35.54        55.52        -1.58
       -26          5          7     853.66        20.15       522.34        -0.29
       -26          5          8     229.57        41.49       180.20        -1.59
       -26          5          9     338.67        28.85       363.67         1.30
       -26          5         10     501.10        22.92       477.77         2.23
       -26          5         11     562.31        23.31       419.84         1.62
       -26          5         12     274.58        37.14       254.43         2.37
       -26          5         13     178.52        48.98       167.85         2.80
       -26          5         14     297.68        31.19       239.91        -0.75
       -26          5         15     220.97        39.06       238.07        -1.55
       -26          5         16     117.12        71.37       162.76        -2.62
       -26          5         17     210.42        41.37       148.94        -0.86
       -26          5         18     155.51        53.54        79.22         0.84
       -26          5         19     333.14        28.71       259.79        -0.11
       -26          6          1     284.60        26.02       293.05         0.31
       -26          6          2     389.02        22.49       284.73        -2.33
       -26          6          3     419.34        20.53       418.27         2.40
       -26          6          4     242.22        32.40       218.04        -2.47
       -26          6          5     175.94        37.56       130.38        -1.61
       -26          6          6     308.53        35.60       301.51        -1.63
       -26          6          7     656.84        22.16       599.30         0.76
       -26          6          8     278.63        37.20       220.45        -0.04
       -26          6          9     295.69        33.65       293.01        -1.46
       -26          6         10     215.74        42.75       285.67         2.96
       -26          6         11     267.57        34.83       220.32         3.13
       -26          6         12     348.25        29.68       442.03        -2.31
       -26          6         13     327.57        30.86       197.32        -0.92
       -26          6         14     342.07        28.08       308.83         0.11
       -26          6         15     329.24        31.62       211.91        -0.35
       -26          6         17     278.26        35.92       321.78         2.06
       -26          6         18     342.30        31.15       361.12         1.94
       -26          6         19     290.75        33.09       203.71         2.69
       -26          7          1     184.45        41.47       246.80         1.46
       -26          7          2     185.41        39.14       233.98         0.69
       -26          7          3     223.93        34.02       137.16        -2.79
       -26          7          4      26.13       251.80       159.67        -1.35
       -26          7          5     318.89        22.98       308.62         0.18
       -26          7          6     420.50        17.04       292.96         0.68
       -26          7          7     306.47        32.51       307.11         0.81
       -26          7          8     306.94        35.29       356.81         1.23
       -26          7          9     427.16        27.37       481.43         0.80
       -26          7         10     192.76        49.58       242.01        -1.32
       -26          7         11     144.76        67.03       141.57        -0.54
       -26          7         12     309.68        34.89       361.11        -0.30
       -26          7         13     305.62        36.47       216.76         2.62
       -26          7         14     249.63        39.23       285.88         1.86
       -26          7         15     104.95        84.35       140.91        -0.33
       -26          7         16     148.81        65.30       178.90         0.55
       -26          7         17     211.18        48.25        92.84        -0.83
       -26          7         18     368.66        29.64       258.69         2.73
       -26          7         19     286.19        37.90       164.13        -1.88
       -26          8          1     116.78        64.53       384.23         0.95
       -26          8          2     265.47        30.91       276.18         1.34
       -26          8          3     277.97        29.34       179.42         2.89
       -26          8          4     169.04        46.03       117.16        -0.83
       -26          8          5     290.64        18.26       267.80         1.34
       -26          8          6     106.85        41.71       131.94        -2.15
       -26          8          7      78.28       122.79       184.72         2.20
       -26          8          8     332.29        34.98       461.19        -3.00
       -26          8          9     402.29        29.42       398.18         2.20
       -26          8         10     101.37        90.64       156.91         2.50
       -26          8         11     226.18        44.92       349.40        -2.15
       -26          8         12     189.57        52.06       212.54        -1.61
       -26          8         14     322.47        34.55       301.85         1.86
       -26          8         15     194.89        49.22        89.99         2.12
       -26          8         17     177.97        55.89       190.85         0.64
       -26          8         18     213.86        49.90       199.78         3.03
       -26          9          1     119.86        65.49       347.96         2.02
       -26          9          2     322.16        26.22       369.46        -2.00
       -26          9          3     301.35        30.21       358.52        -1.46
       -26          9          4     212.84        39.78       242.50         1.08
       -26          9          5     200.63        25.48       196.38         1.86
       -26          9          6     422.55        31.06       399.11        -0.05
       -26          9          7     472.50        27.09       327.77        -1.17
       -26          9          8     315.21        39.05       328.11        -1.26
       -26          9          9     274.20        38.66       214.00         2.73
       -26          9         10     355.52        31.49       257.24         2.85
       -26          9         11     452.33        27.90       297.15        -1.24
       -26          9         12     230.70        45.02       267.26        -0.25
       -26          9         13     160.92        63.33        73.21        -2.14
       -26          9         14     357.55        32.25       302.18        -2.17
       -26          9         15     235.19        49.35       204.09         0.34
       -26          9         16     220.32        50.11       190.71         2.62
       -26          9         17     242.81        42.52       185.60         1.43
       -26         10          1     313.64        28.26       259.76         1.95
       -26         10          2     200.39        40.64       196.46         0.35
       -26         10          3     214.50        39.87       305.29        -0.01
       -26         10          5     142.52        75.05       249.11         3.08
       -26         10          6     270.00        45.13       153.64         1.14
       -26         10          7     401.94        30.37       306.44        -0.40
       -26         10          8     225.40        47.96       236.24         0.01
       -26         10          9     356.13        32.78       309.42         1.49
       -26         10         10     221.44        47.97       260.86         3.06
       -26         10         11     433.65        28.78       267.05         1.84
       -26         10         12     275.72        39.96       216.49         1.70
       -26         10         13     147.81        73.50       111.62        -2.86
       -26         10         14     560.23        25.16       478.36        -0.37
       -26         10         15     255.02        44.30       221.74         2.73
       -26         11          4     225.34        50.43       154.63        -0.44
       -26         11          5     291.96        42.85       203.01        -2.30
       -26         11          6     109.78        93.36       362.59        -2.91
       -26         11          7     334.28        38.48       282.63         0.91
       -26         11          8     276.63        44.90       216.37         0.64
       -26         11          9     402.18        36.49       360.19         2.18
       -26         11         10     332.01        39.30       195.32        -2.69
       -26         11         11     303.52        36.89       269.24        -1.49
       -26         11         12     319.09        36.48       218.15         2.17
       -25          0          1     651.53        17.24       708.28         0.00
       -25          0          2     292.91        21.17       155.23         0.00
       -25          0          9     223.00        32.25       208.98         3.14
       -25          0         10     316.99        25.17       139.69         3.14
       -25          0         11     272.52        26.35       300.41         3.14
       -25          0         12     303.51        24.38       196.30         3.14
       -25          0         13      89.61        71.92        64.76         3.14
       -25          0         14     185.42        36.14       127.10         3.14
       -25          0         15     135.06        46.33       124.69         0.00
       -25          0         16     198.52        36.49        73.23         3.14
       -25          1          1     652.02         8.23       369.15         0.35
       -25          1          2     349.83        21.18       526.86         0.03
       -25          1          3     338.71        22.37       392.46        -2.79
       -25          1          8     778.77        18.88       675.76         1.91
       -25          1          9     233.65        22.81       201.67        -1.96
       -25          1         10     302.09        14.16       317.25        -2.04
       -25          1         11     364.59        21.24       370.17        -0.51
       -25          1         12     483.25        19.66       447.69        -3.13
       -25          1         13     295.59        25.55       408.64         3.09
       -25          1         14     374.82        22.79       259.07        -1.09
       -25          1         16     119.68        54.94       170.75        -0.56
       -25          1         17     317.98        26.66       308.70         1.44
       -25          1         18     152.78        45.44       177.51         1.02
       -25          1         19     177.67        38.35       106.11        -0.55
       -25          2          1     279.90        12.94       275.73         1.53
       -25          2          2     135.76        43.94       325.36         2.04
       -25          2          3     190.44        34.95       105.58        -2.96
       -25          2          7     396.56        25.18       354.52        -0.37
       -25          2          8     691.77        20.86       540.91         1.41
       -25          2          9     245.17        30.30       197.95         0.38
       -25          2         10     513.16        21.64       332.45         0.03
       -25          2         11     321.08        27.15       185.04         0.27
       -25          2         12     299.37        27.93       227.64         2.14
       -25          2         13     290.22        29.10       268.92        -2.73
       -25          2         14     493.69        21.23       553.28         1.11
       -25          2         15     277.35        29.86       314.60        -0.83
       -25          2         16     100.89        69.88       155.10         3.04
       -25          2         17     583.30        18.44       454.66         2.76
       -25          2         18     427.18        21.95       279.26         0.22
       -25          2         19     157.00        45.81       203.59         1.02
       -25          2         20     121.62        55.92       169.21        -0.27
       -25          3          1     209.89        34.52       117.44         2.68
       -25          3          2     280.75        27.09       292.93        -1.92
