    h  k  l  FP     SIGFP  FC     PHIC FC_ALL PHIC_ALL FWT    PHWT DELFWT PHDELWT FOM  FC_ALL_LS PHIC_ALL_LS 
78  -8 14 2  198.11 124.10 261.62 5.97 200.53 6.03     66.92  6.03 133.60 2.89    0.68 239.26    6.00        
79  -8 15 1  175.63 127.83 160.04 3.09 106.28 3.03     32.16  3.03 74.11  6.17    0.39 135.05    3.06        
80  -8 15 2  455.41 54.49  365.95 1.85 299.48 1.90     583.07 1.90 283.59 1.90    0.97 338.69    1.88        
81  -8 16 2  217.80 102.79 155.95 2.08 160.50 2.24     156.30 2.24 4.20   5.39    0.73 169.88    2.22        
82  -8 28 13 212.71 150.44 154.49 0.41 130.49 0.32     61.34  0.32 69.15  3.47    0.45 155.25    0.39        
83  -8 28 14 126.27 253.08 117.27 5.83 70.53  5.34     54.22  2.19 124.76 2.19    0.06 113.37    5.78        
84  -8 29 10 259.84 129.65 253.45 1.15 188.43 1.31     194.87 1.31 6.43   1.31    0.74 252.38    1.18        
85  -7 0  2  168.45 105.42 275.52 3.14 216.54 3.14     88.70  3.14 127.85 0.00    0.91 188.41    3.14        
86  -7 0  3  309.15 64.73  273.13 3.14 261.30 3.14     356.91 3.14 95.61  3.14    1.00 364.90    3.14        
87  -7 0  4  160.22 114.45 93.45  3.14 107.96 3.14     79.75  3.14 28.22  0.00    0.59 180.24    3.14        
88  -7 1  1  281.55 35.68  371.65 6.14 328.56 6.11     210.02 6.11 118.55 2.97    0.96 396.44    6.05        
89  -7 1  2  344.70 38.49  442.21 3.96 380.72 4.03     287.82 4.03 92.90  0.89    0.97 441.99    4.22        
90  -7 1  3  864.36 12.83  975.42 0.20 816.31 0.19     904.42 0.19 88.11  0.19    1.00 856.85    0.16        
91  -7 1  4  713.45 35.73  757.40 5.73 640.22 5.72     774.75 5.72 134.53 5.72    0.99 685.51    5.70        
92  -7 1  5  291.54 61.44  323.88 0.20 199.47 0.27     330.16 0.27 130.70 0.27    0.91 97.11     0.59        
93  -7 1  6  222.94 79.34  298.94 4.04 242.61 3.84     146.91 3.84 95.70  0.70    0.87 258.47    3.61        
94  -7 2  1  337.28 26.20  566.78 2.59 494.04 2.52     166.14 2.52 327.89 5.66    0.98 581.60    2.36        
95  -7 2  2  179.03 44.06  214.25 3.63 174.35 3.66     131.46 3.66 42.89  0.52    0.85 170.93    3.74        
96  -7 2  3  245.51 36.27  305.11 3.59 221.60 3.54     233.44 3.54 11.84  3.54    0.93 159.61    3.38        
97  -7 2  4  222.73 79.27  245.12 3.10 223.31 3.03     160.33 3.03 62.97  6.17    0.86 270.32    2.93        
98  -7 2  5  266.39 66.46  330.07 4.46 249.78 4.47     237.81 4.47 11.97  1.32    0.92 224.17    4.47        
99  -7 2  6  246.95 85.48  286.12 3.43 240.38 3.43     192.18 3.43 48.19  0.28    0.88 253.43    3.42        
100 -7 2  7  247.06 85.52  291.74 0.04 251.26 0.09     184.44 0.09 66.82  3.23    0.88 269.55    0.12        
