                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       184        -17          7          3          1      97.91      22.77     102.79      -2.52
       185        -17          7          4          1     117.62      27.80     132.07       0.04
       186        -17          7          5          0     140.80      30.83     129.12      -2.02
       187        -17          7          6          1     108.54      24.92     135.28       0.74
       188        -17          7          7          1      67.74      18.69      95.15      -2.23
       189        -17          7          8          1      61.65      18.38      42.22      -2.84
       190        -17          7          9          1      34.80      16.48      42.68      -0.86
       191        -17          7         10          1      38.11      17.18      10.71       0.65
       192        -17          7         11          1      75.92      20.34      84.07       2.45
       193        -17          7         12          1      80.00      21.67      54.01      -2.87
       194        -17          8          1          1       8.47      17.09      36.85      -2.18
       195        -17          8          2          1      86.23      20.75      78.97       0.54
       196        -17          8          3          1      57.01      16.70      52.04      -2.26
       197        -17          8          4          1      58.72      17.27      54.42      -0.22
       198        -17          8          5          1      50.32      16.58      64.93       0.87
       199        -17          8          6          1      81.42      20.16      67.90      -0.31
       200        -17          8          7          1      61.13      17.77      81.35       1.77
       201        -17          8          8          1      78.38      20.23      86.40      -0.35
       202        -17          8          9          1      29.84      16.20      14.57      -1.28
       203        -17          8         10          1      40.31      17.54      49.49       0.60
       204        -17          8         11          1     111.82      26.75     102.88       1.34
       205        -17          9          1          1      54.23      18.33      47.39       0.30
       206        -17          9          2          1     108.14      25.97     120.53      -1.84
       207        -17          9          3          1      60.71      17.31      60.53       2.25
       208        -17          9          4          1      51.50      17.69      38.11      -0.00
       209        -17          9          5          1      24.06      15.98      25.16       1.65
       210        -17          9          6          1      37.85      16.77      45.28      -1.59
       211        -17          9          7          1      43.51      17.86      34.66       1.87
       212        -17          9          8          1      32.82      17.34      54.60      -2.49
       213        -17          9          9          1      23.62      17.60      14.05       1.54
       214        -17          9         10          1      57.54      18.50      49.58      -0.69
       215        -17         10          1          1      59.92      19.45      61.88       2.26
       216        -17         10          2          1      60.07      18.31      55.16       0.12
       217        -17         10          3          1      92.28      24.55      64.17      -0.09
       218        -17         10          4          1      63.60      22.90      47.32      -1.90
       219        -17         10          5          1      39.41      19.13      50.25      -0.87
       220        -17         10          6          0      84.01      24.41      77.27       0.17
       221        -17         10          7          0      36.27      20.31      29.58      -0.31
       222        -17         10          8          1      31.49      18.34      45.77      -1.86
       223        -17         10          9          1      84.50      21.06     111.12       1.17
       224        -17         11          1          1      77.89      20.68      80.62      -0.88
       225        -17         11          2          1      21.32      17.17      20.57      -1.05
       226        -17         11          3          1      61.56      18.47      51.60      -2.58
       227        -17         11          4          1      32.10      16.07      24.79       0.10
       228        -17         11          5          1      79.69      20.98      90.19      -1.65
       229        -17         11          6          1      46.61      16.13      76.47       1.35
       230        -17         11          7          1      35.46      15.68      39.38      -2.40
       231        -17         12          4          1      37.67      15.60      57.99      -2.90
       232        -17         12          5          1      34.06      15.51      36.09      -0.27
       233        -16          0          1          1      45.63      21.00      64.35       0.00
       234        -16          0          2          1     200.30      41.62     229.24       3.14
       235        -16          0          3          1      10.58      13.67      20.68       0.00
       236        -16          0          4          0      48.94      19.39       8.57       0.00
       237        -16          0          5          1      38.66      24.07      20.03       3.14
       238        -16          0          6          1      35.60      21.51      19.40       3.14
       239        -16          0          8          1      98.38      29.79      76.18       3.14
       240        -16          0          9          1      83.34      26.55      76.00       3.14
       241        -16          0         10          1      17.12      24.60      48.51       0.00
       242        -16          0         11          1      44.04      20.31      47.16       3.14
       243        -16          0         12          1      26.03      21.06      27.80       0.00
       244        -16          0         13          1      29.74      21.18      52.08       0.00
       245        -16          1          1          1      61.43      18.71      49.91      -1.26
       246        -16          1          2          1     160.66      28.64     154.31      -0.54
       247        -16          1          3          1     168.16      26.19     145.57      -2.16
       248        -16          1          4          1      82.45      19.22      81.16      -2.70
       249        -16          1          5          1      20.36      17.33      46.41      -1.11
       250        -16          1          6          1      63.40      18.34      44.78       2.16
       251        -16          1          7          0      48.91      17.30      52.66      -2.31
       252        -16          1          8          1     108.56      26.83      85.67       2.53
       253        -16          1          9          1      22.87      16.09      32.89       1.67
       254        -16          1         10          0       2.65      17.90      10.59      -0.97
       255        -16          1         11          1      85.77      22.11      76.44      -0.23
       256        -16          1         12          0      48.32      18.32      28.00      -1.04
       257        -16          1         13          1     103.48      25.69      78.21      -0.02
       258        -16          1         14          1      41.81      19.65      46.84      -1.70
       259        -16          2          1          1     152.92      35.48     155.10      -2.76
       260        -16          2          2          1      83.54      20.05      93.18       0.11
       261        -16          2          3          0      60.90      15.14      46.43      -0.03
       262        -16          2          4          1      50.97      16.32      56.50      -2.75
       263        -16          2          5          1      32.40      17.15      80.29      -0.34
       264        -16          2          6          1     133.62      23.13     144.92      -2.35
       265        -16          2          7          1      34.40      16.88      51.85       0.86
       266        -16          2          8          1      69.97      21.13      33.06       0.63
       267        -16          2          9          0      29.80      18.27      27.86       2.33
       268        -16          2         10          1      68.81      20.53      41.54       0.75
       269        -16          2         11          1      48.91      17.67      58.01      -3.02
       270        -16          2         12          1      85.02      22.32      92.19      -0.14
       271        -16          2         13          0      32.75      18.43      59.69       2.91
       272        -16          2         14          1      85.55      26.63      84.85       1.06
       273        -16          3          1          1      72.73      20.62      82.93       1.10
       274        -16          3          2          1      64.57      18.26     106.93      -1.72
       275        -16          3          3          1     126.69      20.50      82.18       2.45
       276        -16          3          4          1      36.13      15.48      12.35      -1.89
       277        -16          3          5          1     225.88      39.83     227.09       2.49
       278        -16          3          6          1      93.01      22.39     116.56      -1.74
       279        -16          3          7          1      43.45      20.25      63.88       1.36
       280        -16          3          8          1      23.94      19.26      48.71      -0.93
       281        -16          3          9          1      32.70      18.79      19.71       1.21
       282        -16          3         10          1      29.87      17.03      29.33      -2.98
       283        -16          3         11          1      46.86      17.46      32.86      -0.93
       284        -16          3         12          1      19.86      17.57      21.52      -2.93
       285        -16          3         13          1      44.99      18.42      66.29      -0.02
       286        -16          3         14          1      29.80      17.33      26.76      -0.89
       287        -16          4          1          1      76.92      21.07      68.36      -1.20
       288        -16          4          2          1      95.79      24.11     109.02      -2.57
       289        -16          4          3          1      33.16      17.45      59.50       1.42
       290        -16          4          4          1      46.78      16.25      35.59       1.95
       291        -16          4          5          1      65.17      18.56      47.92       1.14
       292        -16          4          6          1     167.29      36.77     153.74      -3.10
       293        -16          4          7          1      42.50      18.20      68.72       0.18
       294        -16          4          8          1      87.25      21.71      72.38       3.01
       295        -16          4          9          1      17.90      16.34      38.58       1.82
       296        -16          4         10          1      41.50      16.75      61.90      -0.96
       297        -16          4         11          1      22.24      16.59      28.79      -2.15
       298        -16          4         12          1      31.93      17.45      31.10      -1.33
       299        -16          4         13          1      32.47      17.35      38.62      -2.80
       300        -16          4         14          1      17.04      16.85      33.24      -2.68
       301        -16          5          1          0     128.11      30.21      78.70       2.80
       302        -16          5          2          1      27.11      17.32      14.59      -2.05
       303        -16          5          3          1      25.50      15.27       5.55       1.59
       304        -16          5          4          1      53.62      17.09      32.79      -1.43
       305        -16          5          5          1      82.98      21.23      92.61       1.70
       306        -16          5          6          1      83.08      21.22      61.12       1.21
       307        -16          5          7          1      98.19      24.65      96.50      -1.98
       308        -16          5          8          1      11.63      15.61      18.81       1.13
       309        -16          5          9          1      30.92      17.30      22.56       2.93
       310        -16          5         10          1      56.89      18.65      69.57      -2.31
       311        -16          5         11          1      94.53      23.62      76.50      -1.28
       312        -16          5         12          1      54.70      18.22      36.16      -1.47
       313        -16          5         13          1      32.89      18.96      41.53       1.28
       314        -16          5         14          1      22.97      16.85      39.44      -0.71
       315        -16          6          1          1      87.59      23.21      64.19      -2.98
       316        -16          6          2          1      56.54      16.28      80.84      -0.03
       317        -16          6          3          1      63.86      17.52      41.19      -2.99
       318        -16          6          4          1      78.36      20.14      85.37       0.13
       319        -16          6          5          1      36.20      16.71      63.76      -2.16
       320        -16          6          6          1      52.27      19.03      62.06      -1.54
       321        -16          6          7          1      71.55      19.15      75.12       0.61
       322        -16          6          8          1      55.89      17.18      51.07       0.16
       323        -16          6          9          1      25.76      16.59      15.93       2.19
       324        -16          6         10          1      46.34      17.36      62.78      -2.09
       325        -16          6         11          1      88.76      23.10      52.51      -2.90
       326        -16          6         12          1     115.75      27.91     117.55      -0.11
       327        -16          6         13          1      14.83      19.32      34.30       2.23
       328        -16          6         14          1      20.89      17.62      22.40       2.30
       329        -16          7          1          1      95.41      25.78     102.71      -0.11
       330        -16          7          2          1      87.56      24.15      49.54       0.83
       331        -16          7          3          1      86.38      22.01      62.43      -0.97
       332        -16          7          4          1     160.53      35.16     170.68      -2.87
       333        -16          7          5          1      99.95      23.12     129.01       1.68
       334        -16          7          6          0     211.33      45.33     185.62      -2.21
       335        -16          7          7          1     104.57      24.15     106.48       2.10
       336        -16          7          8          1      59.76      18.02      48.19      -1.95
       337        -16          7          9          1      74.33      19.49      81.54       2.88
       338        -16          7         10          1       3.53      16.62      19.53       2.52
       339        -16          7         11          1      20.20      16.78      24.15      -0.42
       340        -16          7         12          1      49.66      18.74      45.28      -1.36
       341        -16          7         13          1      32.90      16.82      30.00       1.16
       342        -16          7         14          1      15.70      18.78      37.28      -0.19
       343        -16          8          1          1     119.03      30.65      94.82      -1.39
       344        -16          8          2          1      50.42      17.41      25.41      -0.23
       345        -16          8          3          1      94.10      25.15      82.85       2.09
       346        -16          8          4          1     104.74      24.08     100.31       0.47
       347        -16          8          5          0      59.36      17.46      29.24       2.77
       348        -16          8          6          1     129.54      28.46     110.69       2.44
       349        -16          8          7          1     146.87      32.21     153.77      -1.01
       350        -16          8          8          1     110.40      26.49      91.85       2.18
