                    h          k          l         FP      SIGFP      FCalc    PHICalc
       164        -19         30          3      68.49       0.92     100.24       0.90
       165        -18          0          3     179.46       0.94     173.81       3.14
       166        -18          1          1     113.46       0.95      99.62      -0.40
       167        -18          1          3     243.84       0.94     191.26      -2.55
       168        -18          2          1     123.60       0.95      90.29       3.01
       169        -18          2          3     188.45       0.94     148.34      -1.31
       170        -18          3          1     208.76       0.95     192.62       1.85
       171        -18          3          2     128.87       0.94     139.36       0.39
       172        -18          3          3     245.40       0.94     226.91       0.57
       173        -18          4          1     169.57       0.95     137.93      -1.25
       174        -18          4          2     113.94       0.94     144.35       2.60
       175        -18          4          3     182.41       0.94     210.69       1.92
       176        -18          4          5      99.95       0.93     102.61       1.86
       177        -18          5          1     132.27       0.95     106.22       0.73
       178        -18          5          3      79.93       0.94      85.05      -1.28
       179        -18          5          5     161.13       0.93     191.75      -2.52
       180        -18          5          7      47.65       0.92      66.26      -0.11
       181        -18          6          1     179.83       0.95     153.58       0.12
       182        -18          6          3      59.00       0.94      98.43      -1.50
       183        -18          6          5      85.24       0.93     127.30      -0.55
       184        -18          6          7      59.41       0.92     103.67      -0.86
       185        -18          7          1      92.22       0.95      42.49      -0.54
       186        -18          7          3     131.65       0.94     188.51      -1.89
       187        -18          7          5      73.80       0.93     111.47       1.08
       188        -18          8          3      82.40       0.94     125.92       0.58
       189        -18          9          3     144.88       0.94     147.27       2.61
       190        -18          9          5     155.76       0.93     139.34      -0.09
       191        -18         10          1     144.11       0.95     185.35      -2.76
       192        -18         10          5     163.22       0.93     114.41      -1.61
       193        -18         12          3      54.85       0.94     106.12       0.72
       194        -18         12          5      98.40       0.93      86.46      -1.36
       195        -18         13          1     100.89       0.95     125.38      -1.66
       196        -18         13          3       8.42       0.94      58.99       1.91
       197        -18         13          7     137.14       0.92     161.77      -1.85
       198        -18         14          5     131.91       0.93      91.62       2.72
       199        -18         14          7     208.50       0.92     233.51      -3.10
       200        -18         15          7      87.79       0.92     115.43      -1.15
       201        -18         16          3      77.61       0.93      89.54      -0.02
       202        -18         17          1      12.08       0.94      38.11       2.43
       203        -18         17          3     152.89       0.93     259.17       0.22
       204        -18         17          5     144.05       0.92     166.36      -2.79
       205        -18         17          7      80.27       0.92     107.08       3.12
       206        -18         18          3      85.91       0.93     167.15      -2.76
       207        -18         18          5      25.02       0.92     105.36       0.99
       208        -18         18          7     160.97       0.91      75.07      -2.42
       209        -18         18          8      71.02       0.91     101.90       0.11
       210        -18         19          1      55.77       0.94      87.17       2.19
       211        -18         19          3     145.69       0.93     162.94      -2.25
       212        -18         19          7      68.55       0.91     130.61       1.51
       213        -18         19          8      59.32       0.91      37.29       2.08
       214        -18         20          1     110.61       0.94     121.83       0.14
       215        -18         20          7      75.62       0.91      67.06       0.29
       216        -18         21          1      55.12       0.94      73.10      -3.14
       217        -18         21          3     154.96       0.93     129.66       2.38
       218        -18         21          7      64.52       0.91      62.37      -1.98
       219        -18         22          1      66.36       0.94      93.63       2.77
       220        -18         22          3      57.10       0.93     102.83      -0.29
       221        -18         22          7      46.50       0.91      37.22       1.43
       222        -18         23          1      66.30       0.94      69.44       0.40
       223        -18         23          3      74.05       0.93      75.60       2.81
       224        -18         23          6      67.19       0.92      67.84      -3.02
       225        -18         23          7      67.96       0.91      90.70      -0.79
       226        -18         24          3      93.85       0.93     105.42      -1.93
       227        -18         24          7      95.03       0.91      87.17       0.16
       228        -18         25          1      52.77       0.94      58.05       1.96
       229        -18         25          3     152.37       0.93     202.27      -0.44
       230        -18         25          7      27.74       0.91      74.26      -2.85
       231        -18         26          1      59.37       0.94     120.31      -2.32
       232        -18         26          3      87.55       0.93      84.68      -2.81
       233        -18         26          6     157.72       0.91     167.76       1.68
       234        -18         27          1      65.95       0.94      37.27      -2.53
       235        -18         27          6      52.07       0.91      43.80       3.07
       236        -18         28          1      52.43       0.93      50.20       2.77
       237        -18         28          6      18.76       0.91      48.60       2.37
       238        -18         29          1     112.30       0.93     125.35      -2.84
       239        -18         29          5      56.50       0.91      35.64       0.77
       240        -18         30          1      34.31       0.93      44.17       1.55
       241        -18         30          5     125.39       0.91     148.00      -0.96
       242        -18         31          1      17.14       0.93      57.06       0.11
       243        -18         31          5     152.70       0.91     161.15      -3.14
       244        -18         33          1      64.66       0.93      84.53      -0.63
       245        -18         33          3      78.77       0.92      34.78      -0.32
       246        -18         34          1      69.40       0.93      94.18      -2.66
       247        -18         34          3      86.20       0.92     134.20       2.28
       248        -17          0          3      23.05       0.94     128.84       0.00
       249        -17          1          1      61.70       0.95     127.06       0.42
       250        -17          1          2     104.52       0.94     105.55       1.34
       251        -17          1          3      81.79       0.94      84.44      -1.54
       252        -17          2          1     117.72       0.95      80.77      -0.29
       253        -17          2          2     154.69       0.94      68.17       2.48
       254        -17          2          3      75.98       0.94      80.92       1.87
       255        -17          2          7      88.12       0.92     120.30      -0.38
       256        -17          3          3     198.79       0.94     146.63      -2.27
       257        -17          4          1     108.23       0.95     123.66       2.73
       258        -17          4          2      77.56       0.94      69.49       2.40
       259        -17          4          3     125.70       0.94     103.94       2.24
       260        -17          4          5      55.21       0.93      75.13      -2.21
       261        -17          4          7      62.16       0.92      76.07       0.84
       262        -17          5          1     192.97       0.95     189.31       1.83
       263        -17          5          2     138.91       0.94     109.29      -0.66
       264        -17          5          3     138.13       0.94     152.71       0.58
       265        -17          5          5      59.00       0.93      43.12       0.59
       266        -17          6          2     142.55       0.94     136.62      -1.46
       267        -17          6          3     120.03       0.94     102.91      -0.26
       268        -17          6          5     134.11       0.93     177.40      -2.04
       269        -17          7          3      82.28       0.94     108.12      -2.79
       270        -17          7          5      88.83       0.93      71.00      -2.67
       271        -17          8          3     160.58       0.94     202.04      -0.49
       272        -17          8          5     242.12       0.93     263.36       0.56
       273        -17          9          5     284.21       0.93     225.33      -1.05
       274        -17         10          1      27.96       0.94      88.50       0.59
       275        -17         10          3      78.83       0.94     114.44      -2.25
       276        -17         10          5     171.65       0.93     155.60       2.37
       277        -17         11          1     268.15       1.32     115.29      -2.09
       278        -17         11          3      49.26       0.93      24.21      -0.19
       279        -17         11          5     155.47       0.93     160.32       0.64
       280        -17         11          9      75.99       0.91      64.43       0.91
       281        -17         12          1     113.54       0.94      98.84      -2.15
       282        -17         12          5     191.59       0.93      78.66       1.45
       283        -17         12          7     211.54       0.92     214.75       3.07
       284        -17         12          9     105.07       0.91     140.84      -2.37
       285        -17         13          3     214.89       0.93     220.65       1.70
       286        -17         13          5     161.34       0.93     145.16       2.14
       287        -17         13          7     131.48       0.92     109.25      -1.28
       288        -17         13          9      74.38       0.91      46.84       3.06
       289        -17         14          3     199.85       0.93     153.86       1.17
       290        -17         14          5     102.91       0.92      82.42       2.91
       291        -17         14          7     197.76       0.92     221.01       0.13
       292        -17         14          9      73.70       0.91      54.63       1.44
       293        -17         15          1      69.17       0.94      84.80      -2.89
       294        -17         15          3     119.88       0.93     167.62       1.02
       295        -17         15          5     112.19       0.92     141.73      -1.42
       296        -17         15          7     140.32       0.92     172.69      -2.48
       297        -17         15          9      77.39       0.91      31.83       0.93
       298        -17         16          5     122.65       0.92     137.20      -1.46
       299        -17         16          7     123.94       0.92     127.75       0.55
       300        -17         16          8      24.88       0.91      52.59      -0.02
       301        -17         16          9      87.05       0.91      72.08      -0.74
       302        -17         17          1     135.53       0.94     212.53      -0.95
       303        -17         17          3     150.29       0.93      97.83      -2.35
       304        -17         17          5     171.67       0.92     130.10      -2.07
       305        -17         17          7     126.33       0.91      83.42      -0.77
       306        -17         17          9      76.38       0.91      97.65      -2.66
       307        -17         18          1     164.78       0.94     160.04      -2.40
       308        -17         18          3      73.47       0.93      41.67       2.14
       309        -17         18          7     178.54       0.91     209.20      -2.31
       310        -17         18          9     112.05       0.91      87.39       1.81
       311        -17         19          1      79.23       0.94     155.22       1.72
       312        -17         19          6     178.37       0.92     225.00       3.07
       313        -17         19          7      76.10       0.91      61.42       1.10
       314        -17         19          8      30.38       0.91      40.60       2.85
       315        -17         20          3     135.75       0.93      86.94      -0.76
       316        -17         20          6      62.90       0.92      45.17       0.98
       317        -17         20          7      51.76       0.91      57.33      -2.43
       318        -17         21          1     156.25       0.94     158.78       2.60
       319        -17         21          3     177.17       0.93     223.33      -1.98
       320        -17         21          7      59.47       0.91      43.68       1.76
       321        -17         21          8      75.48       0.91      53.16      -0.22
       322        -17         22          1      52.79       0.94      53.30       2.93
       323        -17         22          3     144.44       0.93      97.05      -2.00
       324        -17         22          5      73.29       0.92      83.29       1.08
       325        -17         22          7      78.29       0.91     130.88       1.17
       326        -17         22          8      54.45       0.91      80.55      -2.96
       327        -17         23          1      80.38       0.94     119.27       1.73
       328        -17         23          7      81.77       0.91     118.72      -2.64
       329        -17         24          5     126.12       0.92     126.26       1.51
       330        -17         24          7      55.40       0.91      17.23      -1.69
       331        -17         24          8      48.65       0.91      70.34      -0.88
       332        -17         25          1     214.99       0.94     233.10      -0.67
       333        -17         25          6      55.41       0.91      56.13       2.03
       334        -17         25          7      96.71       0.91     142.32       1.73
       335        -17         26          1     123.97       0.93     111.57      -0.21
       336        -17         26          7      85.17       0.91      76.78      -0.97
       337        -17         27          1      72.98       0.93     153.87      -2.98
       338        -17         27          6     125.46       0.91      95.31      -2.48
       339        -17         27          7      49.35       0.91      33.70       1.70
       340        -17         28          1     130.80       0.93     123.15      -2.33
       341        -17         28          3     167.89       0.92     141.12      -2.64
       342        -17         28          5      75.70       0.91     110.19       1.45
       343        -17         28          7      78.11       0.91     102.32      -2.68
       344        -17         29          1      60.35       0.93      45.43       1.31
       345        -17         29          3     183.56       0.92     116.30       2.61
       346        -17         29          5     129.68       0.91     159.66       1.01
       347        -17         29          6      26.55       0.91      73.13       0.43
       348        -17         29          7      40.73       0.91      65.23       0.49
       349        -17         30          3     184.92       0.92     264.16       2.82
       350        -17         30          5      83.83       0.91     117.22      -2.09
       351        -17         31          3      90.97       0.92      85.76       1.71
       352        -17         31          5      67.43       0.91      42.74      -1.02
       353        -17         32          1     212.70       0.93     184.27       1.24
       354        -17         32          3      47.22       0.92      68.95      -2.42
       355        -17         32          4     183.87       0.91     120.59      -2.98
       356        -17         32          5     136.15       0.91     142.36      -1.04
       357        -17         33          1      89.72       0.93      49.21       1.99
       358        -17         33          3      57.44       0.92      97.79       0.97
       359        -17         33          5     160.34       0.91     206.59      -2.84
       360        -17         34          3     137.46       0.92      82.92       0.85
       361        -17         34          4      51.16       0.91      53.44       2.51
       362        -17         34          5      81.61       0.91      43.87       2.43
       363        -17         35          3     135.45       0.92     133.70      -2.19
       364        -17         35          4      86.25       0.91      50.83       0.12
       365        -17         36          3      15.90       0.91      34.20      -1.54
       366        -17         37          1      67.67       0.92      71.44       2.70
       367        -17         37          2      73.56       0.92      98.88       2.81
       368        -17         37          3      75.39       0.91      62.76      -2.60
       369        -16          0          3      99.44       0.94      66.76       0.00
       370        -16          1          1      81.59       0.94      81.73      -2.94
       371        -16          1          2      48.59       0.94      71.59       3.10
       372        -16          1          3     136.57       0.94     104.52      -0.19
       373        -16          2          1     281.66       0.94     243.31      -0.05
       374        -16          2          3     125.34       0.94     161.46       0.79
       375        -16          2          4      67.70       0.93      96.42      -0.65
       376        -16          2          5      42.18       0.93      88.07       2.69
       377        -16          2          7      56.00       0.92      34.24       2.15
       378        -16          3          1     111.13       0.94      96.74       0.90
       379        -16          3          3     148.90       0.94     116.02      -3.12
       380        -16          3          5      47.09       0.93      63.71      -1.38
       381        -16          4          1     195.60       0.94     189.95       3.06
       382        -16          4          2     107.67       0.94     106.88      -1.19
       383        -16          4          3     121.29       0.94     123.97      -1.11
       384        -16          4          4      32.40       0.93      90.31      -1.49
       385        -16          4          5     135.15       0.93     139.56       3.13
       386        -16          5          2      84.45       0.94      47.96       0.03
       387        -16          5          3      79.94       0.94     114.27      -1.36
       388        -16          5          5     109.36       0.93      68.91      -0.81
       389        -16          6          1     146.74       0.94     186.52      -2.34
       390        -16          6          3     210.61       0.93     142.21      -2.90
       391        -16          6          5     182.44       1.30     113.14       0.12
       392        -16          7          1      93.68       0.94      91.60      -0.89
       393        -16          7          3     278.69       0.93     268.66       1.35
       394        -16          7          5     130.34       0.93     164.40       0.51
       395        -16          8          3     120.62       0.93      60.07      -0.04
       396        -16          8          9      15.22       0.91      38.29      -1.71
       397        -16          9          1     106.26       0.94     120.46       0.28
       398        -16          9          3      47.73       0.93      71.82       0.03
       399        -16          9          5     178.58       0.93     123.21      -3.14
       400        -16          9          9     110.69       0.91     100.75      -1.23
       401        -16         10          1     159.00       0.94     101.85       1.82
       402        -16         10          5     122.25       0.93     120.64       0.17
       403        -16         10          9      34.52       0.91      72.66       0.74
       404        -16         11          1     327.38       1.32     148.97      -1.46
       405        -16         11          5      93.15       0.93     116.03       1.55
       406        -16         11          9      64.91       0.91      54.18      -1.61
       407        -16         12          9     132.67       0.91     157.39       2.49
       408        -16         13          1     113.80       0.94     142.60       1.94
       409        -16         13          3     128.58       0.93     187.41      -2.54
       410        -16         13          5     188.63       0.92     136.09      -1.57
       411        -16         13          7     108.71       0.92     135.58       2.96
       412        -16         13         10      46.03       0.91      63.51       1.49
       413        -16         14          1      47.32       0.94      53.88       2.88
       414        -16         14          5      50.07       0.92      80.90      -1.86
       415        -16         14          7     111.49       0.92     100.39      -1.26
       416        -16         14          8      86.32       0.91      56.43       0.94
       417        -16         14          9     147.35       0.91     124.67      -1.78
       418        -16         14         10     143.46       0.91     132.07       0.20
       419        -16         15          1      80.11       0.94      53.01       1.82
       420        -16         15          3     127.61       0.93     169.61       2.72
       421        -16         15          5     127.68       0.92      88.36       1.45
       422        -16         15          7      49.17       0.92      83.94       2.61
       423        -16         15          8     117.46       0.91      82.34      -0.56
       424        -16         15          9      57.24       0.91      74.24      -0.42
       425        -16         16          1      56.94       0.94      65.53      -1.07
       426        -16         16          3     181.99       0.93     172.40      -2.66
       427        -16         16          5     198.56       0.92     182.70      -0.39
       428        -16         16          6     148.02       0.92     125.57       3.03
       429        -16         16          7      77.23       0.92      64.45       1.67
       430        -16         16          9      78.54       0.91     111.99       0.38
       431        -16         17          3     144.75       0.93     131.56       0.00
       432        -16         17          7      94.83       0.91      95.55       0.10
       433        -16         17          8     130.34       0.91      98.02       2.58
       434        -16         17          9     121.14       0.91      53.20       2.10
       435        -16         18          3     133.31       0.93     152.42      -0.54
       436        -16         18          5      93.25       0.92     116.91      -0.19
       437        -16         18          7      59.49       0.91      42.74      -2.59
       438        -16         18          8      83.56       0.91     127.91      -0.01
       439        -16         18          9     107.73       0.91      95.80      -2.22
       440        -16         19          1     201.53       0.94     187.11      -1.14
       441        -16         19          3     131.08       0.93     149.64      -1.47
       442        -16         19          5      41.53       0.92      81.27      -0.43
       443        -16         19          6     113.52       0.92      80.15      -0.59
       444        -16         19          7      69.77       0.91     116.93      -0.22
       445        -16         19          9      70.59       0.91      98.00      -2.63
       446        -16         20          1     263.88       0.94     197.98      -1.75
       447        -16         20          5      33.86       0.92      11.12      -3.01
       448        -16         20          6     159.06       0.92     169.92      -2.90
       449        -16         20          7      61.05       0.91      56.88      -0.90
       450        -16         20          8     114.34       0.91     157.68      -2.53
       451        -16         20          9      60.49       0.91      60.82       2.35
       452        -16         21          1      39.42       0.94     121.17      -2.90
       453        -16         21          5     120.26       0.92      95.58      -2.09
       454        -16         21          7     140.78       0.91     206.08      -2.88
       455        -16         21          8      58.58       0.91     108.55      -0.25
       456        -16         21          9      53.11       0.90     120.72      -0.35
       457        -16         22          1     149.88       0.94     135.61      -1.36
       458        -16         22          5      78.45       0.92      88.39       1.97
       459        -16         22          7      68.06       0.91      97.41       1.54
       460        -16         22          8     205.90       0.91     233.44       0.15
       461        -16         22          9      68.71       0.90      64.53       2.03
       462        -16         23          1     151.15       0.93     213.94      -0.49
       463        -16         23          7      91.12       0.91     117.41      -0.08
       464        -16         23          8      66.91       0.91      29.99       0.45
       465        -16         24          1     211.91       0.93     199.02       1.78
       466        -16         24          7     137.42       0.91     148.79      -1.97
       467        -16         24          8      40.13       0.91      37.38       1.49
       468        -16         25          1      68.21       0.93      68.92       2.74
       469        -16         25          3      69.05       0.92      76.21      -3.05
       470        -16         25          5     134.77       0.92     162.60       2.28
       471        -16         25          7      95.40       0.91      87.39       1.42
       472        -16         25          8      44.80       0.91      31.36      -1.23
       473        -16         26          1      91.72       0.93     156.98      -0.31
       474        -16         26          6     114.47       0.91     151.23       2.28
       475        -16         26          7     129.53       0.91     172.30      -3.05
       476        -16         26          8      39.33       0.90      31.04      -1.52
       477        -16         27          1     157.56       0.93     138.63       1.53
       478        -16         27          3      62.54       0.92      92.90      -0.07
       479        -16         27          5     161.56       0.91     177.74       0.84
       480        -16         27          6     143.58       0.91     196.60       0.46
       481        -16         27          7      67.19       0.91      63.03      -0.62
       482        -16         28          1     106.97       0.93     146.00      -2.62
       483        -16         28          3      39.72       0.92      32.60      -2.37
       484        -16         28          5      70.51       0.91      71.70      -0.60
       485        -16         28          6     158.35       0.91     167.87       1.40
       486        -16         28          7      99.91       0.91     146.45      -0.09
       487        -16         28          8      64.15       0.90      88.70       2.61
       488        -16         29          3     294.83       0.92     350.20      -1.94
       489        -16         29          5      86.86       0.91      65.03      -0.35
       490        -16         29          7      89.85       0.90      32.26       0.38
       491        -16         30          5     117.20       0.91     104.26       0.91
       492        -16         30          6     133.13       0.91     142.15      -0.94
       493        -16         30          7      76.10       0.90      61.01       2.38
       494        -16         31          4      81.64       0.91     103.16       0.52
