                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       198        -22          4          8          0      31.33      11.01      56.70      -2.93
       199        -22          4          9          1     112.82       4.06     116.75      -1.19
       200        -22          4         10          1      42.91       8.78      52.46      -2.18
       201        -22          4         11          1     118.64       3.85      71.39       1.93
       202        -22          4         12          1      80.60       4.74      77.13      -2.79
       203        -22          4         13          0      36.45      10.15      52.44      -1.58
       204        -22          4         14          1      80.21       5.53     145.92       0.65
       205        -22          4         15          1      71.27       6.05      46.04      -2.86
       206        -22          4         16          1     176.99       3.92     150.59       1.07
       207        -22          4         17          1      94.24       5.33      53.15      -0.57
       208        -22          4         18          0      14.11      22.37     114.72      -1.22
       209        -22          4         19          1      56.29       9.81      89.03       0.62
       210        -22          4         20          1      47.19       9.57      23.85       0.19
       211        -22          4         21          0     103.18       5.49      43.54       1.04
       212        -22          5          1          1      89.35       3.99      83.32       1.36
       213        -22          5          2          1     125.04       3.43      88.68      -2.52
       214        -22          5          3          1     100.02       3.93     170.81       1.62
       215        -22          5          4          1     130.24       4.80     180.46      -1.09
       216        -22          5          5          1      17.39      15.09      94.20       2.24
       217        -22          5          6          1      98.43       3.89     106.50       3.07
       218        -22          5          7          1      40.22       7.82      43.81      -2.22
       219        -22          5          8          1     183.34       3.81     179.95       2.62
       220        -22          5          9          1      12.49      16.81      32.23      -0.00
       221        -22          5         10          1      81.88       4.72      46.54      -0.52
       222        -22          5         11          1      26.84       9.99      35.17      -1.95
       223        -22          5         12          1     113.97       4.14     133.58       2.48
       224        -22          5         13          1      72.76       5.41     135.86      -2.07
       225        -22          5         14          1      85.40       5.94      64.26       1.57
       226        -22          5         15          1      48.42       9.00       2.15      -0.04
       227        -22          5         16          1      99.41       5.34     114.66      -2.43
       228        -22          5         17          1     174.23       5.10     138.92       1.88
       229        -22          5         18          1      26.82      17.37      34.28      -2.70
       230        -22          5         19          0      44.54      10.75      85.20       0.39
       231        -22          5         20          1     112.28       4.74      46.64      -2.47
       232        -22          5         21          1      87.00       7.19      94.55       0.80
       233        -22          6          1          1      87.52       3.30      84.75       2.20
       234        -22          6          2          1      85.48       3.80      12.21       1.30
       235        -22          6          3          1     133.19       2.99     104.88      -2.70
       236        -22          6          4          1      86.01       4.10      72.67       2.17
       237        -22          6          5          1     182.79       4.86     163.21      -0.39
       238        -22          6          6          1     124.20       4.65     133.87       3.00
       239        -22          6          7          1      84.49       5.17     118.57       0.37
       240        -22          6          8          1      92.40       4.70      91.56       2.27
       241        -22          6          9          1     113.92       4.10     132.64      -2.21
       242        -22          6         10          1      53.62       7.62      25.04      -1.15
       243        -22          6         11          1     108.87       4.65      51.08      -0.48
       244        -22          6         12          1     100.65       4.79      61.67       2.99
       245        -22          6         13          1      88.51       4.69     130.51       2.95
       246        -22          6         14          1      50.83       7.37     122.13      -0.95
       247        -22          6         15          1     111.69       4.59     102.52       1.71
       248        -22          6         16          1     141.30       5.50     117.37      -0.87
       249        -22          6         17          1      27.18      14.36      42.34      -1.26
       250        -22          6         18          1      58.08       7.97      70.42      -2.29
       251        -22          6         19          0      65.01       8.75      88.63       1.03
       252        -22          7          2          1     108.70       3.11      65.16       2.72
       253        -22          7          3          1      49.09       6.03     121.38       0.34
       254        -22          7          4          1      82.36       3.64     101.14      -3.09
       255        -22          7          5          0      88.31       4.04     148.76       1.28
       256        -22          7          6          1      94.42       5.66      47.89       1.96
       257        -22          7          7          0      92.52       3.96      78.10      -1.19
       258        -22          7          8          1     120.82       3.49     106.30       1.67
       259        -22          7          9          1      77.77       4.76      59.61      -2.38
       260        -22          7         10          1      38.26       8.31      56.28      -0.06
       261        -22          7         11          1      39.20       9.10      22.89      -0.86
       262        -22          7         12          1     100.08       4.57     106.79       0.68
       263        -22          7         13          1     116.42       4.21     104.60       2.83
       264        -22          7         14          1      29.56      11.77      37.56       1.81
       265        -22          7         15          1      78.45       5.39      60.53       1.90
       266        -22          7         16          1      50.48       8.76      60.16       2.60
       267        -22          7         17          1      84.43       6.58      77.46      -0.43
       268        -22          7         18          1      58.10       8.15     106.76      -2.76
       269        -22          7         19          0      23.46      19.83      55.91      -0.84
       270        -22          7         20          1     113.86       6.75      95.05       2.40
       271        -22          8          2          1      78.69       3.74      75.53      -0.25
       272        -22          8          3          1      84.87       3.40      55.57       2.37
       273        -22          8          4          1      39.31       7.72      62.50      -0.10
       274        -22          8          5          1     113.06       4.56      90.51      -1.08
       275        -22          8          6          1     139.23       4.59      89.18       1.83
       276        -22          8          7          1      88.39       4.37      68.82      -1.37
       277        -22          8          8          1      56.00       6.03      38.09       0.42
       278        -22          8          9          1      96.20       3.91     130.27      -2.72
       279        -22          8         10          1      55.07       5.58      37.90       3.13
       280        -22          8         11          0      74.70       5.10      35.92       0.67
       281        -22          8         12          1      53.90       7.94      31.67      -2.63
       282        -22          8         13          1      24.55      15.04      75.03       1.66
       283        -22          8         14          1      35.61      10.71      73.75      -2.14
       284        -22          8         15          1      65.11       7.12      96.87       1.25
       285        -22          8         16          1      67.37       7.79      82.69      -2.46
       286        -22          8         17          0      85.12       6.38     105.33       0.18
       287        -22          8         18          1      19.70      20.87      58.18      -1.62
       288        -22          8         19          1      39.47      12.28      26.29       2.02
       289        -22          9          3          0      45.65       6.26     103.17      -0.30
       290        -22          9          4          1      76.13       3.83      83.90       2.10
       291        -22          9          5          1     101.66       3.73     115.36       0.20
       292        -22          9          6          1     149.53       4.51     103.08      -0.95
       293        -22          9          7          1      47.75       8.82      69.91      -1.82
       294        -22          9          8          1      57.53       6.46      72.97       1.47
       295        -22          9          9          1     110.08       3.82     115.94       2.95
       296        -22          9         10          1      54.29       6.79      59.57      -1.49
       297        -22          9         11          1      33.06      10.42      63.39       1.79
       298        -22          9         12          1      80.11       5.69     123.06      -0.27
       299        -22          9         13          0      42.03       9.34      43.16      -2.10
       300        -22          9         15          1      84.12       5.75     105.54       0.41
       301        -22          9         16          1      40.22       9.56      67.35       2.70
       302        -22          9         18          1      59.37       8.95      79.43       1.86
       303        -22         10          4          1      40.20       7.24      43.58      -0.69
       304        -22         10          5          1     114.27       3.52      71.03       1.95
       305        -22         10          6          1      65.54       5.57      18.31       2.74
       306        -22         10          7          1      70.90       6.49      88.71      -1.55
       307        -22         10          8          1      28.04      13.70      73.40      -1.11
       308        -22         10          9          1      56.25       6.95      61.38       3.05
       309        -22         10         10          1      57.44       6.99      47.16      -2.85
       310        -22         10         12          1      46.21       8.35      15.99       1.57
       311        -22         10         13          1      34.99      12.19      71.12       0.44
       312        -22         10         14          1      69.71       6.44     112.21      -2.76
       313        -22         10         15          1      32.07      12.27      33.81      -0.64
       314        -22         10         16          1      25.15      14.03      29.12      -2.84
       315        -22         10         17          1      82.27       6.37      82.48      -0.41
       316        -22         11          6          1     102.87       4.35      66.59       2.79
       317        -22         11          7          1      21.11      14.55      46.80       2.60
       318        -22         11          8          1      29.39       9.97       8.06       1.45
       319        -22         11          9          1      57.41       6.51      44.93       0.82
       320        -22         11         10          1      75.62       5.36     112.86      -1.59
       321        -22         11         11          1      26.95      11.44      49.32       2.36
       322        -22         11         12          1      61.78       6.34      18.77       0.72
       323        -22         11         13          1     107.75       4.64      76.25      -1.09
       324        -22         11         14          1      27.27      13.70      34.08      -0.23
       325        -22         11         16          1      16.46      22.09      19.38       1.84
       326        -22         12          8          1      19.27      16.39      53.18       3.00
       327        -22         12          9          1      67.21       5.67      53.51       2.49
       328        -22         12         10          1      24.90      12.85      29.67      -0.62
       329        -22         12         11          1      85.83       5.32      74.75      -0.56
       330        -22         12         12          1      79.92       5.88     111.41       2.91
       331        -22         12         13          1      52.87       7.65      48.40       1.37
       332        -21          0          1          1     150.59       4.61     162.54       0.00
       333        -21          0          2          1      31.80       9.17      22.78       0.00
       334        -21          0          3          1      29.86      16.19     133.26       0.00
       335        -21          0          4          1     126.54       4.23     202.88       3.14
       336        -21          0          5          1      70.12       6.93     169.12       3.14
       337        -21          0          6          0     173.24       6.36     181.05       0.00
       338        -21          0          7          1     140.67       5.04     239.09       3.14
       339        -21          0          8          1     157.37       4.94     226.14       0.00
       340        -21          0          9          1     119.64       5.59     195.62       3.14
       341        -21          0         10          1     219.31       5.62     134.10       0.00
       342        -21          0         11          1      55.91       7.90      55.60       0.00
       343        -21          0         12          1     234.47       9.06     253.68       3.14
       344        -21          0         13          1      98.90       6.69     135.63       0.00
       345        -21          0         14          1      77.68       8.36      16.57       0.00
       346        -21          0         15          1      38.13      15.25     102.31       0.00
       347        -21          0         16          1      49.05      13.00      50.19       3.14
       348        -21          0         17          1       8.94      30.77      14.20       0.00
       349        -21          0         18          1      61.92       8.32      47.90       3.14
       350        -21          0         19          1     180.27       5.51     201.60       3.14
       351        -21          0         20          1     101.07       8.21      70.13       0.00
       352        -21          0         21          1     201.93       9.11     133.01       0.00
       353        -21          0         22          1      66.78      11.56      69.30       0.00
       354        -21          0         23          1      70.00       9.38      71.56       3.14
       355        -21          1          1          1     104.55       3.31     128.29      -2.75
       356        -21          1          2          0      54.93       4.77      24.60      -1.82
       357        -21          1          3          1      70.20       4.56      69.93      -0.47
       358        -21          1          4          0      92.78       3.99     137.16       0.54
       359        -21          1          5          1     135.69       3.65     183.59      -2.43
       360        -21          1          6          1      73.76       5.38      23.23      -0.74
       361        -21          1          7          1      59.67       5.54      78.58       2.47
       362        -21          1          8          1     227.09       4.33     154.75      -1.70
       363        -21          1          9          1     111.88       4.10     130.19       1.00
       364        -21          1         10          1     172.35       3.87     207.51      -1.66
       365        -21          1         11          1     245.96       4.89     349.11       0.69
       366        -21          1         12          1      65.23       6.42      56.76       1.87
       367        -21          1         13          1      46.25       8.85      21.41      -1.56
       368        -21          1         14          1     106.63       4.82      66.71      -2.59
       369        -21          1         15          1      70.95       5.59      88.85      -2.22
       370        -21          1         16          0      23.58      13.51      62.43       0.30
       371        -21          1         17          1      26.96      15.71      58.60      -1.13
       372        -21          1         18          0     259.07       4.86     228.46       0.88
       373        -21          1         19          1      82.55       5.90     118.20      -1.18
       374        -21          1         20          1     103.44       5.26     135.95       2.68
       375        -21          1         21          1      42.38      12.33      69.27      -2.83
       376        -21          1         22          1     163.32       4.50     143.52       0.79
