                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       257        -35          3         11          1     278.64      86.60     425.93      -1.97
       258        -35          3         12          0     178.70      94.01     180.71       0.18
       259        -35          3         13          1     321.24     107.86     417.39       1.27
       260        -35          3         14          1     265.82      93.89     365.37      -1.34
       261        -35          3         16          0     264.94      44.09     347.32       1.26
       262        -35          4          2          1     208.75      92.54     169.89      -3.00
       263        -35          4          4          1     243.18      90.87     171.47       1.21
       264        -35          4          5          1     194.77     327.30     202.65      -0.87
       265        -35          4          9          1     215.77     219.17     252.22       2.94
       266        -35          4         12          1     232.17      84.25     260.37       1.45
       267        -35          4         13          1     143.47     265.38     306.52      -1.49
       268        -35          4         14          1     286.64      89.87     211.05      -2.74
       269        -35          4         17          1     219.86     216.59     169.32       2.96
       270        -35          5          1          1     412.46     172.04     244.51       1.45
       271        -35          5          2          0     231.17     136.55     328.01      -0.41
       272        -35          5          3          1     442.63      46.18     442.19      -0.18
       273        -35          5          4          1     641.44     109.33     347.59      -0.30
       274        -35          5          5          1     398.38     191.32     362.33       1.70
       275        -35          5          6          0     279.00      95.09     177.64      -2.55
       276        -35          5          7          1     413.03     224.72     465.02      -1.48
       277        -35          5         10          0     434.60      33.90     596.24      -2.14
       278        -35          5         11          0     302.86      43.05     464.99       2.58
       279        -35          5         12          0     279.32     152.07     371.09      -0.79
       280        -35          5         13          1     437.92      44.26     479.35      -1.08
       281        -35          5         14          1      89.41     347.74     257.93      -1.96
       282        -35          5         17          0     129.04     377.72     375.66       0.76
       283        -35          6          1          1     192.51     187.18     112.13      -0.97
       284        -35          6          6          0     205.83     138.08     417.23      -2.63
       285        -35          6          7          1     366.26      54.92     200.09       1.35
       286        -35          6          8          1     415.24      85.67     301.66      -1.56
       287        -35          6         12          1     322.47      76.35     179.50       1.77
       288        -35          6         15          0     233.60     108.61     240.15       1.54
       289        -35          6         16          1     269.17     176.35     319.38      -2.08
       290        -35          6         17          1     353.71     139.12     226.28       2.28
       291        -35          7          1          1     339.46      73.22     251.24       2.76
       292        -35          7          2          1     270.75      49.72     204.18       2.39
       293        -35          7          3          1     605.89      63.00     589.98      -0.40
       294        -35          7          4          1     288.89      97.14     247.24       1.15
       295        -35          7          5          1     319.44     207.36     198.59      -2.50
       296        -35          7          6          1     427.02     108.87     381.89      -0.88
       297        -35          7          7          1     621.25      95.63     468.27      -0.38
       298        -35          7          8          1     382.27      62.03     321.58       2.06
       299        -35          7          9          1     382.48      78.00     107.11      -0.97
       300        -35          7         10          1     225.79     127.72     382.57      -2.62
       301        -35          7         12          1     110.72     147.12     141.40      -1.58
       302        -35          7         13          1     428.03      33.23     280.26      -1.18
       303        -35          7         15          1     131.23      80.17      60.14       1.47
       304        -35          7         16          1     209.62     134.24     380.64       1.14
       305        -35          8          1          1     241.04     160.81     263.97       0.80
       306        -35          8          2          1     346.85     109.31     294.37      -1.01
       307        -35          8          4          1     319.29      93.04     213.44      -3.02
       308        -35          8          8          1     263.48      87.70     189.36      -0.90
       309        -35          8          9          1     437.69      79.79     258.79       1.69
       310        -35          8         14          1     192.02      91.08     145.26      -3.08
       311        -35          8         15          1     173.29     268.50     188.18       1.09
       312        -35          9          1          1     169.80     128.68     208.12       2.19
       313        -35          9          2          1      99.16     314.60     218.09       2.07
       314        -35          9          3          1     241.62      58.16     427.46       0.16
       315        -35          9          4          1     136.28     133.39     390.92       0.52
       316        -35          9          5          1     260.32      76.82     294.16       2.54
       317        -35          9          6          0     352.50     144.89     330.43      -2.30
       318        -35          9          8          1     268.32     227.32     410.76      -3.01
       319        -35          9          9          1     698.24      77.04     508.63      -1.41
       320        -35          9         10          1     617.15      95.15     495.46      -0.92
       321        -35          9         12          1     501.54      39.77     553.50       2.83
       322        -35          9         13          1     143.85     261.97     288.31      -1.84
       323        -35          9         14          0     304.75     144.89     172.21      -2.34
       324        -35          9         15          1     170.65     275.67     110.68      -2.91
       325        -35         10          2          1     104.34     226.49     258.66      -1.11
       326        -35         10          3          0     253.78     127.97      88.76      -0.05
       327        -35         10          4          1     352.60      70.38     181.73       0.23
       328        -35         10          5          1     196.28      87.24     144.00       1.07
       329        -35         10          6          0     144.65     179.08     116.69       2.88
       330        -35         10          7          0     109.61     250.60     431.69       2.22
       331        -35         10          8          1     257.46     228.07      94.35      -0.80
       332        -35         10          9          0     232.62     124.56     191.62       2.90
       333        -35         10         10          1     272.88      74.56     160.44      -2.31
       334        -35         10         13          1     255.71     169.69     164.09       1.90
       335        -35         11          2          1     437.59      50.48     309.74      -2.78
       336        -35         11          3          1     361.03      84.80     228.56       0.56
       337        -35         11          5          1     255.08      63.50     138.50      -2.49
       338        -35         11          6          1     401.75      50.81     158.75       3.05
       339        -35         11          7          1     176.47     239.46     407.01      -0.72
       340        -35         11          8          1     198.32     222.46     231.55       2.81
       341        -35         11          9          1     372.27      80.52     189.50      -2.58
       342        -35         11         11          1     307.64      72.05     207.59       2.96
       343        -35         11         12          1     390.94     172.38     285.10       2.86
       344        -35         11         13          1     252.53     112.67     315.38      -0.11
       345        -35         12          4          1     349.84     193.44      40.68      -1.53
       346        -35         12          7          1     129.42     220.61     137.08       1.15
       347        -35         13          6          1     183.49     140.89     183.28      -0.58
       348        -35         13          7          1     395.89      89.16     397.41      -0.84
       349        -35         13          8          1     493.42      49.56     585.51       1.59
       350        -35         13          9          1     883.62      90.64     536.69       2.76
       351        -34          0          3          1     440.40      85.55     371.58       0.00
       352        -34          0          4          1     343.41     101.75     602.44       0.00
       353        -34          0          5          1     155.89     226.89     475.79       0.00
       354        -34          0          6          0     771.16      55.29    1037.73       3.14
       355        -34          0          7          1     270.78     205.78      34.20       3.14
       356        -34          0          8          1     196.18     180.08      49.22       3.14
       357        -34          0         10          1     398.61      84.52     117.80       0.00
       358        -34          0         12          1     630.29      63.57     486.64       0.00
