                    h          k          l         FP      SIGFP      FCalc    PHICalc          
       194         -7         23          2     677.49      65.90     484.23       1.83
       195         -7         23          3     771.41      63.30     735.90      -0.81
       196         -7         23          4     919.51      54.75     838.54       0.12
       197         -7         23          5     197.31     207.21     231.38      -1.14
       198         -7         23          6     438.38      98.37     500.51       1.26
       199         -7         23          7     657.21      78.60     532.69       2.06
       200         -7         23          8     469.18      98.46     383.59       1.03
       201         -7         23          9     299.49     143.46     442.56       0.83
       202         -7         23         10     414.72     103.85     413.55       2.51
       203         -7         23         11     258.08     166.76     281.59       0.72
       204         -7         23         12     720.33      70.18     868.74       2.91
       205         -7         23         13     214.62     196.73     285.35      -1.64
       206         -7         23         14     138.51     305.51     233.56      -2.11
       207         -7         23         15     239.36     188.31     227.01      -0.86
       208         -7         23         16     285.92     179.11     250.41      -0.19
       209         -7         23         17     128.10     352.44     245.70       2.68
       210         -7         23         18     474.81      99.61     537.38      -0.88
       211         -7         23         19     301.64     188.69     252.68      -2.86
       212         -7         23         20     295.15     184.14     304.53       0.49
       213         -7         23         21     381.11     132.36     225.17      -0.88
       214         -7         24          1     634.91      76.32     666.79      -3.03
       215         -7         24          2     863.59      57.27     935.08      -0.12
       216         -7         24          3     638.10      76.39     755.64      -0.72
       217         -7         24          4     249.03     171.29     200.66       2.76
       218         -7         24          5     389.52     135.11     494.95      -2.36
       219         -7         24          6     640.93      77.15     595.62      -2.17
       220         -7         24          7     613.51      73.89     459.29      -2.61
       221         -7         24          8     217.14     198.66     156.57       2.24
       222         -7         24         10      62.76     687.04     150.18       1.81
       223         -7         24         11     265.03     169.20     252.05       1.85
       224         -7         24         12     309.47     142.17     341.00      -2.61
       225         -7         24         13     377.10     130.99     326.36       1.89
       226         -7         24         15      87.41     503.96     197.20      -1.44
       227         -7         24         16     255.75     183.53     242.81      -0.29
       228         -7         24         17     404.37     140.53     474.60      -1.40
       229         -7         24         18     202.29     232.80     370.95       2.14
       230         -7         24         20     181.92     261.59     215.50       1.57
       231         -7         24         22     295.10     184.10     296.22       1.82
       232         -7         25          1     556.56      85.42     609.16       0.36
       233         -7         25          2     417.43     101.89     461.74      -1.07
       234         -7         25          3     435.37     101.94     493.53       0.95
       235         -7         25          4     393.45     136.85     288.18      -1.56
       236         -7         25          5     373.88     129.67     383.40      -0.27
       237         -7         25          6     568.98      86.93     493.68      -1.02
       238         -7         25          7     369.61     128.47     304.12      -0.27
       239         -7         25          8     442.29     101.51     484.36       2.77
       240         -7         25         10     588.51      89.73     499.60       0.83
       241         -7         25         11     466.68     100.33     358.19       2.17
       242         -7         25         12     353.31     126.80     471.15       0.49
       243         -7         25         13     401.06     139.41     497.84       0.45
       244         -7         25         14     366.22     126.92     322.60       2.02
       245         -7         25         15     240.08     183.86     234.33      -0.88
       246         -7         25         16     418.86     145.58     594.28      -3.04
       247         -7         25         17     372.73     129.10     368.27      -0.19
       248         -7         25         18     361.66     135.79     322.92       1.71
       249         -7         25         19     299.55     187.55     452.52       1.69
       250         -7         25         20     517.86     108.74     500.38       1.13
       251         -7         25         21     143.96     344.98     140.13       0.80
       252         -7         25         22     294.72     183.87     277.91       0.47
       253         -7         26          1     512.50     107.62     502.15      -0.50
       254         -7         26          2     599.37      91.91     418.43      -3.14
       255         -7         26          3     572.71      87.35     561.59       3.05
       256         -7         26          4     346.27     128.13     343.48      -1.03
       257         -7         26          5     256.37     173.54     222.49       0.32
       258         -7         26          6     311.73     143.37     187.67      -1.69
       259         -7         26          7     330.29     135.54     297.28      -0.02
       260         -7         26          8     428.53     148.77     292.13      -2.99
       261         -7         26         10     256.96     181.19     261.87      -2.64
       262         -7         26         11     215.56     215.56     263.83       2.06
       263         -7         26         12     215.66     215.66     262.71      -1.61
       264         -7         26         13     302.86     151.10     283.23      -0.93
       265         -7         26         14     239.64     191.45     225.57      -2.05
       266         -7         26         15     239.76     191.54     188.65       1.75
       267         -7         26         16     393.19     136.13     390.83       3.11
       268         -7         26         17     142.81     342.48     121.65       2.50
       269         -7         26         19     344.16     142.29     280.40      -2.53
       270         -7         26         20     356.92     138.40     269.23      -2.05
       271         -7         26         21     231.22     213.34     155.43      -2.86
       272         -7         26         22     169.70     291.01     338.51      -0.23
       273         -7         26         23     264.63     187.04     246.62      -1.99
       274         -7         27          1     340.10     130.40     259.11       2.51
       275         -7         27          2     451.69     102.27     429.54       1.96
       276         -7         27          3     500.42     104.94     589.80      -3.08
       277         -7         27          4     240.15     192.25     201.63      -1.98
       278         -7         27          5     397.80     137.85     464.58       2.43
       279         -7         27          6     470.22      99.17     501.69      -2.69
       280         -7         27          7     206.97     225.36     472.66       1.30
       281         -7         27          8     404.26     140.01     374.62      -1.25
       282         -7         27         11     215.25     215.25     216.54      -0.07
       283         -7         27         12     285.17     178.48     266.07       0.98
       284         -7         27         13     343.29     133.10     368.39       1.89
       285         -7         27         15     343.63     138.51     364.94       1.87
       286         -7         27         16     338.53     135.28     305.86       1.68
       287         -7         27         17     220.52     220.52     183.64       3.08
       288         -7         27         18     229.88     212.04     191.95       2.36
       289         -7         27         19     191.00     255.11     370.09      -1.87
       290         -7         27         21     221.64     221.64     207.92       2.77
       291         -7         28          1     410.93     142.65     449.92       2.85
       292         -7         28          2     327.97     140.74     400.61       0.34
       293         -7         28          3     371.99     129.02     342.62       0.00
       294         -7         28          4     381.98     132.35     280.67      -0.35
       295         -7         28          5     376.91     131.10     261.27       1.93
       296         -7         28          6     403.31     139.68     246.66      -0.08
       297         -7         28          7     232.91     199.45     294.78      -0.31
       298         -7         28          8     600.59      91.89     568.30       3.07
       299         -7         28          9     264.65     183.87     335.68      -2.84
       300         -7         28         10      62.42     745.04     308.39       2.65
       301         -7         28         11     393.08     136.06     320.44      -2.59
       302         -7         28         12     304.48     190.71     306.81       0.61
       303         -7         28         13     369.77     128.30     439.13       2.63
       304         -7         28         15     364.87     130.40     367.19      -1.31
       305         -7         28         16     254.35     179.89     321.72      -2.11
       306         -7         28         17     305.24     190.53     226.13      -0.74
       307         -7         29          1     327.33     140.47     291.41      -1.40
       308         -7         29          2     247.73     185.63     323.20      -0.80
       309         -7         29          3     283.80     177.21     323.98      -1.36
       310         -7         29          4     433.09     150.47     300.37       0.56
       311         -7         29          5     185.88     247.40     176.41       1.70
       312         -7         29          6     256.03     180.72     277.95      -0.92
       313         -7         29          7     388.47     134.95     320.25      -2.70
       314         -7         29          9     310.80     194.74     369.33       1.44
       315         -7         29         10     328.01     146.29     231.27       0.82
       316         -7         29         11     297.32     185.74     279.73       2.76
       317         -7         29         12     351.31     137.24     293.92       2.40
       318         -7         29         13     325.20     145.19     253.21       2.03
       319         -7         29         14     246.48     192.59     304.66      -0.63
       320         -7         29         15     379.45     131.52     453.62       0.79
       321         -7         29         16     194.75     243.44     377.43      -0.88
       322         -7         30          1     454.03     105.03     459.12      -1.43
       323         -7         30          2     283.24     176.86     232.56       1.66
       324         -7         30          3     432.22     150.17     407.04      -2.79
       325         -7         30          4     466.38     102.55     429.88       0.41
       326         -7         30          5     302.56     189.51     243.98       3.06
       327         -7         30          6     124.22     387.69     116.34       1.63
       328         -7         30          7     334.23     143.90     451.23       2.95
       329         -7         30          8     232.31     207.44     361.41      -0.16
       330         -7         30          9     362.04     132.90     270.76      -0.00
       331         -7         30         11     371.56     129.10     275.89      -0.24
       332         -7         30         12     247.83     193.41     220.34       0.76
       333         -7         30         13     186.29     258.44     137.86      -1.14
       334         -7         31          1     314.57     151.10     337.34      -1.24
       335         -7         31          2     268.45     176.58     372.56       1.57
       336         -7         31          3     337.66     140.80     274.12       2.42
       337         -7         31          4     370.42     128.47     303.70       1.17
       338         -7         31          5     195.08     244.01     222.69      -0.21
       339         -7         31          6     387.07     134.46     250.70       1.86
       340         -7         31          7     382.02     132.56     638.05       0.81
       341         -7         31          8     366.52     130.67     287.15       1.33
       342         -7         31          9     263.41     183.02     291.80       2.34
       343         -6          0          1     336.53      43.98     684.22       0.00
       344         -6          0          2     211.33      66.00     221.75       3.14
       345         -6          0          3     350.12      42.68     247.47       3.14
       346         -6          0          4     200.15      66.05     181.30       0.00
       347         -6          0          5     174.19     116.13     299.57       3.14
       348         -6          0          6     900.02      38.06     594.79       3.14
       349         -6          0          7     257.82      89.50     255.46       3.14
       350         -6          1          1     773.67      15.99     819.24      -2.31
       351         -6          1          2     365.31      27.33     289.48       0.88
       352         -6          1          3     234.74      39.35     405.19      -1.31
       353         -6          1          4     238.17      38.03     472.62      -0.06
       354         -6          1          5     610.66      16.68     525.47       0.57
       355         -6          1          6     597.55      36.72     380.63       0.09
       356         -6          2          1     888.22      22.66    1007.21      -1.56
       357         -6          2          2     174.64      53.33     249.96      -1.83
       358         -6          2          3     190.05      47.34     490.24      -2.83
       359         -6          2          4     506.98      19.35     435.83      -1.32
