         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS 	h 	k 	l 	FREE 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	
5455	-19  	9  	5  	1  	173.01 	2.70 	182.40 	5.26 	166.86 	5.27 	167.57 	5.27 	0.71 	5.27 	0.97 	179.89 	5.29
5456	-19  	9  	6  	1  	43.46 	3.34 	56.13 	2.40 	47.77 	2.42 	5.66 	5.57 	53.43 	5.57 	0.48 	44.32 	2.47
5457	-19  	9  	7  	1  	41.58 	6.73 	45.81 	2.92 	40.94 	2.87 	6.31 	6.01 	47.25 	6.01 	0.42 	42.54 	2.79
5458	-19  	9  	8  	0  	113.60 	2.70 	98.04 	5.95 	90.96 	5.96 	90.96 	5.96 	0.00 	0.00 	0.00 	100.52 	5.97
5459	-19  	9  	9  	1  	151.15 	2.42 	131.39 	3.00 	122.12 	3.00 	165.73 	3.00 	43.61 	3.00 	0.95 	138.91 	3.00
5460	-19  	9  	10  	1  	236.82 	3.77 	191.11 	4.55 	173.73 	4.55 	290.08 	4.55 	116.35 	4.55 	0.98 	194.51 	4.56
5461	-19  	9  	11  	0  	117.46 	2.39 	73.80 	6.02 	67.07 	6.02 	67.07 	6.02 	0.00 	0.00 	0.00 	82.38 	5.99
5462	-19  	9  	12  	0  	46.75 	2.63 	30.70 	5.48 	27.78 	5.49 	27.78 	5.49 	0.00 	0.00 	0.00 	33.52 	5.50
5463	-19  	9  	13  	1  	19.84 	5.26 	68.52 	0.42 	63.36 	0.42 	45.67 	3.57 	109.03 	3.57 	0.45 	75.08 	0.50
5464	-19  	9  	14  	1  	132.72 	2.48 	141.32 	4.84 	131.04 	4.84 	127.00 	4.84 	4.05 	1.70 	0.97 	136.22 	4.81
5465	-19  	9  	15  	1  	142.55 	3.41 	147.30 	0.18 	136.93 	0.18 	140.88 	0.18 	3.95 	0.18 	0.97 	143.45 	0.21
5466	-19  	9  	16  	1  	90.32 	3.09 	78.95 	1.26 	73.48 	1.26 	92.84 	1.26 	19.36 	1.26 	0.92 	79.90 	1.22
5467	-19  	9  	17  	1  	135.01 	3.62 	118.57 	4.56 	111.33 	4.56 	150.46 	4.56 	39.12 	4.56 	0.97 	116.90 	4.55
5468	-19  	9  	18  	1  	124.51 	3.03 	142.75 	1.23 	135.38 	1.23 	107.79 	1.23 	27.59 	4.37 	0.98 	143.14 	1.25
5469	-19  	9  	19  	1  	34.70 	5.62 	27.79 	4.13 	26.69 	4.13 	12.12 	4.13 	14.57 	0.99 	0.56 	26.85 	4.16
5470	-19  	9  	20  	1  	66.49 	2.94 	7.75 	3.00 	7.47 	3.00 	36.08 	3.00 	28.61 	3.00 	0.33 	9.38 	3.37
5471	-19  	9  	21  	1  	30.81 	7.22 	40.47 	3.37 	39.05 	3.37 	3.77 	0.23 	42.82 	0.23 	0.57 	41.35 	3.37
5472	-19  	9  	22  	1  	47.48 	3.67 	56.55 	2.32 	55.76 	2.32 	27.04 	2.32 	28.73 	5.46 	0.87 	57.93 	2.32
5473	-19  	9  	23  	1  	28.60 	5.91 	41.32 	1.40 	40.30 	1.40 	2.31 	4.54 	42.61 	4.54 	0.66 	42.61 	1.39
5474	-19  	9  	24  	1  	88.17 	3.07 	104.18 	3.13 	101.21 	3.13 	69.50 	3.13 	31.71 	6.27 	0.97 	104.72 	3.16
5475	-19  	9  	25  	1  	19.97 	11.69 	37.35 	3.92 	36.27 	3.92 	15.91 	0.77 	52.18 	0.77 	0.51 	37.39 	3.93
5476	-19  	9  	26  	0  	84.36 	2.87 	89.77 	2.42 	86.43 	2.42 	86.43 	2.42 	0.00 	0.00 	0.00 	88.47 	2.42
5477	-19  	9  	27  	1  	33.75 	5.90 	28.19 	2.49 	26.95 	2.49 	25.07 	2.49 	1.88 	5.63 	0.77 	28.61 	2.51
5478	-19  	9  	28  	1  	10.09 	18.86 	17.04 	2.64 	16.33 	2.64 	13.65 	5.78 	29.97 	5.78 	0.13 	17.80 	2.66
5479	-19  	9  	29  	1  	35.17 	5.79 	36.27 	5.57 	34.54 	5.57 	28.10 	5.57 	6.44 	2.42 	0.89 	36.14 	5.58
5480	-19  	9  	30  	1  	40.31 	0.90 	46.23 	5.33 	42.35 	5.33 	33.80 	5.33 	8.55 	2.19 	0.94 	46.51 	5.34
5481	-19  	9  	31  	1  	42.28 	1.58 	42.56 	4.44 	38.73 	4.44 	41.55 	4.44 	2.82 	4.44 	0.95 	42.87 	4.43
5482	-19  	9  	32  	1  	40.95 	2.01 	39.34 	0.80 	34.85 	0.80 	41.98 	0.80 	7.13 	0.80 	0.94 	38.96 	0.79
5483	-19  	10  	1  	1  	217.11 	4.08 	247.62 	1.43 	229.31 	1.43 	196.90 	1.43 	32.41 	4.57 	0.98 	252.74 	1.43
5484	-19  	10  	2  	1  	87.16 	3.78 	64.49 	6.05 	56.72 	6.07 	80.31 	6.07 	23.58 	6.07 	0.79 	56.87 	6.11
5485	-19  	10  	3  	1  	315.99 	6.35 	250.67 	0.40 	231.07 	0.39 	392.86 	0.39 	161.79 	0.39 	0.99 	252.72 	0.38
5486	-19  	10  	4  	1  	87.42 	3.91 	18.95 	3.56 	18.91 	3.69 	53.67 	3.69 	34.75 	3.69 	0.42 	24.02 	3.86
5487	-19  	10  	5  	1  	125.62 	2.88 	86.70 	0.43 	76.18 	0.42 	150.33 	0.42 	74.14 	0.42 	0.90 	76.44 	0.40
5488	-19  	10  	6  	1  	60.78 	2.83 	47.74 	2.55 	42.72 	2.52 	29.34 	2.52 	13.38 	5.66 	0.59 	44.55 	2.47
5489	-19  	10  	7  	1  	156.69 	2.50 	204.42 	0.84 	188.86 	0.84 	115.27 	0.84 	73.59 	3.98 	0.97 	211.73 	0.84
5490	-19  	10  	8  	1  	123.87 	2.95 	118.71 	5.78 	108.65 	5.79 	122.91 	5.79 	14.26 	5.79 	0.93 	122.55 	5.81
5491	-19  	10  	9  	1  	64.73 	3.73 	81.59 	0.67 	73.19 	0.68 	30.06 	0.68 	43.13 	3.82 	0.80 	79.55 	0.77
5492	-19  	10  	10  	1  	70.65 	2.39 	37.56 	4.08 	33.92 	4.09 	49.56 	4.09 	15.64 	4.09 	0.59 	42.78 	4.17
5493	-19  	10  	11  	1  	123.59 	2.17 	167.97 	5.39 	151.48 	5.39 	85.94 	5.39 	65.54 	2.25 	0.96 	168.15 	5.41
5494	-19  	10  	12  	1  	13.51 	6.99 	20.30 	1.33 	18.61 	1.34 	15.93 	4.48 	34.54 	4.48 	0.10 	20.46 	1.42
5495	-19  	10  	13  	1  	39.38 	2.02 	46.27 	3.76 	43.27 	3.77 	8.56 	3.77 	34.70 	0.63 	0.66 	47.32 	3.86
5496	-19  	10  	14  	1  	135.33 	2.45 	162.59 	4.10 	151.68 	4.10 	112.45 	4.10 	39.23 	0.96 	0.98 	164.86 	4.09
5497	-19  	10  	15  	1  	133.23 	2.75 	109.12 	5.25 	101.52 	5.25 	154.88 	5.25 	53.36 	5.25 	0.96 	106.09 	5.26
5498	-19  	10  	16  	1  	107.81 	3.33 	127.31 	5.00 	119.30 	5.00 	88.43 	5.00 	30.87 	1.85 	0.96 	124.87 	4.98
5499	-19  	10  	17  	1  	89.07 	2.56 	68.16 	0.11 	64.44 	0.11 	100.60 	0.11 	36.15 	0.11 	0.93 	69.08 	0.08
5500	-19  	10  	18  	1  	189.47 	4.31 	195.51 	5.67 	187.02 	5.67 	188.12 	5.67 	1.11 	5.67 	0.99 	196.24 	5.68
5501	-19  	10  	19  	1  	106.55 	2.97 	109.62 	6.19 	105.67 	6.19 	101.09 	6.19 	4.58 	3.05 	0.97 	111.16 	6.16
5502	-19  	10  	20  	0  	56.18 	3.96 	45.19 	5.32 	43.44 	5.32 	43.44 	5.32 	0.00 	0.00 	0.00 	45.51 	5.25
5503	-19  	10  	21  	1  	66.85 	3.03 	56.67 	3.56 	55.38 	3.56 	64.88 	3.56 	9.50 	3.56 	0.90 	57.01 	3.54
5504	-19  	10  	22  	1  	115.67 	3.30 	129.08 	1.93 	126.83 	1.93 	99.69 	1.93 	27.14 	5.08 	0.98 	129.35 	1.92
5505	-19  	10  	23  	1  	144.22 	3.56 	134.36 	2.75 	130.25 	2.75 	153.46 	2.75 	23.21 	2.75 	0.98 	134.85 	2.76
5506	-19  	10  	24  	1  	91.37 	2.95 	52.97 	3.17 	51.58 	3.17 	120.97 	3.17 	69.39 	3.17 	0.94 	52.37 	3.17
5507	-19  	10  	25  	1  	63.88 	4.09 	67.26 	5.52 	65.06 	5.52 	55.36 	5.52 	9.70 	2.38 	0.94 	66.09 	5.52
5508	-19  	10  	26  	1  	60.71 	3.83 	56.58 	0.84 	54.23 	0.84 	59.95 	0.84 	5.72 	0.84 	0.94 	57.33 	0.86
5509	-19  	10  	27  	1  	63.70 	2.74 	80.62 	4.85 	77.12 	4.85 	46.33 	4.85 	30.78 	1.71 	0.97 	80.45 	4.87
5510	-19  	10  	28  	1  	92.61 	2.78 	76.35 	3.30 	73.31 	3.30 	108.51 	3.30 	35.20 	3.30 	0.98 	76.85 	3.30
5511	-19  	10  	29  	1  	21.38 	9.87 	26.37 	3.58 	24.58 	3.58 	3.29 	3.58 	21.29 	0.44 	0.65 	26.58 	3.62
5512	-19  	10  	30  	1  	48.79 	3.69 	45.95 	3.13 	42.14 	3.13 	51.05 	3.13 	8.91 	3.13 	0.95 	45.59 	3.13
5513	-19  	10  	31  	1  	26.15 	6.31 	22.50 	1.16 	20.27 	1.16 	20.45 	1.16 	0.18 	1.16 	0.78 	22.23 	1.15
5514	-19  	11  	1  	1  	41.35 	5.48 	21.73 	4.52 	19.71 	4.37 	0.80 	1.23 	20.51 	1.23 	0.23 	23.38 	4.02
5515	-19  	11  	2  	1  	149.08 	2.91 	153.10 	4.79 	139.86 	4.78 	145.75 	4.78 	5.89 	4.78 	0.96 	153.80 	4.76
5516	-19  	11  	3  	1  	148.58 	8.10 	90.07 	2.03 	84.30 	2.01 	190.95 	2.01 	106.66 	2.01 	0.93 	98.07 	1.98
5517	-19  	11  	4  	0  	205.26 	3.79 	174.42 	6.18 	161.24 	6.17 	161.24 	6.17 	0.00 	0.00 	0.00 	183.73 	6.15
5518	-19  	11  	5  	0  	60.70 	4.74 	26.24 	2.77 	23.88 	2.74 	23.88 	2.74 	0.00 	0.00 	0.00 	26.52 	2.66
5519	-19  	11  	6  	1  	35.19 	5.99 	35.33 	0.76 	33.05 	0.80 	10.38 	3.94 	43.43 	3.94 	0.32 	41.41 	0.93
5520	-19  	11  	7  	1  	62.51 	2.34 	81.15 	4.72 	72.69 	4.72 	25.99 	4.72 	46.70 	1.58 	0.79 	78.44 	4.74
5521	-19  	11  	8  	1  	30.61 	4.22 	109.78 	5.80 	98.07 	5.80 	57.17 	2.66 	155.23 	2.66 	0.67 	107.43 	5.85
5522	-19  	11  	9  	1  	111.26 	2.67 	106.57 	5.88 	96.03 	5.88 	109.84 	5.88 	13.81 	5.88 	0.93 	114.66 	5.89
5523	-19  	11  	10  	1  	86.66 	2.33 	85.57 	2.39 	77.54 	2.40 	77.27 	2.40 	0.28 	5.54 	0.89 	83.59 	2.41
5524	-19  	11  	11  	1  	115.30 	2.47 	90.14 	3.72 	82.52 	3.71 	133.81 	3.71 	51.29 	3.71 	0.94 	85.97 	3.64
5525	-19  	11  	12  	1  	264.76 	3.69 	272.96 	1.94 	253.37 	1.94 	272.31 	1.94 	18.93 	1.94 	0.99 	264.45 	1.95
5526	-19  	11  	13  	1  	79.96 	1.72 	95.75 	5.40 	89.38 	5.40 	59.17 	5.40 	30.21 	2.25 	0.93 	98.07 	5.36
5527	-19  	11  	14  	1  	26.42 	6.98 	55.74 	0.67 	51.86 	0.67 	22.96 	3.81 	74.82 	3.81 	0.55 	54.10 	0.63
5528	-19  	11  	15  	1  	162.14 	3.74 	166.88 	0.11 	156.28 	0.11 	161.96 	0.11 	5.68 	0.11 	0.98 	165.42 	0.10
5529	-19  	11  	16  	0  	58.81 	3.82 	82.67 	1.03 	78.06 	1.03 	78.06 	1.03 	0.00 	0.00 	0.00 	79.86 	1.00
5530	-19  	11  	17  	1  	139.03 	3.66 	108.75 	3.38 	103.79 	3.38 	167.19 	3.38 	63.40 	3.38 	0.97 	106.07 	3.35
5531	-19  	11  	18  	1  	92.64 	2.77 	95.19 	5.50 	91.81 	5.50 	86.57 	5.50 	5.24 	2.35 	0.96 	94.87 	5.49
5532	-19  	11  	19  	1  	49.08 	5.56 	22.90 	3.87 	22.04 	3.87 	32.95 	3.87 	10.91 	3.87 	0.56 	24.30 	3.79
5533	-19  	11  	20  	1  	37.02 	5.71 	44.00 	4.07 	42.70 	4.07 	9.16 	4.07 	33.55 	0.93 	0.70 	41.91 	4.09
5534	-19  	11  	21  	1  	106.05 	2.53 	130.92 	5.10 	129.37 	5.10 	78.11 	5.10 	51.25 	1.96 	0.98 	131.54 	5.08
5535	-19  	11  	22  	1  	39.25 	6.06 	56.89 	4.37 	55.35 	4.37 	10.18 	4.37 	45.17 	1.23 	0.83 	55.91 	4.40
5536	-19  	11  	23  	1  	33.37 	7.39 	29.53 	3.59 	28.70 	3.59 	12.76 	3.59 	15.94 	0.44 	0.62 	28.90 	3.61
5537	-19  	11  	24  	1  	38.08 	6.14 	20.31 	2.43 	19.72 	2.43 	25.32 	2.43 	5.61 	2.43 	0.59 	20.20 	2.47
5538	-19  	11  	25  	1  	24.25 	6.40 	13.21 	5.31 	12.71 	5.31 	3.05 	5.31 	9.67 	2.17 	0.32 	12.67 	5.15
5539	-19  	11  	26  	1  	62.87 	2.75 	62.89 	5.98 	60.11 	5.98 	59.98 	5.98 	0.14 	2.83 	0.96 	63.80 	5.98
5540	-19  	11  	27  	1  	20.22 	8.21 	6.67 	4.38 	6.39 	4.38 	1.39 	4.38 	5.00 	1.24 	0.19 	7.03 	4.32
5541	-19  	11  	28  	1  	44.95 	4.19 	48.39 	1.38 	46.33 	1.38 	38.30 	1.38 	8.03 	4.53 	0.94 	48.30 	1.40
5542	-19  	11  	29  	1  	51.28 	3.50 	49.53 	6.08 	45.36 	6.08 	52.68 	6.08 	7.33 	6.08 	0.96 	49.58 	6.08
5543	-19  	11  	31  	1  	31.98 	5.27 	24.67 	1.14 	21.98 	1.14 	32.30 	1.14 	10.32 	1.14 	0.85 	24.43 	1.15
5544	-19  	12  	1  	1  	98.00 	3.52 	133.07 	6.22 	119.50 	6.22 	62.16 	6.22 	57.34 	3.08 	0.93 	133.96 	6.23
5545	-19  	12  	2  	1  	105.81 	12.35 	57.00 	1.53 	51.91 	1.54 	120.57 	1.54 	68.66 	1.54 	0.82 	63.16 	1.56
5546	-19  	12  	3  	1  	159.01 	2.94 	164.02 	3.17 	147.32 	3.17 	159.34 	3.17 	12.02 	3.17 	0.96 	164.39 	3.18
5547	-19  	12  	4  	1  	108.76 	2.60 	150.07 	0.41 	133.57 	0.41 	71.31 	0.41 	62.25 	3.55 	0.94 	140.17 	0.41
5548	-19  	12  	5  	1  	153.14 	4.15 	194.27 	1.68 	173.60 	1.68 	123.11 	1.68 	50.49 	4.82 	0.97 	192.37 	1.68
5549	-19  	12  	6  	1  	82.50 	4.18 	121.10 	2.82 	108.15 	2.83 	41.19 	2.83 	66.96 	5.97 	0.91 	121.17 	2.87
5550	-19  	12  	7  	1  	28.22 	6.87 	86.14 	5.43 	77.52 	5.43 	44.78 	2.29 	122.31 	2.29 	0.58 	86.34 	5.44
5551	-19  	12  	8  	0  	190.42 	2.52 	204.87 	3.05 	186.25 	3.06 	186.25 	3.06 	0.00 	0.00 	0.00 	207.17 	3.09
5552	-19  	12  	9  	1  	210.60 	3.52 	144.47 	0.30 	132.38 	0.30 	279.67 	0.30 	147.29 	0.30 	0.98 	142.27 	0.33
5553	-19  	12  	10  	0  	201.35 	3.46 	211.27 	2.81 	197.21 	2.81 	197.21 	2.81 	0.00 	0.00 	0.00 	217.52 	2.79
5554	-19  	12  	11  	1  	98.61 	2.28 	84.58 	5.83 	79.08 	5.82 	105.48 	5.82 	26.40 	5.82 	0.94 	86.74 	5.80
5555	-19  	12  	12  	1  	67.70 	1.79 	80.07 	6.05 	74.89 	6.05 	46.56 	6.05 	28.33 	2.91 	0.90 	85.36 	6.04
5556	-19  	12  	13  	1  	92.66 	2.32 	96.36 	3.04 	89.68 	3.04 	84.08 	3.04 	5.59 	6.18 	0.94 	99.21 	3.08
5557	-19  	12  	14  	1  	163.35 	4.93 	164.18 	0.34 	153.87 	0.34 	166.69 	0.34 	12.82 	0.34 	0.98 	170.38 	0.33
5558	-19  	12  	15  	1  	49.56 	4.29 	51.32 	1.55 	48.47 	1.55 	30.84 	1.55 	17.63 	4.69 	0.80 	53.94 	1.60
5559	-19  	12  	16  	0  	73.63 	3.27 	90.35 	3.17 	86.18 	3.17 	86.18 	3.17 	0.00 	0.00 	0.00 	91.04 	3.22
5560	-19  	12  	17  	1  	61.93 	3.36 	83.55 	2.07 	80.56 	2.07 	35.31 	2.07 	45.24 	5.21 	0.94 	82.75 	2.06
5561	-19  	12  	18  	0  	36.02 	7.23 	50.48 	2.51 	48.58 	2.51 	48.58 	2.51 	0.00 	0.00 	0.00 	48.09 	2.55
5562	-19  	12  	19  	1  	61.81 	4.48 	23.24 	0.70 	22.46 	0.70 	57.27 	0.70 	34.81 	0.70 	0.64 	22.39 	0.85
5563	-19  	12  	20  	1  	32.25 	6.62 	29.88 	0.31 	29.44 	0.31 	7.93 	0.31 	21.51 	3.45 	0.58 	32.18 	0.30
5564	-19  	12  	21  	1  	45.13 	4.86 	19.71 	0.24 	19.27 	0.24 	32.13 	0.24 	12.86 	0.24 	0.57 	21.46 	0.25
5565	-19  	12  	22  	0  	26.65 	8.14 	27.07 	3.93 	26.27 	3.93 	26.27 	3.93 	0.00 	0.00 	0.00 	24.57 	3.97
5566	-19  	12  	23  	1  	110.35 	3.18 	106.60 	4.65 	103.74 	4.65 	112.12 	4.65 	8.37 	4.65 	0.98 	106.36 	4.66
5567	-19  	12  	24  	1  	17.48 	10.41 	17.80 	5.11 	17.20 	5.11 	7.94 	1.97 	25.14 	1.97 	0.26 	18.07 	5.05
5568	-19  	12  	25  	1  	51.11 	3.48 	26.27 	3.88 	25.16 	3.88 	60.76 	3.88 	35.61 	3.88 	0.84 	26.52 	3.86
5569	-19  	12  	26  	0  	81.95 	2.60 	78.98 	6.13 	75.55 	6.13 	75.55 	6.13 	0.00 	0.00 	0.00 	78.42 	6.13
5570	-19  	12  	27  	1  	58.93 	3.94 	44.12 	4.15 	42.36 	4.15 	69.33 	4.15 	26.97 	4.15 	0.95 	43.69 	4.15
5571	-19  	12  	28  	1  	39.79 	4.99 	37.06 	5.96 	34.58 	5.96 	38.05 	5.96 	3.46 	5.96 	0.91 	37.33 	5.96
5572	-19  	12  	29  	1  	59.49 	3.28 	64.70 	5.13 	59.33 	5.13 	56.58 	5.13 	2.74 	1.98 	0.97 	64.88 	5.12
5573	-19  	12  	30  	1  	37.86 	4.44 	28.39 	1.25 	25.63 	1.25 	42.61 	1.25 	16.97 	1.25 	0.90 	28.50 	1.26
5574	-19  	13  	1  	1  	124.98 	3.11 	74.36 	5.46 	67.02 	5.46 	161.38 	5.46 	94.36 	5.46 	0.91 	69.48 	5.47
5575	-19  	13  	2  	1  	57.17 	4.93 	68.43 	0.83 	61.64 	0.84 	25.83 	0.84 	35.80 	3.98 	0.76 	64.37 	0.85
5576	-19  	13  	3  	0  	87.20 	3.17 	101.16 	5.13 	92.05 	5.13 	92.05 	5.13 	0.00 	0.00 	0.00 	106.24 	5.16
5577	-19  	13  	4  	1  	94.92 	3.24 	74.05 	1.90 	67.43 	1.90 	100.81 	1.90 	33.38 	1.90 	0.89 	76.47 	1.90
5578	-19  	13  	5  	1  	123.81 	2.86 	120.97 	2.04 	110.15 	2.04 	125.36 	2.04 	15.21 	2.04 	0.95 	120.09 	2.07
5579	-19  	13  	6  	1  	92.13 	2.69 	87.92 	6.23 	79.88 	6.23 	88.36 	6.23 	8.48 	6.23 	0.91 	81.60 	6.16
5580	-19  	13  	7  	1  	158.85 	3.51 	136.20 	2.71 	125.94 	2.70 	182.76 	2.70 	56.82 	2.70 	0.97 	138.23 	2.65
5581	-19  	13  	8  	0  	168.84 	3.72 	157.53 	3.71 	147.07 	3.71 	147.07 	3.71 	0.00 	0.00 	0.00 	160.32 	3.74
5582	-19  	13  	9  	1  	49.49 	3.39 	26.95 	1.32 	25.04 	1.29 	27.94 	1.29 	2.91 	1.29 	0.54 	26.91 	1.07
5583	-19  	13  	10  	1  	59.93 	1.99 	45.14 	4.36 	41.88 	4.36 	50.67 	4.36 	8.79 	4.36 	0.77 	42.80 	4.38
5584	-19  	13  	11  	1  	118.58 	2.08 	195.97 	1.57 	182.61 	1.57 	49.05 	1.57 	133.56 	4.71 	0.98 	201.84 	1.58
5585	-19  	13  	12  	1  	2.27 	28.80 	28.49 	5.68 	26.58 	5.68 	26.50 	2.54 	53.08 	2.54 	0.02 	25.30 	5.83
5586	-19  	13  	13  	1  	119.96 	3.66 	131.60 	0.48 	123.60 	0.48 	108.93 	0.48 	14.67 	3.63 	0.97 	133.61 	0.49
5587	-19  	13  	15  	1  	55.88 	4.48 	4.98 	4.06 	4.75 	4.06 	15.35 	4.06 	10.59 	4.06 	0.18 	5.97 	4.29
5588	-19  	13  	16  	1  	28.65 	6.79 	12.59 	2.32 	12.14 	2.32 	2.59 	2.32 	9.55 	5.46 	0.26 	12.13 	2.28
5589	-19  	13  	17  	1  	122.80 	3.26 	142.86 	1.21 	137.53 	1.21 	102.62 	1.21 	34.91 	4.36 	0.98 	141.39 	1.22
5590	-19  	13  	18  	1  	144.92 	3.36 	158.60 	5.88 	152.99 	5.88 	131.45 	5.88 	21.55 	2.73 	0.98 	159.22 	5.86
5591	-19  	13  	19  	1  	105.91 	3.40 	114.19 	0.27 	112.18 	0.27 	93.71 	0.27 	18.47 	3.41 	0.97 	112.25 	0.26
5592	-19  	13  	20  	1  	49.21 	5.37 	41.45 	4.59 	40.63 	4.59 	40.48 	4.59 	0.16 	1.45 	0.82 	40.12 	4.55
5593	-19  	13  	21  	1  	30.68 	8.34 	28.61 	2.35 	27.74 	2.35 	5.24 	2.35 	22.50 	5.49 	0.54 	30.45 	2.35
5594	-19  	13  	22  	1  	44.38 	5.02 	45.49 	3.19 	44.28 	3.19 	31.22 	3.19 	13.06 	0.05 	0.85 	45.13 	3.20
5595	-19  	13  	23  	1  	89.21 	2.92 	67.70 	3.72 	65.56 	3.72 	105.65 	3.72 	40.10 	3.72 	0.96 	66.81 	3.75
5596	-19  	13  	24  	1  	88.95 	2.54 	79.08 	2.56 	75.96 	2.56 	96.71 	2.56 	20.75 	2.56 	0.97 	78.98 	2.57
5597	-19  	13  	25  	1  	20.38 	7.88 	1.77 	3.48 	1.69 	3.48 	0.19 	3.48 	1.50 	0.33 	0.05 	1.94 	3.57
5598	-19  	13  	26  	1  	73.88 	2.57 	67.42 	1.51 	64.61 	1.51 	79.03 	1.51 	14.41 	1.51 	0.97 	67.56 	1.51
5599	-19  	13  	27  	1  	26.96 	7.90 	28.15 	3.54 	26.81 	3.54 	14.99 	3.54 	11.82 	0.40 	0.78 	27.52 	3.54
5600	-19  	13  	28  	1  	48.58 	4.14 	46.00 	5.44 	42.14 	5.44 	50.07 	5.44 	7.93 	5.44 	0.95 	45.81 	5.44
5601	-19  	13  	29  	1  	84.05 	3.03 	97.38 	4.47 	88.95 	4.47 	77.26 	4.47 	11.69 	1.32 	0.99 	97.62 	4.46
5602	-19  	13  	30  	1  	29.54 	6.29 	8.93 	2.10 	7.95 	2.10 	21.39 	2.10 	13.44 	2.10 	0.50 	9.19 	2.12
5603	-19  	14  	1  	1  	258.12 	5.24 	226.94 	2.11 	211.05 	2.11 	300.46 	2.11 	89.41 	2.11 	0.99 	224.51 	2.07
5604	-19  	14  	2  	1  	146.03 	2.79 	162.76 	3.87 	151.57 	3.86 	133.85 	3.86 	17.71 	0.72 	0.98 	163.83 	3.84
5605	-19  	14  	3  	1  	145.20 	2.58 	155.58 	1.09 	144.88 	1.09 	138.61 	1.09 	6.27 	4.23 	0.98 	156.18 	1.09
5606	-19  	14  	4  	1  	68.34 	4.35 	77.20 	0.22 	72.12 	0.22 	50.23 	0.22 	21.89 	3.36 	0.90 	78.06 	0.23
5607	-19  	14  	5  	1  	81.68 	4.66 	46.24 	2.49 	43.41 	2.49 	95.06 	2.49 	51.65 	2.49 	0.85 	48.47 	2.49
5608	-19  	14  	6  	1  	73.11 	4.08 	44.72 	6.16 	41.72 	6.16 	77.97 	6.16 	36.26 	6.16 	0.82 	45.02 	6.13
5609	-19  	14  	7  	1  	166.16 	2.94 	146.15 	4.62 	136.20 	4.62 	188.87 	4.62 	52.68 	4.62 	0.98 	146.26 	4.64
5610	-19  	14  	8  	1  	123.25 	2.75 	138.88 	4.88 	129.51 	4.88 	109.26 	4.88 	20.26 	1.74 	0.97 	141.39 	4.89
5611	-19  	14  	9  	1  	85.61 	2.80 	73.60 	4.47 	68.49 	4.47 	87.39 	4.47 	18.90 	4.47 	0.91 	72.56 	4.50
5612	-19  	14  	10  	1  	72.26 	2.53 	65.86 	2.32 	61.40 	2.32 	65.86 	2.32 	4.46 	2.32 	0.88 	69.54 	2.31
5613	-19  	14  	11  	1  	133.73 	2.01 	76.47 	3.59 	71.66 	3.59 	182.65 	3.59 	110.99 	3.59 	0.95 	78.65 	3.60
5614	-19  	14  	12  	1  	10.89 	5.54 	71.68 	3.90 	67.55 	3.90 	59.10 	0.76 	126.65 	0.76 	0.39 	69.77 	3.87
5615	-19  	14  	13  	1  	174.94 	3.55 	198.90 	2.33 	188.79 	2.33 	156.94 	2.33 	31.85 	5.47 	0.99 	201.76 	2.33
5616	-19  	14  	14  	1  	76.37 	3.79 	87.56 	3.77 	83.83 	3.77 	60.38 	3.77 	23.45 	0.62 	0.94 	85.70 	3.77
5617	-19  	14  	15  	1  	48.32 	4.69 	79.82 	4.89 	76.98 	4.89 	10.80 	4.89 	66.18 	1.75 	0.91 	79.25 	4.87
5618	-19  	14  	16  	1  	79.08 	3.96 	83.35 	4.07 	80.21 	4.07 	68.14 	4.07 	12.07 	0.92 	0.94 	81.78 	4.09
5619	-19  	14  	17  	1  	102.79 	3.36 	84.09 	5.95 	81.16 	5.95 	114.15 	5.95 	32.99 	5.95 	0.95 	82.31 	5.99
5620	-19  	14  	18  	1  	124.28 	3.40 	128.34 	5.07 	126.02 	5.07 	117.23 	5.07 	8.78 	1.93 	0.98 	126.52 	5.08
5621	-19  	14  	19  	1  	55.72 	4.92 	49.48 	1.03 	48.56 	1.03 	49.14 	1.03 	0.58 	1.03 	0.88 	51.22 	1.05
