         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS 	h 	k 	l 	FREE 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	
100	-31  	7  	8  	1  	23.35 	11.77 	24.39 	2.16 	22.03 	2.16 	8.11 	2.16 	13.92 	5.30 	0.65 	24.13 	2.16
101	-31  	7  	9  	0  	60.05 	4.60 	60.71 	4.03 	54.58 	4.03 	54.58 	4.03 	0.00 	0.00 	0.00 	60.73 	4.03
102	-31  	7  	10  	1  	33.12 	5.17 	39.60 	0.86 	35.41 	0.86 	25.18 	0.86 	10.23 	4.00 	0.91 	39.88 	0.86
103	-31  	8  	1  	1  	8.00 	75.34 	19.13 	6.00 	17.22 	6.00 	17.03 	2.86 	34.25 	2.86 	0.01 	19.22 	5.99
104	-31  	8  	2  	1  	24.14 	11.02 	20.18 	5.64 	18.20 	5.64 	11.20 	5.64 	7.00 	2.50 	0.61 	19.56 	5.63
105	-31  	8  	4  	1  	35.79 	5.81 	45.74 	6.01 	41.32 	6.01 	25.38 	6.01 	15.94 	2.87 	0.93 	45.62 	6.01
106	-31  	8  	6  	1  	69.71 	3.93 	70.25 	0.10 	63.31 	0.10 	73.29 	0.10 	9.98 	0.10 	0.98 	70.42 	0.10
107	-31  	8  	7  	1  	11.22 	20.97 	58.53 	0.96 	52.61 	0.96 	42.75 	4.11 	95.36 	4.11 	0.44 	58.99 	0.97
108	-31  	8  	8  	1  	23.29 	11.13 	29.53 	0.76 	26.46 	0.76 	7.09 	0.76 	19.36 	3.90 	0.72 	29.47 	0.75
109	-31  	8  	9  	1  	8.08 	21.82 	21.58 	3.05 	19.24 	3.05 	17.30 	6.19 	36.54 	6.19 	0.12 	21.44 	3.04
110	-31  	8  	10  	1  	47.33 	3.18 	41.33 	5.03 	36.67 	5.03 	53.05 	5.03 	16.39 	5.03 	0.95 	41.58 	5.02
111	-31  	9  	1  	1  	45.94 	6.56 	63.31 	4.43 	56.47 	4.43 	31.65 	4.43 	24.82 	1.29 	0.96 	63.24 	4.43
112	-31  	9  	2  	0  	45.06 	4.75 	52.35 	4.67 	46.79 	4.67 	46.79 	4.67 	0.00 	0.00 	0.00 	52.41 	4.67
113	-31  	9  	3  	1  	22.84 	12.32 	38.50 	4.08 	34.45 	4.08 	0.48 	4.08 	33.98 	0.94 	0.76 	38.66 	4.07
