         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FP 	SIGFP 	FCalc 	PHICalc 	
120	-19  	7  	5  	28.67 	4.36 	34.66 	2.70
121	-19  	7  	8  	12.30 	4.80 	9.37 	1.49
122	-19  	7  	10  	15.81 	2.05 	21.07 	-0.30
123	-19  	7  	11  	57.86 	1.45 	60.16 	-0.99
124	-19  	7  	12  	13.44 	2.00 	20.67 	-0.39
125	-19  	7  	14  	15.10 	2.52 	19.40 	1.76
126	-19  	8  	13  	9.53 	3.93 	12.38 	-2.73
127	-19  	9  	6  	29.93 	1.51 	16.51 	-0.86
128	-19  	9  	7  	16.72 	3.28 	26.59 	0.83
129	-19  	9  	9  	17.76 	2.04 	29.77 	-0.28
130	-19  	9  	11  	19.90 	1.99 	22.31 	-2.82
131	-19  	9  	12  	17.14 	1.41 	22.06 	0.55
132	-19  	10  	9  	14.41 	4.61 	13.85 	-3.09
133	-18  	0  	3  	73.40 	4.61 	43.54 	0.00
134	-18  	0  	4  	33.80 	4.55 	19.65 	0.00
135	-18  	0  	9  	18.67 	4.90 	16.70 	3.14
136	-18  	0  	10  	26.64 	5.45 	35.22 	3.14
137	-18  	0  	11  	26.94 	1.50 	25.99 	0.00
138	-18  	0  	12  	37.31 	1.18 	43.31 	3.14
139	-18  	1  	12  	14.80 	5.92 	15.41 	-1.67
140	-18  	2  	6  	25.00 	5.06 	33.68 	-0.17
141	-18  	2  	7  	32.52 	5.63 	26.16 	-1.73
142	-18  	2  	9  	50.10 	3.36 	61.87 	3.08
143	-18  	2  	10  	41.38 	6.95 	53.76 	0.22
144	-18  	2  	11  	37.64 	2.69 	50.43 	1.11
145	-18  	2  	12  	61.76 	7.39 	83.56 	2.11
146	-18  	2  	13  	58.47 	4.68 	62.67 	-3.09
147	-18  	2  	14  	31.83 	1.45 	50.18 	2.27
148	-18  	3  	11  	12.21 	3.28 	6.45 	-1.54
149	-18  	3  	13  	8.46 	2.62 	8.09 	-1.32
150	-18  	4  	3  	73.42 	5.87 	87.45 	1.07
151	-18  	4  	4  	60.25 	2.26 	57.07 	0.80
152	-18  	4  	5  	35.01 	2.23 	20.66 	0.29
153	-18  	4  	6  	19.18 	5.66 	30.42 	-1.76
154	-18  	4  	7  	16.15 	4.35 	24.16 	2.67
155	-18  	4  	9  	77.09 	4.86 	88.04 	1.62
156	-18  	4  	10  	30.31 	2.70 	31.03 	-2.96
157	-18  	4  	11  	37.99 	1.48 	30.03 	-1.50
158	-18  	4  	12  	56.07 	3.23 	41.42 	-0.82
159	-18  	4  	13  	28.76 	0.58 	48.53 	-2.31
160	-18  	4  	14  	19.55 	1.44 	35.55 	-1.64
161	-18  	5  	6  	16.89 	2.82 	10.99 	-0.06
162	-18  	5  	8  	16.50 	5.50 	16.45 	2.97
163	-18  	5  	10  	10.75 	4.78 	23.01 	1.33
164	-18  	6  	2  	16.02 	4.58 	24.03 	1.58
165	-18  	6  	3  	19.04 	3.55 	8.62 	1.77
166	-18  	6  	4  	27.41 	8.61 	29.67 	1.43
167	-18  	6  	5  	28.33 	2.83 	32.86 	-0.04
168	-18  	6  	7  	13.21 	4.92 	17.17 	-0.36
169	-18  	6  	8  	40.39 	3.34 	46.65 	2.36
170	-18  	6  	9  	64.85 	0.60 	63.49 	1.48
171	-18  	6  	10  	38.89 	2.08 	43.81 	3.04
172	-18  	6  	12  	61.57 	2.03 	90.02 	1.19
173	-18  	6  	13  	93.67 	4.02 	98.85 	1.67
174	-18  	6  	14  	22.46 	1.14 	45.13 	2.30
175	-18  	7  	2  	14.61 	6.49 	13.14 	0.07
176	-18  	7  	8  	18.40 	3.32 	10.86 	1.96
177	-18  	7  	15  	8.11 	1.96 	13.76 	0.32
178	-18  	8  	3  	15.90 	5.72 	22.94 	1.18
179	-18  	8  	4  	17.58 	4.40 	18.06 	1.43
180	-18  	8  	5  	24.50 	4.96 	35.59 	2.90
181	-18  	8  	6  	14.40 	4.90 	27.58 	1.57
182	-18  	8  	7  	14.23 	4.24 	21.46 	-1.89
183	-18  	8  	8  	47.27 	1.20 	32.27 	0.82
184	-18  	8  	9  	14.79 	2.07 	29.58 	2.04
185	-18  	8  	10  	59.94 	4.09 	58.67 	-2.72
186	-18  	8  	11  	53.50 	2.60 	41.26 	-2.69
187	-18  	8  	12  	39.19 	0.57 	41.98 	-2.59
188	-18  	8  	13  	40.76 	0.57 	59.71 	-2.14
189	-18  	8  	14  	30.81 	1.40 	24.31 	-1.77
190	-18  	9  	9  	11.13 	5.27 	7.10 	-0.49
191	-18  	9  	12  	11.62 	3.97 	9.18 	-2.14
192	-18  	10  	5  	19.16 	4.87 	35.76 	-1.42
193	-18  	10  	6  	46.57 	2.70 	56.84 	-1.01
194	-18  	10  	7  	48.68 	2.08 	39.04 	1.13
195	-18  	10  	9  	12.47 	4.64 	4.16 	1.77
196	-18  	10  	10  	27.82 	1.43 	11.44 	1.81
197	-18  	10  	11  	17.30 	2.55 	2.85 	0.73
198	-18  	10  	12  	12.06 	3.93 	18.28 	0.40
199	-18  	11  	9  	12.90 	4.59 	4.08 	-1.17
200	-17  	0  	1  	20.61 	9.12 	34.69 	0.00
201	-17  	0  	3  	43.19 	5.28 	37.23 	0.00
202	-17  	0  	12  	8.06 	3.29 	12.52 	3.14
203	-17  	1  	6  	50.28 	2.86 	42.04 	1.49
204	-17  	1  	7  	70.17 	3.46 	58.12 	0.63
205	-17  	1  	9  	69.28 	7.70 	88.40 	-1.00
206	-17  	1  	10  	82.87 	13.71 	88.44 	-0.69
207	-17  	1  	11  	37.39 	4.22 	53.53 	1.02
208	-17  	1  	12  	34.33 	1.49 	38.81 	-3.01
209	-17  	1  	13  	18.62 	2.07 	15.82 	-0.24
210	-17  	2  	9  	13.22 	5.53 	15.37 	-0.58
211	-17  	2  	10  	12.47 	4.87 	7.00 	0.46
212	-17  	2  	13  	5.90 	2.66 	32.66 	0.56
213	-17  	3  	1  	61.19 	3.70 	64.74 	-0.85
214	-17  	3  	2  	61.44 	2.32 	56.24 	-0.55
215	-17  	3  	3  	54.80 	3.61 	50.42 	2.50
216	-17  	3  	4  	48.96 	2.92 	38.71 	0.31
217	-17  	3  	6  	41.51 	2.22 	47.58 	2.81
218	-17  	3  	7  	62.66 	2.82 	69.46 	-2.71
219	-17  	3  	8  	83.05 	7.13 	90.13 	0.81
220	-17  	3  	9  	42.92 	3.37 	58.08 	-2.41
221	-17  	3  	10  	56.73 	3.34 	52.91 	-2.84
222	-17  	3  	11  	41.13 	1.50 	20.11 	2.16
223	-17  	3  	12  	36.26 	2.08 	23.38 	1.85
224	-17  	3  	13  	66.21 	0.59 	66.60 	-1.64
225	-17  	4  	2  	21.51 	3.64 	27.57 	2.89
226	-17  	4  	4  	16.80 	5.17 	14.43 	2.09
227	-17  	4  	10  	19.04 	6.04 	15.55 	2.18
228	-17  	4  	14  	7.26 	0.58 	16.68 	-1.44
229	-17  	5  	2  	40.17 	5.93 	47.92 	-2.78
230	-17  	5  	3  	40.99 	2.93 	40.39 	0.68
231	-17  	5  	4  	39.86 	2.25 	18.51 	2.44
232	-17  	5  	5  	28.60 	2.22 	21.19 	-2.22
233	-17  	5  	6  	43.04 	2.83 	48.75 	-1.68
234	-17  	5  	7  	35.72 	1.55 	17.66 	-3.06
235	-17  	5  	8  	36.56 	2.15 	67.31 	-0.67
236	-17  	5  	9  	34.34 	2.74 	54.51 	-2.76
237	-17  	5  	10  	69.77 	1.20 	72.54 	-1.02
238	-17  	5  	11  	49.71 	0.60 	38.80 	-0.62
239	-17  	5  	12  	35.95 	0.59 	55.37 	-2.88
240	-17  	5  	13  	44.64 	0.58 	50.24 	-3.01
241	-17  	5  	14  	38.43 	2.60 	44.94 	2.39
242	-17  	6  	4  	14.38 	6.39 	23.72 	-1.57
243	-17  	6  	6  	17.49 	5.62 	17.78 	0.83
244	-17  	6  	7  	16.67 	2.16 	19.44 	1.47
245	-17  	7  	1  	19.41 	5.26 	27.41 	0.41
246	-17  	7  	2  	27.95 	2.28 	37.57 	1.15
247	-17  	7  	3  	16.06 	7.06 	15.81 	3.13
248	-17  	7  	4  	32.05 	2.22 	47.40 	-3.13
249	-17  	7  	5  	44.54 	2.20 	46.88 	-2.85
250	-17  	7  	6  	40.62 	2.79 	21.86 	3.08
251	-17  	7  	7  	35.87 	1.23 	27.47 	0.65
252	-17  	7  	8  	30.63 	1.52 	41.30 	-2.98
253	-17  	7  	9  	47.40 	0.60 	23.55 	2.90
254	-17  	7  	10  	44.23 	0.59 	60.41 	-1.13
255	-17  	7  	11  	84.03 	2.06 	97.57 	-1.13
256	-17  	7  	12  	80.57 	0.58 	53.15 	-1.13
257	-17  	7  	13  	27.36 	1.44 	26.51 	-2.07
258	-17  	8  	4  	17.00 	5.04 	19.67 	-2.34
259	-17  	8  	5  	20.22 	3.42 	10.59 	2.72
260	-17  	8  	7  	20.68 	7.00 	9.03 	-2.67
261	-17  	8  	8  	16.24 	2.11 	20.08 	-2.16
262	-17  	8  	9  	12.80 	5.36 	7.75 	1.89
263	-17  	8  	10  	13.84 	4.12 	19.27 	-1.07
264	-17  	9  	2  	20.76 	4.47 	20.78 	-1.70
265	-17  	9  	5  	20.04 	2.77 	28.09 	-1.51
266	-17  	9  	6  	42.67 	2.74 	41.13 	0.31
267	-17  	9  	7  	26.52 	2.11 	29.92 	-0.62
268	-17  	9  	8  	26.23 	2.09 	17.24 	-0.70
269	-17  	9  	9  	47.77 	0.59 	32.51 	2.26
270	-17  	9  	10  	17.21 	4.08 	20.85 	3.00
271	-17  	9  	11  	30.03 	0.58 	32.54 	-1.90
272	-17  	9  	12  	50.31 	1.14 	66.95 	-0.31
273	-17  	9  	13  	70.19 	1.42 	90.91 	0.07
