         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FP 	SIGFP 	FCalc 	PHICalc 	
855	-12  	11  	1  	17.12 	6.34 	48.82 	-0.21
856	-12  	11  	5  	15.95 	4.30 	14.97 	1.13
857	-12  	11  	6  	19.79 	4.26 	26.03 	0.11
858	-12  	11  	7  	12.39 	4.83 	43.85 	0.77
859	-12  	11  	9  	14.00 	4.17 	20.94 	2.28
860	-12  	11  	12  	13.72 	4.09 	9.20 	0.46
861	-12  	12  	1  	24.12 	4.38 	23.78 	2.89
862	-12  	12  	2  	36.95 	2.17 	40.17 	-2.87
863	-12  	12  	3  	29.25 	2.16 	37.34 	2.16
864	-12  	12  	4  	62.61 	1.53 	66.37 	-0.12
865	-12  	12  	5  	25.15 	4.24 	24.47 	-0.61
866	-12  	12  	6  	61.04 	1.50 	46.21 	-2.81
867	-12  	12  	7  	23.58 	3.28 	25.38 	-2.91
868	-12  	12  	8  	21.33 	2.07 	19.12 	-1.29
869	-12  	12  	9  	38.54 	1.47 	20.04 	-0.42
870	-12  	12  	10  	13.73 	2.05 	18.72 	1.20
871	-12  	12  	12  	18.17 	2.02 	25.99 	2.10
872	-12  	12  	13  	16.05 	2.58 	20.76 	1.42
873	-12  	13  	2  	13.79 	5.51 	8.61 	-0.89
874	-12  	13  	4  	15.07 	6.03 	11.36 	-2.00
875	-12  	13  	5  	16.74 	5.38 	15.34 	-1.78
876	-12  	13  	7  	12.07 	5.30 	16.36 	3.05
877	-12  	13  	9  	14.22 	4.06 	17.98 	0.90
878	-12  	13  	12  	10.81 	5.12 	16.58 	-2.93
879	-12  	14  	1  	36.24 	4.26 	46.27 	1.05
880	-12  	14  	2  	43.47 	3.32 	38.89 	1.40
881	-12  	14  	3  	20.96 	3.89 	24.10 	-0.11
882	-12  	14  	4  	18.71 	3.27 	28.34 	-2.44
883	-12  	14  	5  	17.97 	2.65 	15.15 	2.90
884	-12  	14  	6  	50.58 	2.63 	61.03 	2.09
885	-12  	14  	7  	53.68 	1.45 	49.19 	2.57
886	-12  	14  	8  	33.70 	1.15 	16.71 	2.58
887	-12  	14  	9  	25.74 	2.57 	28.20 	3.14
888	-12  	14  	10  	14.20 	5.68 	34.25 	2.63
889	-12  	14  	11  	15.80 	3.95 	7.14 	2.74
890	-12  	15  	2  	20.21 	6.84 	15.20 	0.99
891	-12  	15  	4  	17.25 	5.85 	14.06 	0.58
892	-12  	15  	5  	13.63 	2.61 	7.79 	1.70
893	-12  	15  	7  	14.28 	3.14 	10.54 	2.46
894	-12  	15  	9  	10.70 	4.51 	16.77 	-2.23
895	-11  	0  	9  	8.64 	2.24 	17.70 	0.00
896	-11  	1  	1  	185.17 	6.77 	192.68 	-1.16
897	-11  	1  	2  	62.81 	6.72 	48.48 	2.03
898	-11  	1  	3  	157.66 	3.00 	143.82 	1.75
899	-11  	1  	4  	77.42 	2.65 	69.80 	3.05
900	-11  	1  	5  	75.55 	2.30 	80.28 	0.49
901	-11  	1  	6  	247.27 	6.20 	251.89 	-0.25
902	-11  	1  	7  	505.46 	7.78 	407.15 	-0.81
903	-11  	1  	8  	393.36 	7.73 	381.09 	-0.84
904	-11  	1  	9  	275.73 	2.88 	227.58 	-0.79
905	-11  	2  	1  	33.46 	5.41 	15.41 	2.75
906	-11  	2  	3  	34.61 	14.98 	49.83 	-1.60
907	-11  	2  	4  	37.33 	8.26 	22.18 	-1.40
908	-11  	2  	5  	28.86 	9.51 	46.39 	-0.27
909	-11  	2  	6  	17.91 	3.58 	8.94 	-2.24
910	-11  	3  	1  	100.78 	9.77 	121.14 	-2.01
911	-11  	3  	2  	75.58 	2.68 	57.75 	-2.52
912	-11  	3  	3  	119.81 	2.66 	145.14 	-1.69
913	-11  	3  	4  	25.37 	3.62 	51.52 	2.63
914	-11  	3  	5  	69.67 	2.62 	61.80 	0.96
915	-11  	3  	6  	359.23 	6.50 	253.00 	-0.98
916	-11  	3  	7  	207.12 	3.87 	210.06 	1.14
917	-11  	3  	8  	607.05 	9.94 	548.38 	1.28
918	-11  	3  	9  	431.24 	4.14 	352.60 	1.21
919	-11  	3  	10  	198.80 	3.17 	180.58 	0.18
920	-11  	4  	1  	37.94 	15.11 	36.26 	1.53
921	-11  	4  	3  	31.41 	8.27 	17.93 	-2.26
922	-11  	4  	5  	27.04 	12.38 	27.38 	1.04
923	-11  	4  	10  	18.61 	6.31 	20.44 	1.91
924	-11  	4  	11  	15.68 	2.82 	27.18 	2.11
925	-11  	5  	1  	88.55 	2.67 	91.11 	2.95
926	-11  	5  	2  	111.73 	2.98 	144.85 	2.40
927	-11  	5  	3  	104.63 	2.63 	79.90 	2.74
928	-11  	5  	4  	96.35 	1.31 	76.57 	-1.58
929	-11  	5  	5  	64.53 	1.95 	62.87 	0.03
930	-11  	5  	6  	59.57 	2.58 	60.71 	-2.29
931	-11  	5  	7  	139.77 	2.24 	108.79 	1.00
932	-11  	5  	8  	225.29 	4.77 	215.36 	1.33
933	-11  	5  	9  	200.82 	3.16 	198.14 	1.93
934	-11  	5  	10  	139.03 	2.51 	124.30 	-1.08
935	-11  	5  	11  	91.10 	1.25 	86.00 	0.56
936	-11  	5  	12  	18.92 	4.96 	12.71 	-0.36
937	-11  	6  	1  	14.28 	5.98 	27.80 	-2.51
938	-11  	6  	2  	31.31 	12.52 	18.58 	2.36
939	-11  	6  	3  	32.38 	14.72 	65.13 	2.49
940	-11  	6  	4  	15.26 	6.49 	14.96 	1.93
941	-11  	6  	5  	31.91 	9.35 	35.93 	2.64
942	-11  	6  	7  	11.45 	5.72 	23.61 	-1.22
943	-11  	6  	8  	12.32 	4.42 	25.31 	1.05
944	-11  	6  	9  	27.62 	6.28 	29.68 	2.49
945	-11  	6  	10  	19.65 	9.05 	21.82 	-0.92
946	-11  	6  	12  	7.71 	3.39 	24.20 	-3.11
947	-11  	7  	1  	43.87 	8.25 	30.75 	-1.05
948	-11  	7  	2  	39.93 	1.31 	49.64 	-1.82
949	-11  	7  	3  	103.93 	2.60 	71.86 	-0.93
950	-11  	7  	4  	64.80 	2.90 	38.51 	2.98
951	-11  	7  	5  	68.18 	1.92 	63.52 	2.17
952	-11  	7  	6  	27.65 	1.91 	27.94 	-2.55
953	-11  	7  	7  	66.62 	1.89 	47.41 	-0.82
954	-11  	7  	8  	42.97 	2.20 	38.45 	0.60
955	-11  	7  	9  	79.17 	1.25 	80.50 	1.04
956	-11  	7  	10  	56.69 	0.62 	33.32 	2.78
957	-11  	7  	11  	33.88 	2.77 	24.83 	2.33
958	-11  	7  	12  	26.95 	0.61 	35.33 	-2.00
959	-11  	7  	13  	35.63 	2.74 	39.58 	-1.03
960	-11  	7  	14  	10.30 	2.12 	16.20 	2.19
961	-11  	8  	2  	40.25 	11.04 	28.80 	-1.34
962	-11  	8  	4  	33.26 	9.27 	42.64 	-0.59
963	-11  	8  	5  	31.43 	7.94 	43.14 	-1.57
964	-11  	8  	6  	35.63 	9.14 	46.33 	-2.84
965	-11  	8  	8  	16.49 	2.80 	23.96 	-0.90
966	-11  	8  	10  	11.68 	2.15 	26.01 	-2.55
967	-11  	8  	11  	12.52 	2.75 	9.45 	2.54
968	-11  	8  	14  	10.22 	3.31 	9.06 	-0.17
969	-11  	9  	1  	142.97 	5.19 	140.20 	-1.37
970	-11  	9  	2  	57.58 	2.25 	73.83 	2.54
971	-11  	9  	3  	121.30 	1.60 	84.71 	1.76
972	-11  	9  	4  	62.10 	2.22 	45.28 	-1.75
973	-11  	9  	5  	95.95 	1.26 	103.88 	-1.71
974	-11  	9  	6  	63.11 	1.25 	64.93 	-2.62
975	-11  	9  	7  	121.02 	1.86 	100.82 	-1.72
976	-11  	9  	8  	166.16 	2.77 	147.13 	-1.90
977	-11  	9  	9  	73.21 	1.53 	59.09 	-2.21
978	-11  	9  	10  	70.03 	0.61 	74.94 	1.63
979	-11  	9  	11  	131.97 	1.51 	128.52 	1.67
980	-11  	9  	12  	36.72 	2.11 	26.55 	2.17
981	-11  	9  	13  	85.61 	14.07 	73.00 	-1.75
982	-11  	9  	14  	50.32 	2.68 	58.14 	-2.21
983	-11  	10  	2  	20.69 	5.73 	18.78 	-1.19
984	-11  	10  	4  	16.31 	5.02 	15.50 	2.83
985	-11  	10  	6  	14.22 	4.95 	32.71 	-0.96
986	-11  	10  	9  	13.64 	2.12 	14.54 	-2.20
987	-11  	10  	10  	13.56 	4.22 	11.48 	-2.89
988	-11  	10  	11  	9.59 	4.79 	7.22 	-1.34
989	-11  	11  	1  	71.38 	2.22 	56.84 	-1.48
990	-11  	11  	2  	26.13 	2.20 	31.12 	1.59
991	-11  	11  	3  	54.98 	1.25 	64.64 	1.65
992	-11  	11  	4  	80.93 	2.17 	79.09 	1.27
993	-11  	11  	5  	39.41 	2.77 	43.89 	-1.66
994	-11  	11  	6  	62.67 	1.53 	65.95 	-1.21
995	-11  	11  	7  	61.64 	2.13 	56.86 	-2.10
996	-11  	11  	8  	29.26 	1.51 	27.54 	1.75
997	-11  	11  	9  	29.08 	1.50 	36.79 	0.18
998	-11  	11  	10  	59.00 	1.49 	45.40 	-1.65
999	-11  	11  	11  	26.66 	1.48 	37.31 	-1.30
1000	-11  	11  	12  	27.98 	0.59 	19.93 	-0.34
1001	-11  	11  	13  	34.27 	1.17 	33.51 	1.75
1002	-11  	11  	14  	23.60 	1.46 	25.00 	-2.82
1003	-11  	12  	2  	16.17 	6.22 	15.86 	-1.29
1004	-11  	12  	5  	11.55 	5.47 	37.46 	0.27
1005	-11  	12  	10  	13.83 	2.65 	17.60 	-1.64
1006	-11  	12  	12  	10.47 	4.65 	14.83 	2.48
1007	-11  	12  	13  	13.02 	2.60 	5.95 	1.10
1008	-11  	13  	1  	37.71 	3.40 	22.36 	1.68
1009	-11  	13  	3  	19.79 	2.74 	38.69 	2.56
1010	-11  	13  	4  	38.67 	2.11 	36.26 	-0.59
1011	-11  	13  	5  	48.60 	2.10 	42.21 	-0.25
1012	-11  	13  	6  	32.77 	2.09 	18.13 	-1.14
1013	-11  	13  	7  	15.98 	3.85 	22.66 	2.06
1014	-11  	13  	8  	39.10 	0.59 	14.88 	0.00
1015	-11  	13  	9  	28.92 	2.63 	23.06 	-1.91
1016	-11  	13  	10  	17.13 	2.61 	18.28 	2.74
1017	-11  	13  	12  	51.66 	2.58 	35.72 	2.59
1018	-11  	14  	1  	22.54 	5.48 	10.00 	-1.01
1019	-11  	14  	4  	14.89 	3.28 	9.40 	2.88
1020	-11  	14  	5  	20.10 	4.73 	13.09 	-0.92
1021	-11  	14  	7  	12.54 	5.25 	4.80 	2.57
1022	-11  	14  	8  	15.06 	4.64 	19.55 	-2.71
1023	-11  	15  	1  	16.80 	7.50 	15.17 	2.08
1024	-11  	15  	2  	43.45 	1.49 	53.07 	1.91
1025	-11  	15  	3  	36.03 	2.66 	37.38 	1.94
1026	-11  	15  	4  	34.88 	2.05 	48.42 	-2.69
1027	-11  	15  	5  	26.19 	2.62 	19.69 	-2.16
1028	-11  	15  	6  	22.83 	2.02 	33.34 	0.27
1029	-11  	15  	7  	39.33 	2.01 	56.11 	0.23
1030	-11  	15  	8  	31.37 	2.00 	39.39 	0.84
1031	-11  	15  	9  	42.23 	0.57 	48.42 	-0.46
1032	-11  	15  	10  	36.90 	1.97 	54.75 	-0.68
1033	-10  	0  	6  	149.79 	2.95 	179.93 	0.00
1034	-10  	0  	7  	496.84 	21.83 	473.35 	0.00
1035	-10  	0  	8  	87.13 	5.83 	57.86 	0.00
1036	-10  	0  	9  	120.47 	14.50 	115.17 	3.14
1037	-10  	1  	2  	26.57 	11.43 	38.59 	-0.82
1038	-10  	1  	6  	31.12 	8.19 	40.07 	2.99
1039	-10  	1  	7  	13.35 	2.93 	24.76 	-2.31
1040	-10  	2  	1  	245.15 	8.45 	206.38 	-0.10
1041	-10  	2  	2  	241.74 	4.70 	217.52 	-1.10
1042	-10  	2  	3  	165.39 	3.33 	125.67 	-0.03
1043	-10  	2  	4  	229.87 	4.64 	237.31 	-1.43
1044	-10  	2  	5  	241.56 	4.94 	237.10 	-0.37
1045	-10  	2  	6  	286.50 	9.16 	253.20 	0.86
1046	-10  	2  	7  	498.05 	12.35 	464.43 	2.68
1047	-10  	2  	8  	286.05 	7.11 	238.55 	2.77
1048	-10  	2  	9  	81.32 	1.29 	62.92 	-2.39
1049	-10  	3  	1  	39.46 	9.78 	48.40 	0.06
1050	-10  	3  	4  	12.22 	4.96 	56.59 	-3.14
1051	-10  	3  	5  	32.49 	5.25 	17.48 	-3.01
1052	-10  	3  	6  	22.83 	5.22 	14.70 	-2.76
1053	-10  	3  	7  	23.99 	6.48 	34.02 	-1.35
1054	-10  	3  	9  	7.37 	2.88 	21.40 	-2.10
1055	-10  	3  	10  	20.09 	2.87 	14.80 	0.19
1056	-10  	4  	1  	153.87 	4.70 	150.82 	-1.05
1057	-10  	4  	2  	121.76 	2.67 	126.73 	2.55
1058	-10  	4  	3  	139.80 	3.64 	114.14 	0.78
1059	-10  	4  	4  	173.10 	4.28 	123.30 	0.29
1060	-10  	4  	5  	62.45 	1.96 	62.51 	-2.83
1061	-10  	4  	6  	86.43 	1.30 	93.07 	-2.76
1062	-10  	4  	7  	299.41 	4.20 	223.16 	-2.99
1063	-10  	4  	8  	537.24 	9.31 	476.20 	-2.70
1064	-10  	4  	9  	631.01 	8.30 	587.91 	-2.93
1065	-10  	4  	10  	262.36 	6.04 	236.64 	3.00
1066	-10  	4  	11  	18.33 	1.26 	52.78 	-0.49
1067	-10  	5  	2  	16.60 	5.98 	35.23 	3.11
1068	-10  	5  	5  	25.71 	6.51 	20.50 	2.95
1069	-10  	5  	6  	28.46 	10.99 	26.52 	-1.40
1070	-10  	5  	7  	28.29 	6.43 	34.96 	0.12
1071	-10  	5  	8  	13.10 	5.11 	30.45 	-0.44
1072	-10  	5  	9  	11.76 	2.22 	22.64 	-1.02
1073	-10  	5  	10  	8.53 	3.48 	22.88 	0.71
1074	-10  	5  	11  	22.01 	5.03 	31.79 	1.17
1075	-10  	6  	1  	46.53 	2.99 	38.32 	-0.07
1076	-10  	6  	2  	140.91 	2.64 	72.80 	1.13
1077	-10  	6  	3  	194.34 	2.62 	167.62 	3.08
1078	-10  	6  	4  	127.61 	1.30 	91.82 	-2.16
1079	-10  	6  	5  	43.02 	1.29 	40.27 	1.34
1080	-10  	6  	6  	131.47 	1.29 	108.20 	0.09
1081	-10  	6  	7  	127.17 	0.96 	102.26 	-0.38
1082	-10  	6  	8  	127.07 	2.54 	126.35 	2.67
1083	-10  	6  	9  	112.15 	0.95 	113.74 	2.25
1084	-10  	6  	10  	118.15 	1.57 	124.69 	0.87
1085	-10  	6  	11  	68.77 	3.13 	50.94 	2.52
1086	-10  	6  	12  	19.60 	2.80 	28.97 	-2.63
1087	-10  	6  	13  	17.34 	0.62 	18.39 	1.31
1088	-10  	7  	1  	37.29 	6.60 	35.27 	1.87
1089	-10  	7  	2  	37.03 	17.69 	44.73 	2.02
1090	-10  	7  	4  	19.72 	5.17 	20.72 	-0.38
1091	-10  	7  	8  	17.03 	2.84 	19.36 	-3.13
1092	-10  	7  	10  	13.42 	2.81 	27.94 	1.08
1093	-10  	7  	11  	9.00 	2.17 	1.84 	0.53
1094	-10  	8  	1  	91.00 	2.95 	61.87 	1.07
1095	-10  	8  	2  	36.08 	2.93 	45.40 	-2.93
1096	-10  	8  	3  	22.92 	3.55 	37.57 	2.25
1097	-10  	8  	4  	52.59 	1.92 	100.74 	-1.61
1098	-10  	8  	5  	95.26 	2.55 	62.45 	-1.78
1099	-10  	8  	6  	83.90 	1.90 	70.75 	-0.51
1100	-10  	8  	7  	118.02 	1.57 	117.03 	-0.28
1101	-10  	8  	8  	154.89 	2.19 	126.81 	0.01
1102	-10  	8  	9  	37.65 	0.62 	45.07 	-2.66
1103	-10  	8  	10  	85.73 	2.17 	80.77 	-2.28
1104	-10  	8  	11  	48.65 	1.23 	25.96 	-1.90
1105	-10  	8  	12  	24.82 	2.76 	14.57 	3.00
1106	-10  	8  	13  	52.15 	5.49 	66.86 	1.25
1107	-10  	8  	14  	27.32 	2.73 	39.30 	0.67
1108	-10  	8  	15  	15.72 	2.12 	28.08 	-1.73
1109	-10  	9  	2  	16.75 	5.80 	3.90 	2.76
1110	-10  	9  	3  	17.27 	6.40 	18.66 	-2.41
1111	-10  	9  	6  	13.49 	5.65 	20.73 	-2.67
1112	-10  	9  	7  	14.66 	2.81 	21.91 	2.15
1113	-10  	9  	8  	16.74 	4.03 	13.37 	-1.83
1114	-10  	9  	9  	11.10 	4.93 	25.79 	-1.55
1115	-10  	9  	10  	11.65 	2.15 	22.97 	-2.80
1116	-10  	9  	11  	10.98 	4.27 	2.90 	-2.33
1117	-10  	9  	15  	10.18 	2.70 	12.65 	0.39
1118	-10  	10  	1  	130.66 	2.25 	129.61 	-0.40
1119	-10  	10  	2  	55.47 	2.23 	45.07 	-1.53
1120	-10  	10  	3  	68.06 	1.90 	78.19 	1.01
1121	-10  	10  	4  	103.78 	1.57 	88.01 	1.77
1122	-10  	10  	5  	23.75 	3.44 	16.82 	-1.91
1123	-10  	10  	6  	16.15 	5.59 	29.29 	-2.05
1124	-10  	10  	7  	68.83 	1.85 	63.59 	-0.34
1125	-10  	10  	8  	55.24 	0.61 	63.66 	0.57
1126	-10  	10  	9  	155.33 	1.22 	158.09 	1.66
1127	-10  	10  	10  	49.17 	1.52 	50.40 	1.61
1128	-10  	10  	11  	52.24 	3.32 	40.63 	-1.67
1129	-10  	10  	12  	29.75 	1.50 	27.61 	2.92
1130	-10  	10  	13  	16.75 	2.69 	17.08 	2.53
1131	-10  	10  	14  	23.52 	2.08 	20.80 	0.90
1132	-10  	11  	10  	15.61 	3.30 	7.63 	-0.16
1133	-10  	11  	11  	14.03 	4.18 	18.98 	2.35
1134	-10  	11  	12  	10.10 	4.16 	14.69 	-0.85
1135	-10  	11  	13  	8.58 	4.14 	2.84 	-1.62
1136	-10  	12  	1  	19.75 	2.82 	33.58 	-2.24
1137	-10  	12  	2  	33.62 	3.42 	38.00 	2.05
1138	-10  	12  	3  	19.48 	2.78 	16.25 	-3.05
1139	-10  	12  	4  	46.98 	2.76 	43.55 	0.47
1140	-10  	12  	5  	15.26 	2.75 	21.55 	1.03
1141	-10  	12  	6  	60.64 	1.52 	61.14 	1.69
1142	-10  	12  	7  	16.88 	2.71 	22.60 	1.29
1143	-10  	12  	9  	16.69 	2.09 	7.29 	-1.53
1144	-10  	12  	10  	30.83 	0.59 	27.13 	-1.26
1145	-10  	12  	11  	23.88 	3.24 	31.03 	0.92
1146	-10  	12  	12  	12.62 	4.11 	14.17 	0.28
1147	-10  	12  	13  	17.23 	2.63 	21.77 	-2.94
1148	-10  	13  	2  	24.87 	9.83 	35.64 	0.01
1149	-10  	13  	3  	14.33 	6.10 	13.38 	1.25
1150	-10  	13  	4  	19.09 	3.94 	28.29 	0.15
1151	-10  	13  	5  	12.94 	5.42 	5.61 	1.44
1152	-10  	13  	12  	12.45 	4.05 	12.69 	-2.56
1153	-10  	14  	1  	20.73 	3.35 	18.87 	-2.32
1154	-10  	14  	2  	40.25 	2.72 	18.97 	-2.83
1155	-10  	14  	3  	28.55 	3.31 	29.41 	-3.00
1156	-10  	14  	4  	30.16 	1.49 	36.31 	-2.65
1157	-10  	14  	5  	28.18 	2.67 	41.64 	2.86
1158	-10  	14  	6  	60.44 	1.47 	66.29 	2.02
1159	-10  	14  	7  	67.99 	2.05 	80.17 	2.22
1160	-10  	14  	8  	14.57 	5.83 	45.92 	2.43
1161	-10  	14  	9  	11.88 	5.22 	34.55 	2.32
1162	-10  	14  	10  	35.16 	2.02 	36.37 	-2.98
1163	-10  	15  	2  	15.49 	7.45 	20.34 	-2.43
1164	-10  	15  	3  	14.79 	4.73 	5.52 	1.48
1165	-10  	15  	7  	17.60 	7.79 	22.52 	2.73
1166	-10  	15  	9  	11.69 	5.13 	4.55 	-0.92
1167	-10  	15  	10  	15.32 	4.54 	11.53 	-2.55
1168	-10  	16  	2  	20.51 	3.81 	9.87 	2.60
1169	-10  	16  	3  	16.29 	5.24 	26.08 	-2.84
1170	-10  	16  	4  	18.21 	3.18 	35.57 	-3.02
1171	-10  	16  	5  	18.09 	3.16 	25.46 	-2.58
1172	-10  	16  	6  	44.24 	2.00 	42.78 	0.62
1173	-10  	16  	7  	68.37 	1.42 	79.86 	0.40
1174	-10  	16  	8  	18.33 	3.95 	4.43 	1.46
1175	-9  	0  	3  	26.45 	9.71 	59.20 	0.00
1176	-9  	0  	6  	17.77 	8.23 	27.02 	3.14
1177	-9  	1  	1  	411.72 	15.25 	299.77 	-1.67
1178	-9  	1  	2  	265.33 	8.42 	238.92 	0.32
1179	-9  	1  	3  	126.50 	3.01 	86.98 	0.98
1180	-9  	1  	4  	415.18 	7.65 	332.57 	0.24
1181	-9  	1  	5  	244.12 	4.63 	255.86 	-0.55
1182	-9  	1  	6  	237.85 	7.24 	304.93 	3.13
1183	-9  	1  	7  	396.95 	11.13 	340.67 	-3.03
1184	-9  	1  	8  	244.85 	5.54 	191.12 	-3.12
1185	-9  	2  	1  	36.54 	12.86 	35.35 	-0.51
1186	-9  	2  	3  	37.75 	6.68 	46.59 	-2.86
1187	-9  	2  	4  	34.54 	6.64 	21.92 	-1.11
1188	-9  	2  	7  	17.64 	8.17 	47.08 	2.60
1189	-9  	2  	8  	12.35 	6.50 	20.06 	-2.77
1190	-9  	2  	9  	12.29 	1.62 	11.90 	1.83
1191	-9  	3  	1  	301.98 	5.40 	249.25 	-1.30
1192	-9  	3  	2  	156.23 	1.34 	138.87 	-1.12
1193	-9  	3  	3  	329.55 	5.00 	285.23 	1.36
1194	-9  	3  	4  	182.18 	2.65 	184.20 	1.03
1195	-9  	3  	5  	245.70 	4.61 	244.87 	2.52
1196	-9  	3  	6  	407.15 	8.52 	374.59 	-0.18
1197	-9  	3  	7  	631.79 	8.15 	549.80 	-0.38
1198	-9  	3  	8  	292.10 	4.54 	251.21 	0.36
1199	-9  	3  	9  	335.86 	4.52 	304.03 	-1.00
1200	-9  	3  	10  	483.32 	17.34 	455.39 	-0.81
1201	-9  	4  	2  	34.74 	9.69 	32.40 	0.21
1202	-9  	4  	3  	17.93 	4.98 	20.77 	-1.08
1203	-9  	4  	4  	17.16 	5.94 	26.96 	2.49
1204	-9  	4  	5  	14.77 	4.27 	21.25 	0.73
1205	-9  	4  	8  	14.53 	2.26 	17.73 	-2.04
1206	-9  	4  	10  	8.32 	2.88 	3.20 	-0.30
1207	-9  	4  	11  	8.60 	2.87 	5.91 	0.48
1208	-9  	4  	12  	15.86 	2.85 	24.77 	0.22
1209	-9  	5  	1  	154.87 	3.01 	149.48 	1.63
1210	-9  	5  	2  	96.06 	1.66 	138.41 	2.24
1211	-9  	5  	3  	84.24 	1.98 	76.36 	-1.67
1212	-9  	5  	4  	262.71 	2.96 	214.95 	3.13
1213	-9  	5  	5  	245.55 	2.61 	208.73 	-2.80
1214	-9  	5  	6  	403.65 	4.22 	359.04 	-1.49
1215	-9  	5  	7  	139.23 	1.94 	123.18 	0.11
1216	-9  	5  	8  	279.62 	1.29 	262.98 	0.30
1217	-9  	5  	9  	200.87 	3.20 	167.21 	-0.30
1218	-9  	5  	10  	120.35 	2.87 	100.88 	-2.17
1219	-9  	5  	11  	60.86 	2.54 	40.32 	-2.48
1220	-9  	5  	14  	47.92 	3.45 	42.17 	-0.01
1221	-9  	6  	2  	37.34 	8.26 	42.66 	-2.80
1222	-9  	6  	4  	31.01 	12.40 	38.67 	2.64
1223	-9  	6  	5  	28.56 	9.41 	32.31 	-2.56
1224	-9  	6  	6  	16.79 	3.87 	29.48 	0.83
1225	-9  	6  	7  	36.29 	8.03 	41.30 	-1.99
1226	-9  	6  	8  	31.63 	6.39 	43.09 	-1.65
1227	-9  	6  	9  	18.76 	7.95 	8.58 	-1.82
1228	-9  	7  	1  	104.34 	2.31 	93.40 	1.24
1229	-9  	7  	2  	37.07 	1.31 	31.51 	2.85
1230	-9  	7  	3  	258.26 	3.59 	218.64 	-1.43
1231	-9  	7  	4  	161.75 	2.92 	134.00 	-0.39
1232	-9  	7  	5  	90.25 	2.58 	95.79 	0.70
1233	-9  	7  	6  	149.70 	0.96 	132.64 	1.43
1234	-9  	7  	7  	230.54 	1.59 	195.44 	1.33
1235	-9  	7  	8  	143.72 	1.27 	144.11 	2.33
1236	-9  	7  	9  	146.81 	0.63 	98.03 	-2.73
1237	-9  	7  	10  	42.11 	1.26 	45.41 	1.43
1238	-9  	7  	11  	107.63 	7.82 	94.89 	1.98
1239	-9  	7  	12  	75.09 	4.36 	53.59 	2.15
1240	-9  	7  	13  	39.73 	2.17 	43.47 	-2.38
1241	-9  	7  	14  	36.79 	3.40 	46.30 	-2.53
1242	-9  	7  	15  	12.63 	2.16 	20.02 	1.48
1243	-9  	8  	1  	43.56 	9.50 	30.67 	-1.91
1244	-9  	8  	2  	19.85 	5.21 	17.38 	-2.55
1245	-9  	8  	5  	13.75 	5.75 	17.53 	3.06
1246	-9  	8  	6  	20.99 	3.82 	14.24 	-3.05
1247	-9  	8  	7  	17.08 	4.11 	10.13 	0.54
1248	-9  	8  	8  	14.79 	4.41 	14.97 	-0.77
1249	-9  	8  	10  	11.85 	2.18 	7.80 	-3.11
1250	-9  	8  	14  	8.89 	3.37 	9.45 	-0.34
1251	-9  	9  	1  	82.43 	2.92 	78.09 	1.89
1252	-9  	9  	2  	123.50 	3.22 	102.40 	1.63
1253	-9  	9  	3  	27.56 	2.24 	46.78 	2.06
1254	-9  	9  	4  	218.56 	2.55 	156.21 	-1.42
1255	-9  	9  	5  	117.53 	1.27 	100.38 	-1.16
1256	-9  	9  	6  	109.32 	2.84 	70.13 	-1.67
1257	-9  	9  	7  	110.32 	1.25 	91.60 	-1.58
1258	-9  	9  	8  	86.06 	0.62 	65.91 	-1.64
1259	-9  	9  	9  	141.19 	2.17 	137.85 	-2.35
1260	-9  	9  	10  	67.34 	3.40 	88.09 	-2.78
1261	-9  	9  	11  	78.11 	2.77 	76.55 	2.37
1262	-9  	9  	12  	40.12 	3.37 	47.78 	-1.87
1263	-9  	9  	13  	57.65 	1.53 	40.01 	-1.74
1264	-9  	9  	14  	41.03 	1.52 	39.20 	-2.71
1265	-9  	9  	15  	21.80 	2.73 	46.24 	2.96
1266	-9  	10  	2  	45.32 	9.26 	38.13 	-1.73
1267	-9  	10  	3  	16.81 	2.85 	11.22 	-1.86
1268	-9  	10  	4  	16.08 	4.73 	8.24 	1.53
1269	-9  	10  	5  	40.13 	7.84 	23.89 	1.60
1270	-9  	10  	7  	13.34 	2.79 	17.06 	-0.60
1271	-9  	10  	8  	27.16 	11.73 	8.92 	0.68
1272	-9  	10  	9  	14.44 	4.30 	22.47 	-1.70
1273	-9  	10  	12  	13.64 	3.33 	13.68 	1.96
1274	-9  	10  	13  	12.98 	3.32 	15.77 	-0.06
1275	-9  	11  	1  	97.18 	2.86 	69.23 	0.07
1276	-9  	11  	2  	128.44 	1.26 	128.67 	2.61
1277	-9  	11  	3  	82.17 	1.57 	91.06 	2.33
1278	-9  	11  	4  	25.88 	2.81 	63.72 	0.90
1279	-9  	11  	5  	66.65 	1.86 	63.19 	-0.62
1280	-9  	11  	6  	41.31 	1.85 	29.06 	-2.39
1281	-9  	11  	7  	65.02 	2.15 	79.34 	2.26
1282	-9  	11  	8  	46.69 	1.53 	51.97 	2.74
