         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FREE 	FP 	SIGFP 	FCalc 	PHICalc 	
140	-28  	3  	8  	1  	103.23 	0.00 	113.93 	0.31
141	-28  	3  	11  	1  	43.54 	0.00 	17.83 	2.52
142	-28  	4  	1  	1  	28.98 	0.00 	13.22 	-0.93
143	-28  	4  	2  	1  	75.47 	0.00 	67.41 	-0.26
144	-28  	4  	3  	1  	78.91 	0.00 	78.69 	2.78
145	-28  	4  	4  	1  	38.45 	0.00 	34.04 	0.41
146	-28  	4  	5  	1  	53.97 	0.00 	55.77 	-0.56
147	-28  	4  	6  	1  	112.95 	0.00 	115.42 	-0.07
148	-28  	4  	7  	1  	41.55 	0.00 	58.52 	-1.69
149	-28  	4  	8  	0  	24.51 	0.00 	32.96 	-0.81
150	-28  	4  	9  	1  	24.85 	0.00 	54.72 	0.21
151	-28  	4  	10  	1  	63.62 	0.00 	65.33 	1.14
152	-28  	5  	1  	1  	35.37 	0.00 	59.98 	-2.79
153	-28  	5  	2  	0  	26.33 	0.00 	24.00 	-0.94
154	-28  	5  	3  	1  	53.84 	0.00 	42.60 	1.43
155	-28  	5  	4  	1  	124.46 	0.00 	126.73 	-2.79
156	-28  	5  	5  	1  	77.34 	0.00 	76.24 	2.71
157	-28  	5  	6  	1  	56.41 	0.00 	86.60 	2.06
158	-28  	5  	7  	1  	28.37 	0.00 	49.30 	1.21
159	-28  	5  	8  	1  	46.02 	0.00 	35.78 	-0.30
160	-28  	5  	9  	1  	36.95 	0.00 	24.90 	-2.22
161	-28  	5  	10  	1  	47.66 	0.00 	43.01 	-2.55
162	-28  	6  	1  	1  	73.71 	0.00 	84.22 	-1.77
163	-28  	6  	2  	1  	21.02 	0.00 	45.40 	0.97
164	-28  	6  	3  	1  	122.52 	0.00 	74.73 	0.09
165	-28  	6  	4  	1  	66.48 	0.00 	65.45 	2.69
166	-28  	6  	5  	1  	55.78 	0.00 	43.44 	-0.48
167	-28  	6  	6  	1  	36.63 	0.00 	56.31 	-1.60
168	-28  	6  	7  	1  	44.33 	0.00 	58.06 	-2.20
169	-28  	6  	8  	1  	25.60 	0.00 	25.66 	-1.96
170	-28  	7  	4  	1  	44.97 	0.00 	26.64 	-0.53
171	-28  	7  	5  	0  	42.66 	0.00 	64.62 	-2.83
172	-28  	7  	6  	1  	39.12 	0.00 	50.89 	2.20
173	-27  	0  	4  	1  	66.77 	0.00 	51.79 	3.14
174	-27  	0  	5  	1  	156.41 	0.00 	28.05 	3.14
175	-27  	0  	6  	0  	42.36 	0.00 	103.22 	0.00
176	-27  	0  	7  	0  	65.36 	0.00 	34.65 	0.00
177	-27  	0  	8  	1  	72.95 	0.00 	30.92 	3.14
178	-27  	0  	10  	1  	71.76 	0.00 	66.70 	0.00
179	-27  	0  	11  	1  	46.53 	0.00 	29.59 	0.00
180	-27  	0  	12  	1  	55.62 	0.00 	85.59 	0.00
181	-27  	1  	3  	1  	24.98 	0.00 	33.30 	-0.89
182	-27  	1  	4  	1  	114.30 	0.00 	97.58 	0.98
183	-27  	1  	5  	1  	80.27 	0.00 	105.71 	2.26
184	-27  	1  	6  	1  	78.82 	0.00 	109.62 	0.88
185	-27  	1  	7  	1  	91.63 	0.00 	111.13 	1.78
186	-27  	1  	8  	1  	119.70 	0.00 	136.51 	-2.92
187	-27  	1  	9  	1  	107.59 	0.00 	91.92 	-2.51
188	-27  	1  	10  	1  	91.94 	0.00 	111.72 	-0.86
189	-27  	1  	11  	1  	52.58 	0.00 	50.97 	-1.99
190	-27  	1  	12  	0  	82.27 	0.00 	79.58 	0.02
191	-27  	2  	2  	1  	47.87 	0.00 	40.43 	1.89
192	-27  	2  	3  	1  	122.35 	0.00 	150.07 	2.05
193	-27  	2  	4  	1  	73.63 	0.00 	112.89 	2.17
194	-27  	2  	5  	1  	25.17 	0.00 	34.82 	-2.55
195	-27  	2  	6  	1  	144.80 	0.00 	139.61 	2.19
196	-27  	2  	7  	1  	33.80 	0.00 	40.92 	2.03
197	-27  	2  	8  	1  	88.08 	0.00 	83.70 	1.58
198	-27  	2  	9  	0  	76.97 	0.00 	82.29 	2.11
199	-27  	2  	10  	1  	36.73 	0.00 	55.30 	2.79
200	-27  	2  	11  	1  	48.62 	0.00 	48.87 	1.66
201	-27  	2  	12  	1  	38.93 	0.00 	63.92 	-2.61
202	-27  	3  	1  	1  	128.00 	0.00 	149.06 	-1.25
203	-27  	3  	2  	1  	139.24 	0.00 	111.14 	-2.13
204	-27  	3  	3  	1  	104.06 	0.00 	111.76 	-1.50
205	-27  	3  	4  	0  	101.14 	0.00 	76.54 	-2.95
206	-27  	3  	5  	0  	98.49 	0.00 	66.74 	-0.06
207	-27  	3  	6  	1  	77.93 	0.00 	94.30 	-0.96
208	-27  	3  	7  	1  	87.11 	0.00 	76.28 	1.23
209	-27  	3  	8  	1  	35.42 	0.00 	34.57 	-0.06
210	-27  	3  	9  	0  	38.86 	0.00 	55.97 	-2.64
211	-27  	3  	10  	1  	90.56 	0.00 	87.69 	-0.61
212	-27  	3  	11  	1  	27.03 	0.00 	43.36 	-2.03
213	-27  	3  	12  	0  	60.93 	0.00 	94.83 	-0.85
214	-27  	4  	1  	1  	185.51 	0.00 	190.69 	0.98
215	-27  	4  	2  	1  	67.20 	0.00 	63.90 	2.42
216	-27  	4  	3  	1  	32.28 	0.00 	79.63 	-2.56
217	-27  	4  	4  	1  	53.99 	0.00 	61.25 	1.96
218	-27  	4  	5  	1  	57.26 	0.00 	65.45 	2.85
219	-27  	4  	6  	1  	29.39 	0.00 	50.86 	3.08
220	-27  	4  	7  	1  	53.25 	0.00 	74.96 	-0.45
221	-27  	4  	8  	0  	33.85 	0.00 	44.34 	-2.10
222	-27  	4  	9  	1  	82.28 	0.00 	48.69 	0.16
223	-27  	4  	10  	1  	29.29 	0.00 	35.86 	-1.35
224	-27  	4  	11  	1  	95.82 	0.00 	89.24 	-1.04
225	-27  	5  	1  	1  	34.07 	0.00 	50.32 	0.32
226	-27  	5  	2  	0  	76.14 	0.00 	100.79 	-0.08
227	-27  	5  	3  	1  	87.14 	0.00 	56.94 	2.70
228	-27  	5  	4  	1  	107.34 	0.00 	109.74 	0.33
229	-27  	5  	5  	1  	170.43 	0.00 	192.83 	0.68
230	-27  	5  	6  	1  	97.93 	0.00 	104.20 	0.37
231	-27  	5  	7  	1  	21.81 	0.00 	62.96 	1.13
232	-27  	5  	8  	1  	79.54 	0.00 	47.58 	1.86
233	-27  	5  	9  	1  	72.72 	0.00 	88.82 	-2.86
234	-27  	5  	10  	0  	53.96 	0.00 	46.12 	1.36
235	-27  	5  	11  	1  	47.76 	0.00 	65.17 	2.24
236	-27  	6  	2  	0  	47.98 	0.00 	82.00 	1.92
237	-27  	6  	3  	0  	113.29 	0.00 	126.52 	1.39
238	-27  	6  	4  	1  	129.45 	0.00 	97.25 	0.22
239	-27  	6  	5  	1  	37.50 	0.00 	52.69 	1.52
240	-27  	6  	6  	1  	44.76 	0.00 	42.30 	1.12
241	-27  	6  	7  	1  	37.25 	0.00 	53.38 	-0.92
242	-27  	6  	8  	1  	51.49 	0.00 	57.78 	-0.56
243	-27  	6  	9  	1  	35.93 	0.00 	52.08 	-2.21
244	-27  	7  	1  	0  	55.60 	0.00 	66.16 	-1.12
245	-27  	7  	2  	1  	33.75 	0.00 	60.04 	0.31
246	-27  	7  	3  	1  	42.11 	0.00 	57.41 	-0.61
247	-27  	7  	4  	1  	73.63 	0.00 	99.20 	2.61
248	-27  	7  	6  	0  	60.05 	0.00 	38.80 	1.63
249	-27  	7  	7  	1  	74.30 	0.00 	87.44 	-2.16
250	-27  	7  	8  	1  	48.28 	0.00 	47.77 	-2.60
251	-27  	8  	4  	1  	42.37 	0.00 	31.21 	-0.15
252	-26  	0  	3  	0  	25.39 	0.00 	43.14 	0.00
253	-26  	0  	4  	1  	32.43 	0.00 	110.42 	0.00
254	-26  	0  	5  	0  	77.77 	0.00 	72.04 	0.00
255	-26  	0  	6  	1  	335.26 	0.00 	328.92 	3.14
256	-26  	0  	7  	1  	72.20 	0.00 	84.88 	3.14
257	-26  	0  	8  	1  	83.39 	0.00 	60.06 	0.00
258	-26  	0  	10  	0  	37.06 	0.00 	64.56 	0.00
259	-26  	0  	11  	1  	112.94 	0.00 	70.89 	3.14
260	-26  	0  	12  	1  	29.15 	0.00 	28.70 	0.00
261	-26  	1  	2  	1  	122.33 	0.00 	101.21 	-0.89
262	-26  	1  	3  	1  	31.63 	0.00 	26.12 	3.11
263	-26  	1  	4  	1  	44.40 	0.00 	66.92 	-1.10
264	-26  	1  	5  	1  	149.12 	0.00 	140.46 	-0.14
265	-26  	1  	6  	1  	61.97 	0.00 	101.37 	0.38
266	-26  	1  	7  	1  	30.40 	0.00 	39.06 	1.13
267	-26  	1  	8  	1  	42.55 	0.00 	45.62 	2.72
268	-26  	1  	9  	1  	82.87 	0.00 	69.19 	2.59
269	-26  	1  	10  	1  	57.66 	0.00 	54.19 	1.61
270	-26  	1  	11  	1  	48.98 	0.00 	66.75 	0.42
271	-26  	1  	12  	1  	33.71 	0.00 	41.76 	-2.35
272	-26  	1  	13  	1  	40.56 	0.00 	36.91 	2.95
273	-26  	2  	2  	1  	139.60 	0.00 	116.60 	-3.02
274	-26  	2  	3  	1  	33.67 	0.00 	53.14 	-2.50
275	-26  	2  	4  	0  	48.34 	0.00 	59.99 	0.08
276	-26  	2  	5  	1  	87.51 	0.00 	86.30 	-0.30
277	-26  	2  	6  	0  	84.89 	0.00 	58.84 	2.34
278	-26  	2  	7  	1  	40.02 	0.00 	47.96 	3.10
279	-26  	2  	8  	1  	71.65 	0.00 	76.05 	2.68
280	-26  	2  	9  	1  	108.56 	0.00 	88.43 	-2.43
281	-26  	2  	10  	1  	64.50 	0.00 	75.98 	-0.96
282	-26  	2  	11  	1  	117.36 	0.00 	92.46 	-0.83
283	-26  	2  	12  	1  	41.18 	0.00 	55.43 	0.24
284	-26  	3  	1  	1  	157.59 	0.00 	149.70 	2.60
285	-26  	3  	2  	1  	65.63 	0.00 	70.56 	-2.01
286	-26  	3  	3  	1  	71.32 	0.00 	81.58 	0.75
287	-26  	3  	4  	1  	101.08 	0.00 	100.88 	0.13
288	-26  	3  	5  	1  	80.16 	0.00 	78.29 	-2.26
289	-26  	3  	7  	1  	62.77 	0.00 	78.74 	-3.10
290	-26  	3  	8  	0  	124.48 	0.00 	93.60 	1.62
291	-26  	3  	9  	1  	44.57 	0.00 	58.52 	2.34
292	-26  	3  	10  	1  	118.06 	0.00 	128.18 	2.63
293	-26  	3  	11  	1  	26.49 	0.00 	38.85 	-3.13
294	-26  	3  	13  	1  	35.50 	0.00 	31.98 	0.59
295	-26  	4  	1  	1  	115.92 	0.00 	97.99 	2.16
296	-26  	4  	3  	1  	100.55 	0.00 	115.58 	-0.38
297	-26  	4  	4  	1  	165.16 	0.00 	156.14 	-2.37
298	-26  	4  	5  	1  	140.24 	0.00 	145.34 	-1.12
299	-26  	4  	6  	1  	44.56 	0.00 	48.04 	-1.81
300	-26  	4  	7  	1  	66.38 	0.00 	67.05 	2.89
301	-26  	4  	8  	1  	72.30 	0.00 	66.87 	1.54
302	-26  	4  	9  	1  	40.16 	0.00 	36.43 	1.54
303	-26  	4  	10  	1  	106.23 	0.00 	100.24 	-1.02
304	-26  	4  	11  	1  	37.87 	0.00 	47.92 	-0.03
305	-26  	4  	12  	1  	100.57 	0.00 	76.21 	-0.21
306	-26  	5  	1  	0  	42.33 	0.00 	64.58 	1.12
307	-26  	5  	2  	0  	146.26 	0.00 	116.15 	2.52
308	-26  	5  	3  	1  	55.95 	0.00 	95.00 	-2.49
309	-26  	5  	4  	0  	132.60 	0.00 	118.40 	-2.84
310	-26  	5  	5  	1  	77.06 	0.00 	61.63 	-2.10
311	-26  	5  	6  	1  	252.20 	0.00 	229.59 	-2.81
312	-26  	5  	7  	0  	62.24 	0.00 	38.52 	-0.00
313	-26  	5  	8  	1  	88.94 	0.00 	77.62 	1.55
314	-26  	5  	9  	1  	31.04 	0.00 	60.19 	0.91
315	-26  	5  	10  	1  	56.30 	0.00 	66.31 	1.12
316	-26  	5  	11  	1  	67.35 	0.00 	84.50 	-1.84
317	-26  	6  	1  	1  	128.48 	0.00 	166.31 	-0.27
318	-26  	6  	3  	1  	69.80 	0.00 	76.49 	-1.32
319	-26  	6  	4  	1  	92.04 	0.00 	87.80 	-1.63
320	-26  	6  	5  	1  	81.76 	0.00 	78.88 	-1.49
321	-26  	6  	6  	1  	74.83 	0.00 	54.97 	0.28
322	-26  	6  	7  	1  	81.08 	0.00 	79.43 	0.25
323	-26  	6  	8  	1  	27.57 	0.00 	11.19 	-0.02
324	-26  	6  	9  	1  	25.27 	0.00 	37.40 	-2.98
325	-26  	6  	10  	1  	50.75 	0.00 	41.23 	-1.37
326	-26  	7  	1  	1  	92.17 	0.00 	103.67 	1.36
327	-26  	7  	2  	1  	155.87 	0.00 	169.46 	2.26
328	-26  	7  	3  	1  	12.44 	0.00 	9.78 	-2.54
329	-26  	7  	4  	1  	48.54 	0.00 	52.29 	-1.90
330	-26  	7  	5  	1  	85.15 	0.00 	121.31 	0.19
331	-26  	7  	6  	1  	51.27 	0.00 	69.17 	-3.00
332	-26  	7  	7  	1  	46.75 	0.00 	41.41 	1.71
333	-26  	7  	8  	1  	47.76 	0.00 	31.30 	3.07
334	-26  	7  	9  	1  	41.68 	0.00 	21.01 	-1.62
335	-26  	8  	2  	1  	37.88 	0.00 	67.36 	2.91
336	-26  	8  	3  	0  	39.04 	0.00 	47.56 	-0.34
337	-26  	8  	4  	1  	92.88 	0.00 	47.15 	-0.85
338	-26  	8  	5  	1  	73.93 	0.00 	68.33 	0.33
339	-26  	8  	6  	0  	49.22 	0.00 	77.43 	0.82
340	-26  	8  	7  	1  	86.57 	0.00 	94.24 	1.08
341	-25  	0  	3  	1  	278.91 	0.00 	279.83 	0.00
342	-25  	0  	5  	0  	51.52 	0.00 	39.76 	3.14
343	-25  	0  	6  	1  	53.66 	0.00 	53.06 	3.14
344	-25  	0  	8  	1  	107.93 	0.00 	111.31 	3.14
345	-25  	0  	9  	1  	139.57 	0.00 	134.68 	0.00
346	-25  	0  	11  	1  	46.62 	0.00 	32.98 	0.00
347	-25  	0  	12  	1  	138.38 	0.00 	128.48 	0.00
348	-25  	0  	13  	1  	65.98 	0.00 	78.77 	0.00
349	-25  	0  	14  	1  	71.15 	0.00 	67.52 	0.00
350	-25  	1  	3  	1  	49.51 	0.00 	64.12 	1.10
351	-25  	1  	4  	1  	121.74 	0.00 	110.86 	1.01
352	-25  	1  	5  	1  	114.83 	0.00 	79.25 	-2.88
353	-25  	1  	6  	1  	227.92 	0.00 	210.79 	2.33
354	-25  	1  	7  	1  	52.79 	0.00 	46.61 	1.60
355	-25  	1  	8  	1  	111.81 	0.00 	123.66 	2.75
356	-25  	1  	9  	1  	89.24 	0.00 	89.34 	0.53
357	-25  	1  	10  	1  	55.77 	0.00 	63.27 	-0.60
358	-25  	1  	11  	1  	79.97 	0.00 	57.65 	1.24
359	-25  	1  	12  	1  	37.74 	0.00 	61.45 	-0.31
360	-25  	1  	13  	1  	46.06 	0.00 	66.42 	0.41
361	-25  	2  	2  	1  	72.88 	0.00 	64.42 	-2.05
362	-25  	2  	3  	1  	65.28 	0.00 	62.21 	1.12
363	-25  	2  	4  	1  	44.11 	0.00 	61.92 	-1.48
364	-25  	2  	5  	1  	154.46 	0.00 	140.51 	0.10
365	-25  	2  	6  	1  	97.79 	0.00 	98.06 	1.29
366	-25  	2  	7  	1  	104.89 	0.00 	131.66 	0.84
367	-25  	2  	9  	1  	70.66 	0.00 	80.34 	-2.72
368	-25  	2  	10  	1  	31.86 	0.00 	25.56 	-2.32
369	-25  	2  	11  	1  	62.99 	0.00 	45.46 	2.84
370	-25  	2  	12  	1  	87.38 	0.00 	101.78 	2.35
371	-25  	2  	13  	1  	63.42 	0.00 	89.59 	1.64
372	-25  	3  	1  	1  	31.90 	0.00 	28.60 	-2.97
373	-25  	3  	2  	1  	129.02 	0.00 	105.08 	2.91
374	-25  	3  	3  	1  	117.85 	0.00 	134.80 	1.50
375	-25  	3  	5  	1  	96.60 	0.00 	83.64 	-2.40
376	-25  	3  	6  	0  	39.61 	0.00 	19.51 	-1.60
377	-25  	3  	7  	1  	102.66 	0.00 	111.35 	1.95
378	-25  	3  	8  	1  	21.93 	0.00 	56.05 	2.53
379	-25  	3  	9  	1  	39.62 	0.00 	32.83 	0.07
380	-25  	3  	10  	1  	26.79 	0.00 	34.70 	-1.00
381	-25  	3  	11  	1  	35.58 	0.00 	50.17 	0.80
382	-25  	3  	12  	0  	34.66 	0.00 	37.93 	-2.02
383	-25  	3  	13  	1  	54.34 	0.00 	67.99 	1.85
384	-25  	4  	1  	1  	72.80 	0.00 	88.25 	-2.26
385	-25  	4  	3  	1  	46.93 	0.00 	58.22 	-3.00
386	-25  	4  	4  	1  	113.82 	0.00 	122.13 	-0.09
387	-25  	4  	5  	1  	44.81 	0.00 	74.64 	1.05
